fr101,"R.D. Ruth, SLAC, Stanford, California, USA","Beam Dynamics in Linear Colliders",787 791,
th448,"T.L. Owens, E.S. McCrory, Fermilab, Batavia, Illinois, USA","The Delta-T Tuneup Procedure for the Fermilab Linac",721 723,
th449,"J.R. Boyce, S. Heifets, G.A. Krafft, CEBAF, Newport News, Virginia, USA","Simulations of High Disruption Colliding Beams",724 726,
th450,"T.L. Houck, LLNL, Livermore, California, USA","Dispersion and Interbunch Energy Variation for an e+e- Linear Collider",727 729,
th451,"A. Mondelli, D. Chernin, SAIC, McLean, Virginia, USA","Design Constraints for Electron-Positron Linear Colliders",730 732,
th452,"Y. Baconnier, R. Bossart, K.K. Geissler, J.C. Godot, K. Hübner, H. Kugler, J.H.B. Madsen, A.J. Riche, J. Ströde, G. Suberlucq, CERN, Geneva, Switzerland","The CERN Linear Collider Test Facility",733 735,
th453,"K.C.D. Chan, LANL, Los Alamos, New Mexico, USA; P. Schoessow, ANL, Argonne, Illinois, USA","Computer Simulations of New Dielectric Accelerator Devices",736 738,
th454,"P.G. O'Shea, T.A. Butler, M.T. Lynch, K.F. McKenna, M.B. Pongratz, T.J. Zaugg, LANL, Los Alamos, New Mexico, USA","A Linear Accelerator in Space - the Beam Experiment Aboard Rocket",739 742,
th455,"O.K. Belyaev, V.P. Gamarsky, A.V. Gladkov, R.Yu. Ivanov, V.A. Khmara, Yu.G. Malynin, A.B. Masaev, S.V. Pusanov, A.N. Semizarov, V.B. Stepanov, Yu.M. Yashnov, IHEP-Protvino, Moscow, USSR","About FE Electron Loading of the Cavity with High Level RF Power",743 745,
th456,"Y. Iwashita, H. Ego, H. Fujita, K. Fukunaga, M. Inoue, S. Kakigi, H. Okamoto, T. Shirai, H. Takekoshi, Kyoto University, Kyoto, Japan; M. Sawamura, JAERI, Ibaraki, Japan","7 MeV-Proton Linac",746 748,
th457,"N. Angert, L. Dahl, J. Glatz, J. Klabunde, M. Müller, U. Ratzinger, B. Wolf, GSI, Darmstadt, Germany; H. Deitinghoff, J. Friedrich, H. Klein, A. Schempp, IAP, Frankfurt am Main, Germany; R. Geller, CEN-Grenoble, Grenoble, France","A New 1.4 MeV/U Injector Linac for the Unilac",749 751,
th458,"T. Garvey, S. Eylon, T.J. Fessenden, K. Hahn, E. Henestroza, D. Keefe, LBL, Berkeley, California, USA","Transverse Beam Dynamics Studies of a Heavy Ion Induction Linac",752 754,
th459,"G. Riehl, W. Barth, J. Pozimski, IAP, Frankfurt am Main, Germany","Investigation of Beam Aberrations and Beam Halo by 3-Dimensional Emittance Measurements",755 757,
th460,"B. Strongin, A. Salop, Varian Associates Inc., Palo Alto, California, USA","Emittance Determination of Electron Guns by Analysis of Beam Profile Measurements",758 760,
th461,"M. Borland, J.N. Weaver, H. Wiedemann, R.H. Miller, SLAC, Stanford, California, USA; M.C. Green, L.V. Nelson, E. Tanabe, Varian Associates Inc., Palo Alto, California, USA","Performance of the 2 MeV Microwave Gun for the SSRL 150 MeV Linac",761 763,
th462,"P. Clout, M. Geib, R. Westervelt, Vista Control Systems, Inc., Los Alamos, New Mexico, USA","Automation Tools for Accelerator Control a Network Based Sequencer",764 766,
th463,"D. Rees, C. Friedrichs, LANL, Los Alamos, New Mexico, USA","Increasing Output Power of a 850 MHz Tetrode with a Floating-Deck Modulator",767 769,
th464,"Y. Ogawa, A. Asami, K. Furukawa, I. Sato, T. Suzuki, KEK, Ibaraki, Japan","Laser Interferometer for the Precise Alignment of a Linear Accelerator",770 772,
th465,"Y. Ogawa, A. Asami, T. Shidara, KEK, Ibaraki, Japan","Experimental Investigations of Multi-Bunch Instability by a Transverse Wake Field",773 775,
th466,"I.M. Kapchinskiy, ITEP, Moscow, USSR","Choice of the Block-Scheme of 1-1.5 GeV 300 mA Linear Accelerator",776 777,
th467,"P.P. Blagovolin, I.V. Chuvilo, I.M. Kapchinskiy, N.V. Lazarev, ITEP, Moscow, USSR","High Current Ion Linacs for Transmutation of Long-Lived Wastes",778 781,
th468,"A.V. Andreev, V.S. Artemov, I.V. Chuvilo, I.M. Kapchinskiy, A.A. Kolomiets, V.S. Kosjak, A.M. Kozodaev, R.P. Kujbida, V.V. Kurakin, Ju.N. Kuzmin, N.V. Lazarev, I.M. Lipkin, A.M. Raskopin, N.I. Rybakov, V.S. Skachkov, Ju.B. Stasevich, N.V. Shachraj, R.M. Vengrov, A.M. Vishnevskij, ITEP, Moscow, USSR","ISTRA-10 Linear Proton Accelerator Start-Up",782 784,
tu101,"C.W. Schmidt, Fermilab, Batavia, Illinois, USA","Review of Negative Hydrogen Ion Sources",259 263,
tu102,"R.C. Pardo, ANL, Argonne, Illinois, USA","ECR Ion Sources and Applications with Heavy-Ion Linacs",264 268,
tu103,"R.L. Sheffield, LANL, Los Alamos, New Mexico, USA","Progress in Photoinjectors for Linacs",269 272,
tu104,"C. Pellegrini, University of California, Los Angeles, California, USA","Linacs for Free Electron Lasers",273 277,
tu201,"G.J. Caporaso, A.G. Cole, LLNL, Livermore, California, USA","Design of Long Induction Linacs",281 285,
tu202,"R.O. Bangerter, LBL, Berkeley, California, USA; D.D-M. Ho, LLNL, Livermore, California, USA","Heavy Ion Induction Linacs for Fusion",286 288,
tu203,"I. Hofmann, GSI, Darmstadt, Germany","Recent Development in Inertial Fusion Based on RF Acceleration",289 293,
tu401,"J. Xie, R. Zhang, BNL, Upton, New York, USA","A Scheme to Compensate the Transient Beam Loading in TW Electron Linacs",297 299,
tu402,"G.A. Krafft, K.L. Mahoney, S.N. Simrock, CEBAF, Newport News, Virginia, USA","Beam Loading Studies at CEBAF",300 302,
tu403,"J.A. MacLachlan, F.E. Mills, T.L. Owens, Fermilab, Batavia, Illinois, USA","Feed-Forward Compensation for Transient Beam Loading of the 805 MHz Debuncher for the Fermilab Linac Upgrade",303 305,
tu404,"C.L. Bohn, J.R. Delayen, ANL, Argonne, Illinois, USA","Cumulative Beam Breakup in Radio-Frequency Linacs",306 308,
tu405,"R.L. Gluckstern, J.B.J. van Zeijts, University of Maryland, College Park, Maryland, USA; F. Neri, LANL, Los Alamos, New Mexico, USA","Suppression of Single Bunch Beam Breakup by BNS Damping",309 311,
tu406,"H. Deitinghoff, A. Schempp, IAP, Frankfurt am Main, Germany","PARMTEQ Calculations on Beam Dynamics in a Frequency Variable RFQ",312 314,
tu407,"P. Lapostolle, Private address, Neuilly-sur-Seine, France; F. Méot, S.R. Valero, CEN-Saclay, Gif-sur-Yvette, France; E. Tanke, CERN, Geneva, Switzerland","A New Dynamics Code DYNAC for Electrons, Protons and Heavy Ions in Linacs with Long Accelerating Elements",315 317,
tu408,"P. Hülsmann, H. Klein, M. Kurz, A. Schempp, IAP, Frankfurt am Main, Germany","Damping of Higher-Order Modes in Electron Linacs",318 320,
tu409,"C.C. Paulson, R.A. Hartley, Grumman Space Systems Division, Princeton, New Jersey, USA","Effect of Tank Sequencing on CCL Accelerators",321 325,
tu410,"A.M. Todd, M.F. Reusch, Grumman Space Systems Division, Princeton, New Jersey, USA","RFQ Beam Dynamics Model Development",326 328,
tu411,"A. Ueno, Y. Yamazaki, KEK, Ibaraki, Japan","New Beam-Dynamics Design Procedure for RFQs",329 331,
tu412,"J.R. Freeman, J.S. Wagner, Sandia National Laboratories, Albuquerque, New Mexico, USA","Numerical Models of Beam Dynamics in Ion Induction Linacs",332 334,
tu413,"L. Oleksiuk, J.A. MacLachlan, F.E. Mills, Fermilab, Batavia, Illinois, USA","The Fermilab Upgarde Linac: Dynamics Design Process",335 337,
tu414,"S. Nath, R.W. Garnett, G.R. Swain, T.P. Wangler, LANL, Los Alamos, New Mexico, USA","Beam Dynamics Design of a Pion Linac",338 340,
tu415,"R.W. Garnett, T.S. Bhatia, G.H. Neuschaefer, LANL, Los Alamos, New Mexico, USA; J.M. Watson, SSCL, Dallas, Texas, USA","A Comparison of Beam-Dynamics Solutions for the SSC 1284-MHz Coupled Cavity Linac",341 343,
tu416,"T.S. Bhatia, LANL, Los Alamos, New Mexico, USA; K.R. Crandall, AccSys Technology Inc., Pleasanton, California, USA; R.W. Garnett, G.H. Neuschaefer, LANL, Los Alamos, New Mexico, USA","Error and Tolerance Estimates for the SSC CCL",344 346,
tu417,"R.W. Garnett, R.S. Mills, T.P. Wangler, LANL, Los Alamos, New Mexico, USA","Beam Dynamics Simulation of the LAMPF Linear Accelerator",347 350,
tu418,"G.H. Neuschaefer, T.S. Bhatia, J.H. Billen, S. Nath, LANL, Los Alamos, New Mexico, USA; J.M. Watson, SSCL, Dallas, Texas, USA","SSC Drift Tube Linac Physics Design",351 354,
tu419,"W.P. Lysenko, LANL, Los Alamos, New Mexico, USA","Moment Methods for Simulation and Design",355 357,
tu420,"T. Weis, R. Dölling, H. Klein, J. Pozimski, J. Wiegand, IAP, Frankfurt am Main, Germany; I. Hofmann, GSI, Darmstadt, Germany","Emittance Growth in a Magnetic Transfer Line Caused by the Variation of Beam Neutralization",358 360,
tu421,"N. Edamenko, D. Ovsyannikov, A. Zhabko, Leningrad State University, Leningrad, USSR; V.L. Kabanov, USSR Academy of Science, Moscow, USSR","Beam Parameters Optimization in the Initial Part of Linac",361 361,
tu422,"H. Herminghaus, H.H. Braun, H. Euteneuer, F. Fiedler, A. Gauch, G. Gruber, A. Hager, R. Herr, L. Jaekel, P. Jennewein, K.H. Kaiser, R. Klein, H.J. Kreidel, U. Ludwig-Mertin, K.W. Nilles, G. Patzner, H. Schöler, A. Streun, G. Stephan, P. Zinnecker, IKP, Mainz, Germany; T. Weis, IAP, Frankfurt am Main, Germany","First Operation of the 850 MeV C.W. Electron Accelerator ''MAMI''",362 363,
tu423,"F.J. Decker, R.K. Jobe, N. Merminga, K.A. Thompson, SLAC, Stanford, California, USA","Controlling Multi-Bunches by a Fast Phase Switching",364 366,
tu424,"G.R. Swain, LANL, Los Alamos, New Mexico, USA","Formulas for the Twiss Beam Parameters for a Matched Beam at the Entrance to a Linac",367 368,
tu425,"H. Takeda, LANL, Los Alamos, New Mexico, USA","Semi-Analytical Calculation of Accelerating Beam in a Photo-Injector Cavity",369 371,
tu426,"M. Bartsch, M. Dehler, M. Dohlus, P. Hahne, R. Klatt, F. Krawcyzk, Z. Min, T. Pröpper, P. Schütt, T. Weiland, TH Darmstadt, Darmstadt, Germany; F. Ebeling, M. Marx, S. Wipf, DESY, Hamburg, Germany; B. Steffen, KFA Jülich, Jülich, Germany","MAFIA Release 3.x",372 374,
tu427,"J.F. DeFord, LLNL, Livermore, California, USA","Theoretical/Numerical Investigation of Induction Cavity Impedances for Moderate to Large Gap Widths",375 377,
tu428,"C.C. Shang, J.F. DeFord, LLNL, Livermore, California, USA","Modified-Yee Field Solutions in the Amos Wakefield Code",378 380,
tu429,"G.D. Craig, LLNL, Livermore, California, USA","Wake Potentials and Impdeances for the ATA Induction Cell",381 383,
tu430,"J.F. DeFord, G. Kamin, LLNL, Livermore, California, USA","Application of Linear Magnetic Loss Model of Ferrite to Induction Cavity Simulation",384 386,
tu431,"J.T. Seeman, N. Merminga, SLAC, Stanford, California, USA","Mutual Compensation of Wakefield and Chromatic Effects of Intense Linac Bunches",387 389,
tu432,"J.T. Seeman, SLAC, Stanford, California, USA","New Compensation of Transverse Wakefiled Effects in a Linac by Displacing Accelerating Structures",390 392,
tu433,"K.J. O'Brien, J.R. Freeman, Sandia National Laboratories, Albuquerque, New Mexico, USA","Stochastic Electron Beams in the Ion-Focused Regime",393 395,
tu434,"C.L. Olson, Sandia National Laboratories, Albuquerque, New Mexico, USA","Intense Ion Beam Transport in Neutral Gas",396 398,
tu435,"C.R. Chang, SSCL, Dallas, Texas, USA","Design Studies of SSC Low-Energy-Beam-Transport System using Einzel Lenses",399 401,
tu436,"C. Allen, M. Reiser, University of Maryland, College Park, Maryland, USA; C.R. Chang, SSCL, Dallas, Texas, USA","Design Studies of Low Energy H- Beam Transport with Electrostatic Lenses",402 404,
tu437,"D. Raparia, SSCL, Dallas, Texas, USA","HESQ, a Low Energy Beam Transport for the SSC Linac",405 407,
tu438,"K. Fujii, M. Kikuchi, S. Kuroda, T. Matsui, H. Nakayama, K. Oide, T. Tauchi, N. Yamamoto, KEK, Ibaraki, Japan; K. Kuno, Mitsubishi Electric Corporation, Hyogo-ku, Japan","Construction of a Test Magnet for JLC Final Focus",408 410,
tu439,"R.K. Bhandari, S. Penner, SSCL, Dallas, Texas, USA","Beam Transfer Between the Coupled Cavity Linac and the Low Energy Booster Synchrotron for the SSC",411 413,
tu440,"Y.-J. Chen, J.C. Clark, A.C. Paul, W.E. Nexsen, Jr., W.C. Turner, LLNL, Livermore, California, USA","Measurement and Simulation of the Whole Beam Brightness on the ETA-II Linear Induction Accelerator",414 416,
tu441,"S.E. Sampayan, G.J. Caporaso, Y.-J. Chen, T.A. Decker, W.C. Turner, LLNL, Livermore, California, USA","Energy Sweep Compensation of Induction Accelerators",417 419,
tu442,"W.E. Nexsen, Jr., LLNL, Livermore, California, USA","Characterization of Field Errors of Layer Wound Short Solenoids",420 422,
tu443,"L.V. Griffith, F.J. Deadrick, LLNL, Livermore, California, USA","Progress in ETA-II Magnetic Field Alignment Using Stretched Wire and Low Energy Electron Beam Techniques",423 425,
tu444,"C.M. Fortgang, L.B. Dauelsberg, C. Geisik, D. Liska, R.E. Shafer, LANL, Los Alamos, New Mexico, USA","Pulsed Taut-Wire Alignment of Multiple Permanent Magnet Quadrupoles",426 428,
tu445,"D.B. Barlow, R.H. Kraus, C.T. Lobb, M.T. Menzel, LANL, Los Alamos, New Mexico, USA; P.L. Walstrom, Grumman Space Systems, Los Alamos, New Mexico, USA","A Small-Bore High-Field Superconducting Quadrupole Magnet",429 431,
tu446,"T. Mottershead, F. Neri, LANL, Los Alamos, New Mexico, USA; P.L. Walstrom, Grumman Space Systems, Los Alamos, New Mexico, USA","High Order Optics of Multipole Magnets",432 434,
tu447,"W.C. Turner, S.L. Allen, H.R. Brand, G.J. Caporaso, F.W. Chambers, Y.-J. Chen, F.E. Coffield, F.J. Deadrick, T.A. Decker, L.V. Griffith, D.L. Lager, W.J. Mauer, W.E. Nexsen, Jr., A.C. Paul, V.L. Renbarger, S.E. Sampayan, LLNL, Livermore, California, USA","Reduction of Beam Corkscrew Motion on the Eta-II Linear Induction Accelerator",435 437,
tu448,"M.G. Mazarakis, C.A. Frost, P.J. Pankuch, J.W. Poukey, K.R. Prestwich, J.J. Ramirez, S.L. Shope, B.N. Turman, Sandia National Laboratories, Albuquerque, New Mexico, USA","'Smile'' a New Version for the RADLAC II Linear Accelerator",438 440,
tu449,"B.Yu. Bogdanovich, Yu.K. Majorov, V.V. Rassadin, V.A. Senyukov, Moscow Engineering Physics Institute, Moscow, USSR","Calculation of Time Delay Lines with H0n Modes for RF-Energy Upgrade Systems",441 443,
tu450,"A. Barry, B. Bowling, J. Kewisch, J. Tang, CEBAF, Newport News, Virginia, USA","Orbit Correction Techniques for a Multipass Linac",444 446,
tu451,"E. Chojnacki, W. Gai, C. Ho, R. Konecny, S. Mtingwa, J. Norem, M. Rosing, P. Schoessow, J.D. Simpson, ANL, Argonne, Illinois, USA","Accelerator Deflection-Mode Dampening Experiments at Argonne",447 449,
tu452,"A.M. Tron, Moscow Engineering Physics Institute, Moscow, USSR","Secondary Electron Methods for Ion Phase Motion Research",450 452,
tu453,"B. Blind, LANL, Los Alamos, New Mexico, USA","Generation of a Rectangular Beam Distribution for Irradiation of the Accelerator Production of Tritium Target",453 455,
tu454,"G. Lee, E.S. McCrory, Fermilab, Batavia, Illinois, USA; R.C. Webber, SSCL, Dallas, Texas, USA","Diagnostics for the 400 MeV FNAL Linac",456 458,
tu455,"B.G. Chidley, G.M. Arbique, M.S. de Jong, G.E. McMichael, W.L. Michel, B.H. Smith, Atomic Energy of Canada, Chalk River, Ontario, Canada","RFQ1 Diagnostic Devices",459 461,
tu456,"K. Saadatmand, Grumman Corporate Research Center, Princeton, New Jersey, USA; C. Geisik, J.D. Schneider, R.R. Stevens, Jr., LANL, Los Alamos, New Mexico, USA","A Fluor and Wire-Shadow Diagnostic for Low-Energy Ion Beams",462 464,
tu457,"J.M. Bogaty, B.E. Clifft, R.C. Pardo, ANL, Argonne, Illinois, USA","A Very Wide Bandwidth Faraday Cup Suitable for Measuring Gigahertz Structure on Ion Beams with Velocities Down to < 0.01",465 467,
tu458,"M. Akemoto, H. Hayano, T. Naito, J. Urakawa, KEK, Ibaraki, Japan","Control System of ATF",468 470,
tu459,"I. Abe, S. Anami, A. Asami, H. Hanaki, K. Nakahara, KEK, Ibaraki, Japan; M. Kitamura, Tohoku University, Sendai, Japan","Expert System for Diagnosis of Klystron Modulator (KMTS)",471 473,
tu460,"E.S. McCrory, R.W. Goodwin, M.F. Shea, Fermilab, Batavia, Illinois, USA","Upgrading the Fermilab Linac Local Control System",474 476,
tu461,"P.B. Vasilev, A.M. Tron, Moscow Engineering Physics Institute, Moscow, USSR","A New Technique for Transverse Phase Ellipse Measurement",477 479,
tu462,"I. Ashkenazi, J.A. Fugitt, J.C. Hovater, G.E. Lahti, K.L. Mahoney, S.N. Simrock, CEBAF, Newport News, Virginia, USA","Calibration and Operation Schemes for CEBAF RF Control",480 483,
tu463,"J. Perry, E. Woodworth, CEBAF, Newport News, Virginia, USA","The CEBAF Fast Shutdown System",484 486,
tu464,"W.J.D. Johnson, LANL, Los Alamos, New Mexico, USA; C.T. Abdallah, University of New Mexico, Albuquerque, New Mexico, USA","Robust RF Control of Accelerators",487 489,
tu465,"N. Dobeck, J. Beaufait, E. Boettcher, G. Burtner, P. Francis, R. LaMora, M. O'Sullivan, C. Settles, C. Sharp, CEBAF, Newport News, Virginia, USA","Precision, 32 Channel Power Supply System",490 492,
tu466,"O. Calvo, C. Sibley, T. Russ, MIT-Bates, Cambridge, Massachusetts, USA","High Stability Switching Mode Power Converters for Magnet Loads",493 495,
tu467,"D.B. Blackwell, V.W. Brown, G.A. Ekeroth, T.O. McGill, W.L. Rogers, LANL, Los Alamos, New Mexico, USA","Application of a Relational Data Base for Documenting the Ground Test Accelerator Cable Routing and Wiring Interconnections",496 498,
tu468,"P. Balleyguier, R. Dei-Cas, CEA, Bruyères-le-Châtel, France","RF Pulse Shape Control Using a Recurrent Algorithm for a FEL RF-Gun Cavity",499 501,
we101,"H. Padamsee, Cornell University, Ithaca, New York, USA","Superconducting RF Cavity Technology",505 509,
we102,"K.W. Shepard, L.M. Bollinger, R.C. Pardo, ANL, Argonne, Illinois, USA","The ATLAS Positive Ion Injector",510 514,
we103,"W. Fox, LANL, Los Alamos, New Mexico, USA","The Pros and Cons of Cryogenic Accelerators: an Engineering Point of View",515 517,
we104,"G.E. McMichael, Atomic Energy of Canada, Chalk River, Ontario, Canada","Low Beta CW Linacs for Intense Beams",518 521,
we201,"U. Ratzinger, GSI, Darmstadt, Germany","Interdigital RF Structures",525 529,
we202,"L.M. Young, LANL, Los Alamos, New Mexico, USA","Tuning and Stabilization of RFQ's",530 534,
we203,"A. Schempp, IAP, Frankfurt am Main, Germany","Variable Energy and Heavy Ion RFQs",535 539,
