FR101,"H. Hayano, KEK, Ibaraki","Overview of Linear Collider Test Facilities and Results",
THP33,"J. Wang, SLAC/ARDA, Menlo Park, California; C. Adolphsen, SLAC/NLC, Menlo Park, California; T. Arkan, FNAL, Batavia, Illinois; N. Baboi, DESY, Hamburg; C. Boffo, FNAL, Batavia, Illinois; G. Bowden, SLAC/ARDA, Menlo Park, California; D.L. Burke, SLAC/NLC, Menlo Park, California; H. Carter, FNAL, Batavia, Illinois; J.Q. Chan, J. Cornuelle, SLAC/NLC, Menlo Park, California; V.A. Dolgashev, SLAC/ARDA, Menlo Park, California; S. Döbert, SLAC/NLC, Menlo Park, California; D. Finley, I. Gonin, Fermilab, Batavia, Illinois; Y. Higashi, T. Higo, KEK, Ibaraki; R.M. Jones, SLAC/ARDA, Menlo Park, California; N. Khabiboulline, FNAL, Batavia, Illinois; T. Kumi, KEK, Ibaraki; J. Lewandowski, SLAC/ARDA, Menlo Park, California; Z. Li, R. Miller, SLAC, Menlo Park, California; S. Mishra, Fermilab, Batavia, Illinois; Y. Morozumi, KEK, Ibaraki; C.D. Nantista, SLAC/ARDA, Menlo Park, California; C. Pearson, SLAC, Stanford; G. Romanov, Fermilab, Batavia, Illinois; R.D. Ruth, SLAC, Menlo Park, California; N. Solyak, Fermilab, Batavia, Illinois; S.G. Tantawi, SLAC/ARDA, Menlo Park, California; N. Toge, K. Ueno, KEK, Ibaraki; P.B. Wilson, L. Xiao, SLAC, Menlo Park, California","Progress toward NLC/GLC Prototype Accelerator Structures",
THP34,"W. Wuensch, CERN, Geneva; C. Adolphsen, SLAC/NLC, Menlo Park, California; S. Döbert, SLAC, Stanford; A. Grudiev, T. Heikkinen, I. Syratchev, T. Taborelli, I. Wilson, CERN, Geneva","A High-Power Test of an X-Band Molybdenum-Iris Structure",
THP35,"J. Frisch, A. Chang, V. Decker, SLAC, Menlo Park, California; D. Eric, SLAC/NLC, Menlo Park, California; L. Hendrickson, SLAC, Menlo Park, California; T. Himel, SLAC/NLC, Menlo Park, California; T. Markiewicz, R. Partridge, A. Seryi, SLAC, Menlo Park, California","Development of a Non-Magnetic Inertial Sensor for Vibration Stabilization in a Linear Collider",
THP36,"J. Frisch, A. Chang, V. Decker, SLAC, Menlo Park, California; E. Eric, L. Eriksson, SLAC/NLC, Menlo Park, California; L. Hendrickson, SLAC, Menlo Park, California; T. Himel, SLAC/NLC, Menlo Park, California; T. Markiewicz, R. Partridge, A. Seryi, SLAC, Menlo Park, California","Vibration Stabilization of a Mechanical Model of a X-Band Linear Collider Final Focus Magnet",
THP37,"J. Frisch, SLAC, Menlo Park, California; P. Burrows, Queen Mary University of London, London; L. Hendrickson, T. Markiewicz, SLAC, Menlo Park, California; S. Molloy, Queen Mary University of London, London; C. Perry, OXFORDphysics, Oxford, Oxon; T.O. Raubenheimer, SLAC/NLC, Menlo Park, California; A. Seryi, SLAC, Menlo Park, California; T. Thomas, SLAC/NLC, Menlo Park, California; G. White, Queen Mary University of London, London","Approaches to Beam Stabilization in X-Band Linear Colliders",
THP38,"J. Prenting, DESY, Hamburg; J. Green, G. Grzelak, OXFORDphysics, Oxford, Oxon; A. Herty, CERN, Geneva; A. Mitra, A. Reichold, OXFORDphysics, Oxford, Oxon; M. Schlösser, DESY, Hamburg","High Precision Survey and Alignment of Large Linear Accelerators",
THP39,"H.P. Bohlen, A. Balkcum, M. Cattelino, L. Cox, M. Cusick, CPI, Palo Alto; K. Eppley, SAIC, Boston; S. Forrest, F. Friedlander, A. Staprans, E. Wright, L. Zitelli, CPI, Palo Alto","Operation of a 1.3 GHz, 10 MW Multiple Beam Klystron",
THP41,"S.A. Belomestnykh, M. Liepe, V. Medjidzade, H. Padamsee, LEPP, Ithaca, New York; N.P. Sobenin, MEPhI, Moscow; V. Veshcherevich, LEPP, Ithaca, New York","Development of High RF Power Delivery System for 1300 MHz Superconducting Cavities of Cornell ERL Injector",
THP42,"R.L. Cassel, SLAC, Stanford; C. Brooksby, E. Cook, LLNL, Livermore; M. Nguyen, G.C. Pappas, SLAC, Stanford; J. Sullivan, LLNL, Livermore; J.E. deLamare, SLAC, Stanford","NLC Hybrid Solid State Induction Modulator",
THP43,"Y. Iwashita, Kyoto ICR, Kyoto","Reduction of RF Power Loss Caused by Skin Effect",
THP44,"M. Champion, M. Crofford, ORNL/SNS, Oak Ridge, Tennessee; L. Doolittle, LBNL, Berkeley, California; K. Kasemir, ORNL/SNS, Oak Ridge, Tennessee; C. Lionberger, LBNL, Berkeley, California; H. Ma, ORNL/SNS, Oak Ridge, Tennessee; M. Monroy, LBNL, Berkeley, California; C. Piller, ORNL/SNS, Oak Ridge, Tennessee; J. Power, LANL, Los Alamos, New Mexico; A. Ratti, LBNL, Berkeley, California; H. Shoee, LANL, Los Alamos, New Mexico","The Design and Performance of the Spallation Neutron Source Low-Level RF Control System",
THP45,"A. Yano, TETD, Saitama; Y.H. Chin, KEK, Ibaraki; S.Y. Kazakov, IHEP Protvino, Protvino, Moscow Region; A.V. Larionov, BINP SB RAS, Protvino, Moscow Region; S. Miyake, TETD, Saitama; V.E. Teryaev, BINP SB RAS, Protvino, Moscow Region","The Toshiba E3736 Multi Beam Klystron",
THP46,"A. Cours, ANL, Argonne, Illinois","Cable Insulation Breakdowns in the Modulator with a Switch Mode High Voltage Power Supply",
THP47,"Z. Zhang, J. Li, J. Qiao, X. Xu, IHEP Beijing, Beijing","The RF-System for A High Current RFQ at IHEP",
THP48,"A.E. Grelick, N.D. Arnold, ANL/APS, Argonne, Illinois; J. Carwardine, N. Dimonte, A. Nassiri, T. Smith, ANL, Argonne, Illinois","A High-Resolution S-band Down-Converting Digital Phase Detector for SASE FEL Use",
THP49,"T. Grevsmühl, S. Choroba, Ph. Duval, O. Hensler, J. Kahl, F.-R. Kaiser, A. Kretzschmann, DESY, Hamburg; H. Leich, DESY Zeuthen, Zeuthen; K. Rehlich, U. Schwendicke, S. Simrock, S. Weisse, DESY, Hamburg; RW. Wenndorff, DESY Zeuthen, Zeuthen","The RF-Station Interlock for the European X-ray laser",
THP50,"C. Hovater, M. Augustine, A. Guerra, R. Nelson, R.A. Terrel, M. Wissmann, TJNAF, Newport News, Virginia","The CEBAF RF Separator System Upgrade",
THP51,"V.V. Katalev, S. Choroba, DESY, Hamburg","Tuning of External Q And Phase for The Cavities of A Superconducting Linear Accelerator",
THP52,"T. Kobayashi, JAERI, Ibaraki-ken; S. Anami, KEK, Ibaraki; E. Chishiro, JAERI, Ibaraki-ken; S. Michizono, S. Yamaguchi, KEK, Ibaraki","RF Reference Distribution System for the J-PARC Linac",
THP53,"S. Kuzikov, G. G. Denisov, IAP, Nizhniy Novgorod; J.L. Hirshfield, Omega-P, Inc., New Haven, Connecticut; M. Yu. Shmelyov, IAP, Nizhniy Novgorod","Quasi-Optical Components for Future Linear Colliders",
THP54,"A.I. Kvasha, RAS/INR, Moscow","Moscow Meson Factory DTL RF System Upgrade",
THP55,"M. Kunze, M. Brunken, H.-D. Gräf, W.F.O. Müller, A. Richter, T. Weiland, TU Darmstadt, Darmstadt","Electromagnetic Design of New RF Power Couplers for the S-DALINAC",
THP56,"S. Michizono, S. Anami, KEK, Ibaraki; E. Chishiro, JAERI, Ibaraki-ken; E. Kadokura, KEK, Ibaraki; T. Kobayashi, .H. Suzuki, JAERI, Ibaraki-ken; S. Yamaguchi, KEK, Ibaraki","Control of the Low Level RF System for J-Parc Linac",
THP57,"S. Michizono, S. Anami, KEK, Ibaraki; T. Kobayashi, J-PARC, Ibaraki-ken; S. Yamaguchi, KEK, Ibaraki","Digital Feedback System for J-Parc Linac RF Source",
THP58,"S. Michizono, S. Fukuda, T. Matsumoto, K. Nakao, T. Takenaka, KEK, Ibaraki; K. Yoshida, MELCO, Hyogo","Development of C-band High-Power Mix-Mode RF Window",
THP59,"J. Mourier, R. Bossart, J. Nonglaton, I. Syratchev, L. Tanner, CERN, Geneva","Low Level RF Including a Sophisticated Phase Control System for CTF3",
THP60,"C.D. Nantista, SLAC/ARDB, Menlo Park, California; D.P. Atkinson, LLNL, Livermore; J.Q. Chan, SLAC/NLC, Menlo Park, California; S.Y. Kazakov, KEK, Ibaraki; D.C. Schultz, SLAC, Menlo Park, California; S.G. Tantawi, SLAC/ARDA, Menlo Park, California","High-Power RF Distribution System for the 8-Pack Project",
THP61,"T. Sugimura, M. Ikeda, K. Kakihara, T. Kamitani, S. Ohsawa, K. Yokoyama, KEK, Ibaraki","SKIP - A Pulse Compressor for SuperKEKB",
THP64,"H. Wang, Jefferson Lab, Newport News, Virginia; M. Tiefenback, TJNAF, Newport News, Virginia","Waveguide Stub Tuner Analysis for CEBAF Application",
THP65,"C. Deibele, ORNL, Oak Ridge; J. Billen, N.K. Bultman, LANL, Los Alamos, New Mexico; J. Error, P. Gibson, ORNL/SNS, Oak Ridge, Tennessee; G. Johnson, ORNL, Oak Ridge; J. Manolitsas, ACCEL, Bergisch Gladbach; J. Stovall, LANL, Los Alamos, New Mexico; D. Trompetter, ACCEL, Bergisch Gladbach; A. Vasyuchenko, RAS/INR, Moscow; L. Young, TechSource, Santa Fe, NM","Low-Power RF Tuning of the Spallation Neutron Source Warm LINAC Structures",
THP66,"T.L. Grimm, W. Hartung, T.H. Kandil, H. Khalil, J. Popielarski, NSCL, East Lansing, Michigan; C. Radcliffe, MSU, East Lansing, Michigan; J. Vincent, R.C. York, NSCL, East Lansing, Michigan","Measurement and Control of Microphonics in High Loaded-Q Superconducting RF Cavities",
THP67,"V.A. Dolgashev, SLAC/ARDB, Menlo Park, California; Y. Higashi, T. Higo, KEK, Ibaraki; C.D. Nantista, S.G. Tantawi, SLAC/ARDA, Menlo Park, California","Traveling Wave and Standing Wave Single Cell High Gradient Tests",
THP68,"C.-F. Wu, USTC/NSRL, Hefei, Anhui","The Simulation Calculations And Dielectric Characteristics Investigation of a Hybrid Dielectric-Iris-Loaded Travelling Accelerating Structure",
THP69,"S. Wang, S. Fu, IHEP Beijing, Beijing; T. Kato, KEK, Ibaraki","The Tuning Study of the Coupled Cavities for the RF Chopper System of J-PARC",
THP70,"T.L. Grimm, S. Bricker, NSCL, East Lansing, Michigan; G. Ciovati, Jefferson Lab, Newport News, Virginia; C. Compton, W. Hartung, M. Johnson, NSCL, East Lansing, Michigan; P. Kneisel, Jefferson Lab, Newport News, Virginia; F. Marti, J. Popielarski, NSCL, East Lansing, Michigan; L. Turlington, TJNAF, Newport News, Virginia; R.C. York, NSCL, East Lansing, Michigan","Experimental Study of an 805 MHz Cryomodule for the Rare Isotope Accelerator",
THP71,"D. Reschke, A. Brinkmann, DESY, Hamburg; G. Müller, BUW, Wuppertal; D. Werner, IPA, Stuttgart","First Experience with Dry-Ice Cleaning on SRF Cavities",
THP72,"A. Grudiev, W. Wuensch, CERN, Geneva","A Newly Designed and Optimized CLIC Main Linac Accelerating Structure",
THP74,"A. Noda, Kyoto ICR, Kyoto; H. Daido, JAERI APRC, Ibaraki-ken; A. Fukumi, NIRS, Chiba-shi; M. Hashida, Kyoto ICR, Kyoto; T. Hosokai, H. Iijima, UTNL, Ibaraki; Y. Iwashita, Kyoto ICR, Kyoto; K. Kinoshita, UTNL, Ibaraki; Z. Li, K. Matsukado, NIRS, Chiba-shi; S. Nakamura, S. Sakabe, S. Shimizu, T. Shirai, Kyoto ICR, Kyoto; T. Takeuchi, DOP Nagoya, Nagoya; H. Tongu, Kyoto ICR, Kyoto; M. Uesaka, T. Watanabe, K. Yoshii, UTNL, Ibaraki","Laser Produced Ions as an Injection Beam for Cancer Therapy Facility",
THP75,"P. V. Avrakhov, V.E. Balakin, PTC LPI, Protvino, Moscow Region","Superconducting Accelerating Structure with Gradient as 2 Times Higher as TESLA Structure",
THP82,"A. Jankowiak, H. Euteneuer, S. Schumann, O. Tchoubarov, IKP, Mainz","Experiences in Fabrication and Testing the Prototype of the 4.90 GHz Accelerating Sections for MAMI C",
THP83,"N. Khabiboulline, T. Arkan, H. Carter, FNAL, Batavia, Illinois; G. Linder, University of Illinois at Urbana-Champaign, Urbana, Illinois; G. Romanov, Fermilab, Batavia, Illinois","Measurements of High Order Modes in High Phase Advance Damped Detuned Accelerating Structure for NLC",
THP84,"F.L. Krawczyk, LANL/LANSCE, Los Alamos, New Mexico; B.E. Carlsten, L.M. Earley, LANL, Los Alamos, New Mexico; J.M. Potter, JP Accelerator Works, Inc., 2245, Los Alamos, NM; M.E. Schulze, GA, Los Alamos; F.E. Sigler, LANL/LANSCE, Los Alamos, New Mexico; E. Smirnova, MIT/PSFC, Cambridge, Massachusetts","Design of a 300 GHz Broadband TWT Coupler and RF-Structure",
THP85,"N. Solyak, Fermilab, Batavia, Illinois; L. Bellantoni, T. Berenc, H. Edwards, M. Foley, FNAL, Batavia, Illinois; I. Gonin, Fermilab, Batavia, Illinois; N. Khabiboulline, D. Mitchell, A. Rowe, FNAL, Batavia, Illinois","Test Results of the 3.9 GHz Cavity at Fermilab",
THP86,"A. Schempp, K.-U. Kühnel, IAP, Frankfurt-am-Main; C.P. Welsch, MPI-K, Heidelberg","Low Power Measurements on a Finger Drift Tube Linac",
THP87,"J. Lewandowski, G. Bowden, SLAC/ARDA, Menlo Park, California; R. Miller, SLAC, Menlo Park, California; J. Wang, SLAC/ARDA, Menlo Park, California","Accelerator Structure Bead Pull Measurement at SLAC",
THP88,"F. Naito, KEK, Ibaraki","Longitudinal Bunch Shape Monitor Using the Beam Chopper of the J-PARC",
THP89,"H. Tanaka, KEK, Ibaraki; H. Asano, JAERI, Ibaraki-ken; T. Itou, JAERI/LINAC, Ibaraki-ken; T. Kato, KEK, Ibaraki; T. Morishita, JAERI, Ibaraki-ken; F. Naito, E. Takasaki, KEK, Ibaraki","Measured RF Properties of the DTL for the J-PARC",
THP90,"V.V. Paramonov, A.K. Skasyrskaya, RAS/INR, Moscow","The Technique for the Numerical Tolerances Estimations in the Construction of Compensated Accelerating Structures",
THP92,"A. Sun, ORNL/SNS, Oak Ridge, Tennessee; H. Wang, G. Wu, Jefferson Lab, Newport News, Virginia","Effect of the Tuner on the Field Flatness of SNS Superconducting RF Cavities",
THP93,"G. Geloni, E. Saldin, E. Schneidmiller, M.V. Yurkov, DESY, Hamburg","A 3D Self-Consistent, Analytical Model for Longitudinal Plasma Oscillation in a Relativistic Electron Beam",
THP94,"R. Stassen, FZJ/IKP, Jülich; R. Eichhorn, F. M. Esser, B. Laatsch, FZJ, Jülich; R. Maier, FZJ/IKP, Jülich; G. Schug, H. Singer, FZJ, Jülich","Cold Tests of a 160 MHz Half-Wave Resonator",
THP95,"A. Matheisen, L. Lilje, H. Morales, B. Petersen, M. Schmoekel, N. Steinhau-Kühl, DESY, Hamburg","Electro Polishing of Niobium Cavities at DESY",
TU101,"D. Schrage, LANL, Los Alamos, New Mexico","Engineering and Building RF Structures - The Works",
TU102,"C.J. Joshi, UCLA, Los Angeles, California","Survey of Advanced Acceleration Techniques",
TU103,"W. Barth, L. Dahl, J. Glatz, L. Groening, S. Richter, S. Yaramishev, GSI, Darmstadt","Development of the UNILAC Towards a Megawatt Beam Injector",
TU104,"P. Schmor, TRIUMF, Vancouver","Developments and Future Plans at ISAC/TRIUMF",
TU201,"H. Matsumoto, KEK, Ibaraki; H. Baba, RIKEN Spring-8 Harima, Hyogo; J-O. Oh, PAL, Pohang; T. Shintake, RIKEN Spring-8 Harima, Hyogo; S. Takeda, S.S. Win, M. Yoshida, KEK, Ibaraki","The KEK C-Band RF System for a Linear Collider",
TU202,"K. Togawa, H. Baba, T. Inagaki, RIKEN Spring-8 Harima, Hyogo; H. Matsumoto, KEK, Ibaraki; K. Onoe, T. Shintake, T. Tanaka, RIKEN Spring-8 Harima, Hyogo","Low Emittance 500 kV Thermionic Electron Gun",
TU203,"R. P. Johnson, FNAL, Batavia, Illinois; M.M. Alsharo'a, Muons, Inc., Batavia; C. M. Ankenbrandt, Fermilab, Batavia, Illinois; K. Beard, A. Bogacz, Y.S. Derbenev, Jefferson Lab, Newport News, Virginia; R.E. Hartline, Muons, Inc., Batavia; D. M. Kaplan, IIT, Chicago, Illinois; M. Kuchnir, Muons, Inc., Batavia; A. Moretti, Fermilab, Batavia, Illinois; M. Popovic, FNAL, Batavia, Illinois; T.J. Roberts, Muons, Inc., Batavia; K. Yonehara, IIT, Chicago, Illinois","High Pressure, High Gradient RF Cavities for Muon Beam Cooling",
TU204,"A. Moretti, A.D. Bross, Fermilab, Batavia, Illinois; D.M. Errede, University of Illinois at Urbana-Champaign, Urbana, Illinois; S. Geer, Fermilab, Batavia, Illinois; D. Li, LBNL/AFR, Berkeley, California; J. Norem, ANL, Argonne, Illinois; Z. Qian, Fermilab, Batavia, Illinois; R.A. Rimmer, Jefferson Lab, Newport News, Virginia; Y. Torun, IIT, Chicago, Illinois; M.S. Zisman, LBNL, Berkeley, California","Effect of High Solenoidal Magnetic Fields on Breakdown Voltages of High Vacuum 805 MHz Cavities",
TU301,"J.-L. Biarrotte, IPN, Orsay","High Power CW Superconducting Linacs for EURISOL and XADS",
TU302,"M.C. Ross, SLAC/NLC, Menlo Park, California","Future Developments in Electron Linac Diagnostics",
TUP01,"Yu. Budanov, O.K. Belyaev, S.V. Ivanov, A.P. Maltsev, I.G. Maltsev, V.B. Stepanov, S.A. Strekalovskyh, V.A. Teplyakov, V. Zenin, IHEP Protvino, Protvino, Moscow Region","RFQ Drift-Tube Proton Linacs in IHEP",
TUP02,"M. Vretenar, Y. Cuvet, J. Genest, CERN, Geneva; F. Gerigk, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; C. Völlinger, CERN, Geneva","Development of a 352 MHz Cell-Coupled Drift Tube Linac Prototype",
TUP03,"M. Vretenar, R. Garoby, CERN, Geneva; F. Gerigk, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; K. Hanke, A.M. Lombardi, C. Rossi, CERN, Geneva","Design of the LINAC4, A New Injector for the CERN Booster",
TUP04,"R. Garoby, CERN, Geneva; P.-Y. Beauvais, CEA/DSM/DAPNIA, Gif-sur-Yvette; L. Bruno, F. Caspers, J. Genest, K. Hanke, M. Hori, D. Kuchler, A.M. Lombardi, M. Magistris, A. Millich, M. Paoluzzi, C. Rossi, E.Zh. Sargsyan, M. Silari, T. Steiner, M. Vretenar, CERN, Geneva","The SPL Front End: A 3 MeV H- Test Stand at CERN",
TUP05,"F. Gerigk, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon; E. Benedico Mora, A.M. Lombardi, E.Zh. Sargsyan, M. Vretenar, CERN, Geneva","Beam Dynamics for a new 160 MeV H- Linac at CERN (LINAC4)",
TUP06,"F. Naito, S. Anami, J. Chiba, Y. Fukui, K. Furukawa, KEK, Ibaraki; K. Hasegawa, JAERI, Ibaraki-ken; Z. Igarashi, K. Ikegami, M. Ikegami, KEK, Ibaraki; T. Itou, JAERI/LINAC, Ibaraki-ken; E. Kadokura, N. Kamikubota, T. Kato, M. Kawamura, H. Kobayashi, KEK, Ibaraki; T. Kobayashi, J-PARC, Ibaraki-ken; Y. Kondo, JAERI, Ibaraki-ken; C. Kubota, E. Takasaki, H. Tanaka, KEK, Ibaraki; A. Ueno, JAERI, Ibaraki-ken; S. Yamaguchi, KEK, Ibaraki; Y. Yamazaki, JAERI/LINAC, Ibaraki-ken; K. Yoshino, KEK, Ibaraki","Results of the High-Power Conditioning and the First Beam Acceleration of the DTL-1 for J-PARC",
TUP07,"R. Garnett, L. Rybarcyk, LANL, Los Alamos, New Mexico","A Linac-to-Booster Injection Line for Transverse Matching and Correlated Injection Painting",
TUP08,"D.A. Swenson, LLC, Albuquerque, New Mexico","Carbon Ion Injector Linac for a Heavy Ion Medical Synchrotron",
TUP09,"R. von Hahn, M. Grieser, R. Repnow, D. Schwalm, C.P. Welsch, MPI-K, Heidelberg","The Heidelberg High Current Injector: A Versatile Injector for Storage Ring Experiments",
TUP10,"Z.Y. Guo, J. Chen, J. Fang, Y.R. Lu, S.X. Peng, PKU/IHIP, Beijing; A. Schempp, IAP, Frankfurt-am-Main; Z.Z. Song, J.X. Yu, C. Zhang, K. Zhu, PKU/IHIP, Beijing","Design of a Deuteron RFQ for Neutron Generation",
TUP11,"M. Okamura, RIKEN, Saitama; R. Becker, IAP, Frankfurt-am-Main; T. Fujimoto, AEC, Chiba; T. Hattori, N. Hayashizaki, TIT, Tokyo; Y. Iwata, NIRS, Chiba-shi; R.A. Jameson, RIKEN, Saitama; H. Kashiwagi, JAERI/ARTC, Gunma-ken; A. Schempp, IAP, Frankfurt-am-Main; S. Shibuya, NIRS, Chiba-shi; J. Takano, K. Yamamoto, RIKEN, Saitama","High current RFQ using laser ion source",
TUP13,"T. Sieber, CERN, Geneva; D. Habs, O.K. Kester, LMU, Garching","Test and First Experiments with the new REX-ISOLDE 200 MHz IH-Structure",
TUP14,"D.A. Swenson, W.J. Starling, LLC, Albuquerque, New Mexico","Status of the RFI Linac Prototype",
TUP15,"A.B. Ismail, CEA/DSM/DAPNIA, Gif-sur-Yvette; R. Duperrier, CEA/DAPNIA-SACM, Gif-sur-Yvette Cedex; N. Pichoff, CEA/DAM, Bruyères-le-Châtel; U.D. Uriot, CEA/DSM/DAPNIA, Gif-sur-Yvette","Space Charge Compensation in Low Energy Proton Beams",
TUP16,"C. Zhang, IAP, Frankfurt-am-Main; J. Chen, J. Fang, Z.Y. Guo, PKU/IHIP, Beijing; A. Schempp, IAP, Frankfurt-am-Main","Investigation on Beam Dynamics Design of High-Intensity RFQs",
TUP18,"E. Fagotti, INFN Milano, Milano; M. Comunian, A. Palmieri, A. Pisent, INFN/LNL, Legnaro, Padova","Beam Dynamics Issues of SPES-1 Linac",
TUP19,"E. Fagotti, INFN Milano, Milano; M. Comunian, A. Palmieri, A. Pisent, INFN/LNL, Legnaro, Padova","Characterization of Beam Parameter and Halo for a High Intensity RFQ Output under Different Current Regimes",
TUP20,"V.G. Vaccaro, Naples University Federico II, Mathematical, Physical and Natural Sciences Faculty, Napoli; A. D'Elia, Naples University Federico II, Napoli; D. Davino, Universita' degli Studi del Sannio, Benevento; S. Falco, Naples University Federico II, Mathematical, Physical and Natural Sciences Faculty, Napoli; M.R. Masullo, INFN-Napoli, Napoli","Some Relevant Aspects in the Design and Construction of a 30-62 MeV Linac Booster for Proton Therapy",
TUP21,"M. Ikegami, KEK, Ibaraki; H. Ao, JAERI/LINAC, Ibaraki-ken; K. Hasegawa, JAERI, Ibaraki-ken; N. Hayashizaki, TIT, Tokyo; T. Kato, S. Noguchi, KEK, Ibaraki; T. Ohkawa, JAERI, Ibaraki-ken; V.V. Paramonov, RAS/INR, Moscow; A. Ueno, JAERI, Ibaraki-ken; Y. Yamazaki, JAERI/LINAC, Ibaraki-ken","Beam Dynamics Design of J-PARC Linac High Energy Section",
TUP22,"M. Ikegami, KEK, Ibaraki; Y. Kondo, T. Ohkawa, A. Ueno, JAERI, Ibaraki-ken","A Simulation Study on Chopper Transient Effects in J-PARC Linac",
TUP23,"M. Ikegami, KEK, Ibaraki; Y. Kondo, T. Ohkawa, A. Ueno, JAERI, Ibaraki-ken","A Simulation Study on Error Effects in J-PARC Linac",
TUP26,"P.N. Ostroumov, ANL/Phys, Argonne, Illinois; A. Kolomiets, ITEP, Moscow; E.S. Masunov, MEPhI, Moscow; K.W. Shepard, ANL/Phys, Argonne, Illinois","Alternating Phase Focusing in Low-Velocity Heavy-Ion Superconducting Linac",
TUP27,"V. Coco, J.A. Chamings, A.M. Lombardi, E.Zh. Sargsyan, R. Scrivens, CERN, Geneva","Acceleration of Several Charge States of Lead Ion in CERN LINAC3",
TUP29,"A. Shor, D. Berkovits, SOREQ, Yavne; K. Dunkel, ACCEL, Bergisch Gladbach; G. Feinberg, S. Halfon, SOREQ, Yavne","Proton Beam Dynamics of the SARAF Linac",
TUP41,"N. Baboi, DESY, Hamburg","Multi-Bunch Beam Dynamics Studies for the European XFEL",
TUP42,"P. Castro, V. Balandin, N. Golubeva, DESY, Hamburg","Beam Optics Studies for the TESLA Test Facility Linac",
TUP43,"J. Knobloch, BESSY GmbH, Berlin","The Superconducting CW Driver Linac for the BESSY-FEL User Facility",
TUP44,"G. D'Auria, R.J. Bakker, Sincrotrone Trieste S.C.p.A., Basovizza, Trieste; C. Bocchetta, ELETTRA, Basovizza, Trieste; P. Craievich, Sincrotrone Trieste S.C.p.A., Basovizza, Trieste; M. Danailov, ELETTRA, Basovizza, Trieste; G. De Ninno, S.D. Di Mitri, Sincrotrone Trieste S.C.p.A., Basovizza, Trieste; B. Diviacco, ELETTRA, Basovizza, Trieste; M. Ferianis, P.G. Pangon, R.L. Rumiz, T.L. Tosi, Sincrotrone Trieste S.C.p.A., Basovizza, Trieste; V. Verzilov, ELETTRA, Basovizza, Trieste; D. Zangrando, Sincrotrone Trieste S.C.p.A., Basovizza, Trieste","Linac Upgrades for FERMI@ELETTRA",
TUP45,"M. Pedrozzi, G. Ingold, PSI, Villigen","Extended Parametric Evaluation for 1 Å FEL - Emittance and Current Requirements",
TUP46,"M. Brunken, W. Ackermann, A. Araz, U. Bonnes, H.-D. Gräf, M. Hertling, A. Karnaukhov, W.F.O. Müller, O. Patalakha, M. Platz, A. Richter, B. Steiner, O. Titze, B. Truckses, T. Weiland, TU Darmstadt, Darmstadt","A New Control System for the S-DALINAC",
TUP47,"A. Oppelt, K. Abrahamyan, DESY Zeuthen, Zeuthen; W. Ackermann, TU Darmstadt, Darmstadt; I. Bohnet, J. Bähr, DESY Zeuthen, Zeuthen; J.-P. Carneiro, K. Flöttmann, DESY, Hamburg; U. Gensch, H.-J. Grabosch, J.H. Han, DESY Zeuthen, Zeuthen; E. Jaeschke, BESSY GmbH, Berlin; M. Krasilnikov, DESY Zeuthen, Zeuthen; D. Krämer, BESSY GmbH, Berlin; D. Lipka, DESY Zeuthen, Zeuthen; P. Michelato, INFN/LASA, Segrate (MI); V. Miltchev, DESY Zeuthen, Zeuthen; W.F.O. Müller, TU Darmstadt, Darmstadt; C. Pagani, INFN/LASA, Segrate (MI); B. Petrosyan, DESY Zeuthen, Zeuthen; D. Richter, BESSY GmbH, Berlin; J. Rossbach, Uni HH, Hamburg; W. Sandner, MBI, Berlin; S. Schreiber, DESY, Hamburg; D. Sertore, INFN/LASA, Segrate (MI); S. Setzer, TU Darmstadt, Darmstadt; L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen; I. Tsakov, INRNE, Sofia; T. Weiland, TU Darmstadt, Darmstadt; I. Will, MBI, Berlin; M. von Hartrott, BESSY GmbH, Berlin","The Photo Injector Test Facility at DESY Zeuthen: Results of the First Phase",
TUP48,"Y.-E. Sun, Chicago University, Chicago, Illinois; N. Barov, Northern Illinois University, DeKalb, Illinois; K. Desler, DESY, Hamburg; H. Edwards, FNAL, Batavia, Illinois; M. Huening, Fermilab, Batavia, Illinois; K.-J. Kim, Chicago University, Chicago, Illinois; S. Lidia, LBNL/AFR, Berkeley, California; P. Piot, J. Santucci, FNAL, Batavia, Illinois; R. Tikhoplav, Rochester University, Rochester, New York; J. Wennerberg, FNAL, Batavia, Illinois","Progress Report on the Flat Beam Experiment at the Fermilab/Nicadd Photoinjector Laboratory",
TUP49,"K. C. D. Chan, C. Ekdahl, LANL, Los Alamos, New Mexico; C. Genoni, P. Hughes, MRC, Albuquerque, NM","Simulations of the Ion-Hose Instability for DARHT-II Long-Pulse Experiments",
TUP50,"J. R. Delayen, Jefferson Lab, Newport News, Virginia","Cumulative Beam Breakup with Time-Dependent Parameters",
TUP52,"C. Tennant, K. Jordan, E. Pozdeyev, R.A. Rimmer, Jefferson Lab, Newport News, Virginia; S. Simrock, DESY, Hamburg; H. Wang, Jefferson Lab, Newport News, Virginia","Methods for Measuring and Controlling Beam Breakup in High Current ERLs",
