mocyb1,"K.B. Scheidt [ESRF, Grenoble, France] ","Non-Destructive Vertical Halo Monitor on the ESRF's 6GeV Electron Beam",2 6,
tupf27,"C.A. Thomas, M. Donna, T.J. Grandsaert, M. Göhran, R. Linander, T.J. Shea [ESS, Lund, Sweden] ","Optical System for ESS Target Protection",389 392,
tutub1,"M.E. Gruchalla [URS, Albuquerque, New Mexico, USA] M. Thuot [LANL, Los Alamos, New Mexico, USA] ","Managing Electromagnetic Interference in Large Instrumentation Environments",224 238,
wecyb1,"A. Penirschke, A. Angelovski, M. Hansli, R. Jakoby, T. Mahn [TU Darmstadt, Darmstadt, Germany] ","Development of a Modified Six-Port Discriminator for Precise Beam Position Measurements",495 499,
wecyb2,"J. Mead, A. Caracappa, W.X. Cheng, C. Danneil, J.H. De Long, A.J. Della Penna, K. Ha, B.N. Kosciuk, M.A. Maggipinto, D. Padrazo, B. Podobedov, O. Singh, Y. Tian, K. Vetter [BNL, Upton, Long Island, New York, USA] ","NSLS-II RF Beam Position Monitor Comissioning Update",500 504,
wecyb3,"S.R. Marques, R.A. Baron, G.B.M. Bruno, F.H. Cardoso, L.A. Martins, J.L.B. Neto, L.M. Russo, D.O. Tavares [LNLS, Campinas, Brazil] ","Status of the Sirius RF BPM Electronics",505 509,
weczb1,"R. Geithner, T. Stoehlker (T. Stöhlker) [IOQ, Jena, Germany] R. Geithner, T. Stoehlker (T. Stöhlker) [HIJ, Jena, Germany] F. Kurian, H. Reeg, M. Schwickert, T. Stoehlker (T. Stöhlker) [GSI, Darmstadt, Germany] R. Neubert, P. Seidel [FSU Jena, Jena, Germany] ","A SQUID-Based Beam Current Monitor for FAIR/CRYRING",510 514,
weczb3,"E. Nebot Del Busto, C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] M.J. Boland [ASCo, Clayton, Victoria, Australia] M.J. Boland, R.P. Rassool [The University of Melbourne, Melbourne, Victoria, Australia] E.B. Holzer, M. Kastriotou, E. Nebot Del Busto [CERN, Geneva, Switzerland] P.D. Jackson [University of Adelaide, Adelaide, Australia] J. Schmidt [Albert-Ludwig Universitaet Freiburg, Freiburg, Germany] C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] ","Measurement of Beam Losses Using Optical Fibers at the Australian Synchrotron",515 520,
weixb1,"H. Loos [SLAC, Menlo Park, California, USA] ","LCLS Beam Diagnostics",475 485,
weiyb1,"M. Wendt [CERN, Geneva, Switzerland] ","Direct (Under)Sampling vs Analog Downconversion for BPM Electronics",486 494,
wepd01,"R. Singh, P. Forck, P. Kowina [GSI, Darmstadt, Germany] M. Gasior (M. Gąsior) [CERN, Geneva, Switzerland] W.F.O. Müller, J.A. Tsemo Kamga, T. Weiland [TEMF, TU Darmstadt, Darmstadt, Germany] ","Observations of the Quadrupolar Oscillations at GSI SIS-18",629 633,
wepd03,"M.S. Sanjari, X. Chen, P. Hülsmann, Yu.A. Litvinov, F. Nolden, M. Steck, T. Stoehlker (T. Stöhlker) [GSI, Darmstadt, Germany] J. Piotrowski [AGH University of Science and Technology, Krakow, Poland] ","Conceptual Design of Elliptical Cavity Beam Position Monitors for Heavy Ion Storage Rings",634 636,
wepd04,"R. Ichimiya, K. Furukawa, F. Miyahara, M. Satoh, T. Suwada [KEK, Ibaraki, Japan] ","High Position Resolution and High Dynamic Range Stripline Beam Position Monitor (BPM) Readout System for the KEKB Injector Linac Towards the SuperKEKB",637 641,
wepd05,"M. Tobiyama [KEK, Ibaraki, Japan] ","Improvement of Data Transfer Speed of Large Memory Monitors",642 646,
wepd07,"M. Cargnelutti, M. Znidarcic (M. Žnidarčič) [I-Tech, Solkan, Slovenia] H. Hassanzadegan [ESS, Lund, Sweden] ","Evaluation of Libera Single Pass H for ESS LINAC",647 651,
wepd08,"H.J. Qian, J.M. Byrd, L.R. Doolittle, Q. Du, D. Filippetto, G. Huang, F. Sannibale, R.P. Wells [LBNL, Berkeley, California, USA] J. Yang [TUB, Beijing, People's Republic of China] ","Beam Jitter Spectra Measurements of the APEX Photoinjector",652 654,
wepd09,"H.A. Watkins, J.D. Gilpatrick, R.C. McCrady [LANL, Los Alamos, New Mexico, USA] ","Development of a High Speed Beam Position and Phase Monitoring System for the LANSCE Linac",655 659,
wepd10,"M.M. Dehler, S. Hunziker [PSI, Villigen PSI, Switzerland] M. Leich [PSI, Villigen, Villigen, Switzerland] ","Front End Concept for a Wake Field Monitor",660 664,
wepd11,"B. Keil, G. Marinkovic, M. Stadler [PSI, Villigen PSI, Switzerland] D. Lipka [DESY, Hamburg, Germany] ","Beam-Based Calibration and Performance Optimization of Cavity BPMs for SwissFEL, E-XFEL and FLASH2",665 669,
wepd12,"M. Stadler, R. Baldinger, R. Ditter, B. Keil, F. Marcellini, G. Marinkovic, M. Roggli, M. Rohrer [PSI, Villigen PSI, Switzerland] D. Lipka, D. Noelle (D. Nölle), S. Vilcins [DESY, Hamburg, Germany] ","Low-Q Cavity BPM Electronics for E-XFEL, FLASH-II and SwissFEL",670 674,
wepd13,"M. Stadler, R. Baldinger, R. Ditter, B. Keil, F. Marcellini, G. Marinkovic, M. Roggli, M. Rohrer [PSI, Villigen PSI, Switzerland] ","Development of the SwissFEL Undulator BPM System",675 679,
wepd17,"C. Xu, S. Allison, S. L. Hoobler, D.J. Martin, J.J. Olsen, T. Straumann, A. Young [SLAC, Menlo Park, California, USA] H.-S. Kang, C. Kim, S.J. Lee, G. Mun [PAL, Pohang, Kyungbuk, Republic of Korea] ","Commissioning Results of MicroTCA.4 Stripline BPM System",680 683,
wepd21,"N. Hubert, B. Béranger, L.S. Nadolski [SOLEIL, Gif-sur-Yvette, France] ","BPM Data Correction at SOLEIL",684 686,
wepd22,"N. Hubert, N. Béchu, L. Cassinari, J. Da Silva Castro, J.-C. Denard, M. Labat, J.L. Marlats, A. Mary [SOLEIL, Gif-sur-Yvette, France] S.R. Marques, R.T. Neuenschwander [LNLS, Campinas, Brazil] ","Design of a New Blade-Type XBPM",687 690,
wepd23,"A. Olmos, S. Blanch-Torné, G. Cuni (G. Cuní), Z. Martí, J. Moldes, R. Petrocelli, S. Rubio-Manrique, X. Serra-Gallifa, D. Yepez (D. Yépez) [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] ","Commissioning of the ALBA Fast Orbit Feedback System",691 695,
wepd24,"G. Rehm, M.G. Abbott, A.F.D. Morgan [DLS, Oxfordshire, United Kingdom] ","New Features and Measurements using the Upgraded Transverse Multibunch Feedback at Diamond",696 699,
wepd25,"J.E. Dusatko, J.M. Cesaratto, J.D. Fox, C.H. Rivetta [SLAC, Menlo Park, California, USA] S. De Santis [LBNL, Berkeley, California, USA] W. Höfle [CERN, Geneva, Switzerland] ","Upgrade Development Progress for the CERN SPS High Bandwidth Transverse Feedback Demonstrator System",700 702,
wepd26,"M. Höner, S. Khan, M. Sommer [DELTA, Dortmund, Germany] ","Bunch-by-Bunch Feedback Systems at the DELTA Storage Ring used for Beam Diagnostics",703 706,
wepd27,"W.X. Cheng, B. Bacha, Y. Hu, O. Singh, H. Xu [BNL, Upton, Long Island, New York, USA] D. Teytelman [Dimtel, San Jose, USA] ","Commissioning of Bunch-by-Bunch Feedback System for NSLS2 Storage Ring",707 711,
wepf02,"M. Werner, T. Lensch, J. Lund-Nielsen, Re. Neumann, D. Noelle (D. Nölle), N. Wentowski [DESY, Hamburg, Germany] ","A Toroid Based Bunch Charge Monitor System with Machine Protection Features for FLASH and XFEL",521 524,
wepf03,"D. Belohrad, J.C.A. Allica, M. Andersen, W. Andreazza, G. Favre, N. Favre, L.K. Jensen, L. Lenardon, W. Vollenberg [CERN, Geneva, Switzerland] ","Upgrade of the Fast Beam Intensity Measurement System for the CERN PS Complex",525 529,
wepf04,"M.F. Fernandes, J. Tan [CERN, Geneva, Switzerland] C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] ","A Cryogenic Current Comparator for the Low Energy Antiproton Facitities at CERN",530 535,
wepf05,"A. Jeff, S. Doebert (S. Döbert), T. Lefevre (T. Lefèvre) [CERN, Geneva, Switzerland] A. Jeff [The University of Liverpool, Liverpool, United Kingdom] K. Pepitone [CEA, LE BARP cedex, France] ","Simulation of the Beam Dump for a High Intensity Electron Gun",536 539,
wepf06,"L. Soby (L. Søby), D. Belohrad, M. Krupa, P. Odier [CERN, Geneva, Switzerland] J.F. Bergoz, F. Stulle [BERGOZ Instrumentation, Saint Genis Pouilly, France] ","A New Integrating Current Transformer for the LHC",540 543,
wepf07,"A.G. Sosa, E. Bravin, E.D. Cantero [CERN, Geneva, Switzerland] C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] ","Optimization of a Short Faraday Cup for Low-Energy Ions Using Numerical Simulations",544 547,
wepf08,"J. van de Walle, Y. Claereboudt, G. Krier, D. Prieels [IBA, Louvain-la-Neuve, Belgium] G. Boissonnat, J. Colin, J.-M. Fontbonne [LPC, Caen, France] ","Dosimetry of Pulsed Beams in Proton Therapy",548 552,
wepf09,"H. J. Choi, M.S. Chae, H.-S. Kang, S.J. Park [PAL, Pohang, Kyungbuk, Republic of Korea] ","Introduction to the Test Result of Turbo-ICT in PAL-ITF",553 557,
wepf10,"N. S. Saotome, T. Furukawa, Y. Hara, K. Mizushima, K. Noda, T. Shirai, R. Tansho [NIRS, Chiba-shi, Japan] Y. Saraya [National Institute of Radiological Sciences, Chiba, Japan] ","Range Verification System Using Scintillator and CCD Camera System",558 560,
wepf12,"J.W. Ok, S. Choi, J.G. Hong, S.J. Kim, B.S. Lee, J.Y. Park, C.S. Shin, M. Won, J.H. Yoon [Korea Basic Science Institute, Busan, Republic of Korea] J. Bahng [Kyungpook National University, Daegu, Republic of Korea] ","A Diagnostics of Ion Beam from 28 GHz Electron Cyclotron Resonance Ion Source",561 564,
wepf13,"E.D. Cantero, W. Andreazza, E. Bravin, A.G. Sosa [CERN, Geneva, Switzerland] A.G. Sosa [Cockcroft Institute, Warrington, Cheshire, United Kingdom] A.G. Sosa [The University of Liverpool, Liverpool, United Kingdom] ","The Status of Beam Diagnostics for the Hie-Isolde Linac at Cern",565 568,
wepf15,"D. Noelle (D. Nölle) [DESY, Hamburg, Germany] ","Status of the Standard Diagnostic Systems of the European XFEL",569 573,
wepf16,"A.C. Garcia-Bonilla (A.C. García-Bonilla) [UNAL, Bogota D.C, Colombia] ","Algorithm to Improve the Beta-Function Measurement and its Evaluation in Storage Rings Lattices",574 578,
wepf17,"S.M. Lidia [FRIB, East Lansing, Michigan, USA] K. Murphy [LBNL, Berkeley, California, USA] ","Error Analysis for Pepperpot Emittance Measurements Redux: Correlated Phase Spaces",579 583,
wepf18,"M. Krupa, M. Gasior (M. Gąsior) [CERN, Geneva, Switzerland] ","Precise Digital Integration of Fast Analogue Signals Using a 12-Bit Oscilloscope",584 587,
wepf19,"J. Voelker (J. Völker), T. Kamps [HZB, Berlin, Germany] ","Fast Transverse Phase Space Measurement System for GunLab - A Compact Test Beamline for SRF Photoinjectors",588 591,
wepf21,"J.P. Sikora [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] S. De Santis [LBNL, Berkeley, California, USA] ","Electron Cloud Density Measurements Using Resonant Microwaves at CesrTA",592 596,
wepf23,"Y. Hara, T. Furukawa, K. Mizushima, K. Noda, N. S. Saotome, T. Shirai, R. Tansho [NIRS, Chiba-shi, Japan] Y. Saraya [National Institute of Radiological Sciences, Chiba, Japan] ","Dosimetric Verification of Lateral Profile with a Unique Ionization Chamber in Therapeutic Ion Beams",597 600,
wepf24,"Y. Hara, T. Furukawa, K. Mizushima, K. Noda, N. S. Saotome, T. Shirai, E. Takeshita, R. Tansho [NIRS, Chiba-shi, Japan] Y. Saraya [National Institute of Radiological Sciences, Chiba, Japan] ","Development of Three-Dimensional Dose Verification System using a Fluorescent Screen in Ion Beam Therapy",601 604,
wepf25,"A.F.D. Morgan, G. Rehm [DLS, Oxfordshire, United Kingdom] ","A Fast Quadrupole Magnet for Machine Studies at Diamond",605 607,
wepf26,"R.J. Michnoff, Z. Altinbas, P. Cerniglia, R. Connolly, C. Cullen, C. Degen, D.M. Gassner, R.L. Hulsart, R.F. Lambiase, L.F. Mausner, D. Raparia, P. Thieberger, M. Wilinski [BNL, Upton, Long Island, New York, USA] ","The Brookhaven LINAC Isotope Production Facility (BLIP) Raster Scanning Upgrade",608 612,
wepf28,"C. Jamet, T.A. Andre, B. Ducoudret, G. Ledu, S.L. Leloir, S. Loret, C. Potier de courcy [GANIL, Caen, France] ","Failure Mode and Effects Analysis of the Beam Intensity Control for the SPIRAL2 Accelerator",613 616,
wepf29,"W.LC. Le Coz, C. Jamet, G. Ledu, S. Loret, C. Potier de courcy, D.T. Touchard [GANIL, Caen, France] Y. Lussignol [CEA/DSM/IRFU, France] ","Progress on the Beam Energy Monitor for the SPIRAL2 Accelerator.",617 619,
wepf30,"R. Tansho, T. Furukawa, Y. Hara, K. Mizushima, K. Noda, N. S. Saotome, T. Shirai [NIRS, Chiba-shi, Japan] Y. Saraya [National Institute of Radiological Sciences, Chiba, Japan] ","Study of General Ion Recombination for Beam Monitor used in Particle Radiotherapy",620 623,
wepf31,"E. Soliman, K. Hofmann [TU Darmstadt, Darmstadt, Germany] H. Reeg, M. Schwickert [GSI, Darmstadt, Germany] ","Sensor Studies for DC Current Transformer Application",624 628,
