fr101,"T. Inagaki, RIKEN/SPring-8, Hyogo","8-GeV C-Band Accelerator Construction for XFEL/SPring-8",1090 1094,
mop079,"M. Yamada, H. Fujisawa, Kyoto ICR, Uji, Kyoto; P. Geltenbort, ILL, Grenoble; K. Hirota, RIKEN, Wako, Saitama; M. Ichikawa, Kyoto ICR, Uji, Kyoto; T. Ino, KEK, Ibaraki; Y. Iwashita, Kyoto ICR, Uji, Kyoto; Y. Kamiya, S. Kawasaki, S. Komamiya, University of Tokyo, Tokyo; K. Mishima, T. Morishima, S. Mutou, KEK, Ibaraki; T. Oku, JAEA, Ibaraki-ken; Y. Otake, RIKEN, Wako, Saitama; H. Otono, University of Tokyo, Tokyo; K. Sakai, JAEA, Ibaraki-ken; H. Sato, RIKEN, Wako, Saitama; Y. Seki, Kyoto University, Kyoto; H.M. Shimizu, KEK, Tsukuba; T. Shinohara, J. Suzuki, JAEA, Ibaraki-ken; K. Taketani, KEK, Tsukuba; H. Tongu, Kyoto ICR, Uji, Kyoto; S. Yamashita, University of Tokyo, Tokyo; T. Yoshioka, ICEPP, Tokyo","Development of Modulating Permanent Magnet Sextupole Lens for Focusing of Pulsed Cold Neutrons",263 265,
mop082,"N.P. Sobenin, M. Gusarova, V.I. Kaminsky, MEPhI, Moscow; L.V. Kravchuk, RAS/INR, Moscow; S.V. Kutsaev, M.V. Lalayan, MEPhI, Moscow; S.G. Tarasov, RAS/INR, Moscow","Multipacting Simulation in RF Structures",266 268,
mop083,"N.P. Sobenin, MEPhI, Moscow; A.A. Krasnov, ScanTech, Atlanta, Georgia; S.V. Kutsaev, M.V. Lalayan, V.A. Makarov, MEPhI, Moscow; V.I. Shvedunov, MSU, Moscow; A.A. Zavadtsev, Introscan, Moscow","Analysis of Input Coupler Asymmetry Influence on Beam Dynamics in Accelerators with Superconducting Cavities",269 271,
mop085,"Y.A. Svistunov, NIIEFA, St. Petersburg; R.S. Kolevatov, Saint-Petersburg State University, Saint-Petersburg; I.V. Kudinovich, AN Krylov SRI, St. Petersburg","Calculations of Targets for ADS Using GEANT-4",272 274,
mop086,"G. Bellodi, CERN, Geneva; R.D. Duperrier, CEA, Gif-sur-Yvette; M. Eshraqi, J.-B. Lallement, S. Lanzone, A.M. Lombardi, E.Zh. Sargsyan, CERN, Geneva; D. Uriot, CEA, Gif-sur-Yvette","End to End Beam Dynamics and RF Error Studies for Linac4",275 277,
mop087,"H. Shaker, IPM, Tehran; E. Adli, University of Oslo, Oslo; R. Corsini, A.E. Dabrowski, A. Latina, T. Lefèvre, H. Shaker, P.K. Skowronski, F. Tecker, P. Urschütz, CERN, Geneva","Status of Longitudinal Beam Dynamics Studies in CTF3",278 280,
mop088,"J.K. Pozimski, Imperial College of Science and Technology, Department of Physics, London; J.J. Back, University of Warwick, Coventry; D.C. Faircloth, STFC/RAL/ISIS, Chilton, Didcot, Oxon; C. Gabor, STFC/RAL/ASTeC, Chilton, Didcot, Oxon; S. Jolly, Imperial College of Science and Technology, Department of Physics, London; A.P. Letchford, STFC/RAL/ISIS, Chilton, Didcot, Oxon; D.C. Plostinar, STFC/RAL/ASTeC, Chilton, Didcot, Oxon","Particle Dynamics Calculations and Emittance Measurements at the FETS",281 283,
mop089,"R.M. Jones, C.J. Glasman, UMAN, Manchester","Beam Dynamics and Wake-field Simulations for High Gradient ILC Linacs",284 286,
mop090,"R.M. Jones, I.R.R. Shinton, UMAN, Manchester","Scattering Matrix Simulations of Fields and Dispersion Relations in Superconducting Cavities for XFEL and ILC",287 289,
mop091,"B. Mustapha, ANL, Argonne; D. Jeon, ORNL, Oak Ridge, Tennessee; P.N. Ostroumov, ANL, Argonne","End-to-End Simulation of the SNS Linac Using TRACK",290 292,
mop092,"A. Xiao, M. Borland, ANL, Argonne","Monte Carlo Simulation of Touschek Effects in a Linac Beam",293 295,
mop093,"A. Xiao, ANL, Argonne","Study of IBS Effects for High-Brightness Linac Beams",296 298,
mop097,"B. Terzic, Northern Illinois University, DeKalb, Illinois","Orthogonal Basis Function Approximation of Particle Distribution in Numerical Simulations of Beams",299 301,
mop098,"G.H. Gillespie, W. Hill, G.H. Gillespie Associates, Inc., Del Mar, California","The Open Architecture Software Integration System (OASIS) for Creating PBO Lab Modules",302 304,
mop099,"G.H. Gillespie, W. Hill, G.H. Gillespie Associates, Inc., Del Mar, California","An Innovative Graphic User Interface for PARMILA 2",305 307,
mop101,"R.M. Talman, CLASSE, Ithaca, New York; N. Malitsky, BNL, Upton, Long Island, New York; F. Stulle, CERN, Geneva","Simulation of Emittance Growth Using the UAL String Space Charge Model",308 310,
mop102,"C. Ekdahl, E.O. Abeyta, P. Aragon, R.D. Archuleta, LANL, Los Alamos, New Mexico; H. Bender, W. Broste, C. Carlson, NSTec, Los Alamos, New Mexico; G.V. Cook, D. Dalmas, K. Esquibel, LANL, Los Alamos, New Mexico; D. Frayer, NSTec, Los Alamos, New Mexico; R.J. Gallegos, R.W. Garnett, LANL, Los Alamos, New Mexico; T.C. Genoni, Voss Scientific, Albuquerque, New Mexico; J.F. Harrison, LANL, Los Alamos, New Mexico; T.P. Hughes, Voss Scientific, Albuquerque, New Mexico; E.B. Jacquez, LANL, Los Alamos, New Mexico; D. Johnson, NSTec, Los Alamos, New Mexico; J.B. Johnson, B.T. McCuistian, N. Montoya, S. Nath, K. Nielsen, D. Oro, LANL, Los Alamos, New Mexico; B.A. Prichard, SAIC, Los Alamos, New Mexico; L.J. Rowton, M. Sanchez, R.D. Scarpetti, M. Schauer, LANL, Los Alamos, New Mexico; M.E. Schulze, SAIC, Los Alamos, New Mexico; G.J. Seitz, H.V. Smith, R. Temple, LANL, Los Alamos, New Mexico; C.H. Thoma, Voss Scientific, Albuquerque, New Mexico; C.-Y. Tom, C.P. Trainham, J.T. Williams, NSTec, Los Alamos, New Mexico","Electron Beam Dynamics in the DARHT-II Linear Induction Accelerator",311 313,
mop103,"M. Pieck, LANL, Los Alamos, New Mexico","Artificial Intelligence Research in Particle Accelerator Control Systems for Beam Line Tuning",314 316,
mop104,"A.E. Candel, A.C. Kabel, K. Ko, L. Lee, Z. Li, C. Limborg-Deprey, C.-K. Ng, G.L. Schussman, R. Uplenchwar, SLAC, Menlo Park, California","Parallel 3D Finite Element Particle-In-Cell Code for High-Fidelity RF Gun Simulations",317 319,
mop105,"R.M. Jones, SLAC, Menlo Park, California; V.F. Khan, UMAN, Manchester","Beam Dynamics and Wake-field Simulations for the CLIC Main Linacs",320 322,
mop106,"D. Jeon, ORNL, Oak Ridge, Tennessee; G. Franchetti, L. Groening, I. Hofmann, GSI, Darmstadt","Prediction of 4=1 Resonance of a High Intensity Linac",323 325,
mop107,"D. Jeon, ORNL, Oak Ridge, Tennessee","Transverse Matching of the SNS Linac Based on Profile Measurements",326 327,
mop108,"D. Jeon, J. Galambos, ORNL, Oak Ridge, Tennessee","Phase Law of a High Intensity Superconducting Linac",328 330,
mop110,"T. Sakai, Nihon University, Advanced Research Institute for the Sciences and Humanities, Funabashi; K. Hayakawa, Y. Hayakawa, LEBRA, Funabashi; M. Inagaki, T. Kuwada, Nihon University, Advanced Research Institute for the Sciences and Humanities, Funabashi; K. Nakao, K. Nogami, LEBRA, Funabashi; I. Sato, Nihon University, Advanced Research Institute for the Sciences and Humanities, Funabashi; Y. Takahashi, T. Tanaka, LEBRA, Funabashi","Precise Control of Cooling Water System for Stabilization of 125 MeV Linac at LEBRA",331 333,
mop111,"J.F. Patrick, S.L. Lackey, Fermilab, Batavia","Control Systems for Linac Test Facilities at Fermilab",334 336,
mop112,"R.D. Archuleta, L. Sanchez, LANL, Los Alamos, New Mexico","The DARHT Data Acquisition, Archival, Analysis, and Instrument Control System (DAAAC), and Network Infrastructure",337 339,
mop113,"E.B. Jacquez, LANL, Los Alamos, New Mexico","The Dual Axis Radiographic Hydrodynamic Test (DARHT) Facility Personnel Safety System (PSS) Control System",340 342,
th101,"C.M. Ginsburg, Fermilab, Batavia","Superconducting RF R&D Toward High Gradient",725 729,
th102,"G. Olry, IPN, Orsay","SRF Developments for Ion Acceleration",730 734,
th103,"J. Mammosser, ORNL, Oak Ridge, Tennessee","Developing Facilities for SNS Cryomodule Performance Improvements",735 739,
th104,"R. Keller, LANL, Los Alamos, New Mexico","An Overview of Linac Ion Sources",740 744,
th201,"F. Ames, TRIUMF, Vancouver","Charge State Boosters for Radioactive Ion Acceleration",745 748,
th202,"A. Roy, IUAC, New Delhi","Heavy Ion Linac Booster at IUAC, New Delhi",749 753,
th203,"P.A. Seidl, A. Anders, LBNL, Berkeley, California; J.J. Barnard, LLNL, Livermore, California; F.M. Bieniosek, LBNL, Berkeley, California; J.A. Calanog, UCB, Berkeley, California; A.X. Chen, LBNL, Berkeley, California; R.H. Cohen, LLNL, Livermore, California; J.E. Coleman, LBNL, Berkeley, California; M. Dorf, E.P. Gilson, PPPL, Princeton, New Jersey; D.P. Grote, LLNL, Livermore, California; J.-Y. Jung, M. Leitner, S.M. Lidia, B.G. Logan, P.N. Ni, P.K. Roy, K. Van den Bogert, W.L. Waldron, LBNL, Berkeley, California; D.R. Welch, Voss Scientific, Albuquerque, New Mexico","Beam Compression in Heavy-Ion Induction Linacs",754 758,
th204,"J.L. Wilson, ORNL, Oak Ridge, Tennessee","Student Prize Winner Talk - Twisted Structures and Their Application as Accelerating Structures",759 759,
th301,"P.N. Ostroumov, ANL, Argonne; J.-P. Carneiro, Fermilab, Batavia; B. Mustapha, ANL, Argonne","Beam Dynamics Studies of the 8 GeV Linac at FNAL",760 764,
th302,"S.M. Lund, LLNL, Livermore, California","Transport Limits in Periodic Focusing Channels",765 765,
th303,"B. Mustapha, P.N. Ostroumov, J. Xu, ANL, Argonne","Towards a Model Driven Accelerator with Petascale Computing",766 770,
thp001,"R. Grill, H. Kestler, L.S. Sigl, H. Traxler, Plansee Metall GmbH, Reutte","Nb-RRR Sheet Inspection by Means of Ultrasonic Microscopy",771 773,
thp002,"R.E. Laxdal, K. Fong, A. Grassellino, A.K. Mitra, TRIUMF, Vancouver; R.S. Orr, University of Toronto, Toronto, Ontario; I. Sekachev, TRIUMF, Vancouver; W. Trischuk, University of Toronto, Toronto, Ontario; V. Zvyagintsev, TRIUMF, Vancouver","The 1.3 GHz Superconducting RF Program at TRIUMF",774 776,
thp003,"R.E. Laxdal, R.J. Dawson, TRIUMF, Vancouver; R. Edinger, PAVAC, Richmond, B.C.; K. Fong, A. Grassellino, M. Marchetto, A.K. Mitra, T.C. Ries, V. Zvyagintsev, TRIUMF, Vancouver","Production and Testing of Two 141 MHz Prototype Quarter Wave Cavities for ISAC-II",777 779,
thp004,"A.K. Mitra, I.V. Bylinskii, K. Fong, R.E. Laxdal, J. Lu, R.W. Shanks, V. Zvyagintsev, TRIUMF, Vancouver","Performance of the ISAC-II 141 MHz Solid State Amplifier",780 782,
thp005,"R. Ferdinand, GANIL, Caen; P. Ausset, IPN, Orsay; E. Gueroult, GANIL, Caen; D. Longuevergne, G. Olry, IPN, Orsay; P. Robillard, GANIL, Caen; H. Saugnac, P. Szott, IPN, Orsay; J.L. Vignet, GANIL, Caen","Tests of Wire Sublimations Very Close to SPIRAL 2 Superconducting Cavity",783 785,
thp006,"G. Devanz, J.-P. Charrier, S. Chel, M. Desmons, Y. Gasser, A. Hamdi, P. Hardy, J. Plouin, D. Roudier, CEA, Gif-sur-Yvette","704 MHz High Power Coupler and Cavity Development for High Power Pulsed Proton Linacs",786 788,
thp008,"D. Longuevergne, S. Blivet, G. Martinet, G. Olry, H. Saugnac, IPN, Orsay","A Novel Frequency Tuning System Based on Movable Plunger for SPIRAL2 High-Beta Superconducting Quarter-Wave Resonator",789 791,
thp009,"H. Saugnac, IPN, Orsay; R. Beunard, GANIL, Caen; C. Commeaux, IPN, Orsay; R. Ferdinand, GANIL, Caen; Y. Gómez-Martínez, LPSC, Grenoble; C. Joly, J. Lesrel, D. Longuevergne, F. Lutton, G. Martinet, G. Olry, IPN, Orsay; M. Souli, GANIL, Caen; F. Vezzu, LPSC, Grenoble","RF and Cryogenic Tests of the First Beta 0.12 SPIRAL2 Cryomodule",792 794,
thp010,"O. Kugeler, W. Anders, J. Knobloch, A. Neumann, BESSY GmbH, Berlin","Influence of Piezo-Hysteresis and Resolution on Cavity Tuning",795 796,
thp011,"H. Podlech, M. Amberg, A. Bechtold, M. Busch, F.D. Dziuba, U. Ratzinger, C. Zhang, IAP, Frankfurt am Main","Recent Developments on Superconducting CH-Structures and Future Perspectives",797 799,
thp012,"A. Brinkmann, W. Singer, DESY, Hamburg","Nondestructive Testing of Niobium Sheets for SRF Cavities Using Eddy-current and SQUID Flaw Detection",800 802,
thp013,"A. Brinkmann, D. Reschke, J. Ziegler, DESY, Hamburg","Various Applications of Dry-Ice Cleaning in the Field of Accelerator Components at DESY",803 805,
thp014,"L. Lilje, D. Reschke, DESY, Hamburg","Recent Results of 1.3 GHz Nine-Cell Superconducting Cavities for the European XFEL",806 808,
thp015,"D. Reschke, J. Ziegler, DESY, Hamburg","Open 120C Bake in Argon Atmosphere: A Simplified Approach for Q-Drop Removal",809 811,
thp016,"D. Reschke, DESY, Hamburg","Analysis of Quenches Using Temperature Mapping in 1.3 GHz SCRF Cavities at DESY",812 814,
thp017,"B.K. Sahu, G.K. Chowdhury, S. Ghosh, D. Kanjilal, D.S. Mathuria, R. Mehta, A. Pandey, P. Patra, A. Rai, A. Roy, K. Singh, IUAC, New Delhi","Use of Piezoelectric Actuator to Frequency Lock Superconducting Quarter Wave Resonator",815 817,
thp018,"R. Paparella, INFN/LASA, Segrate (MI); C. Albrecht, DESY, Hamburg; A. Bosotti, INFN/LASA, Segrate (MI); J. Knobloch, O. Kugeler, BESSY GmbH, Berlin; R. Lange, L. Lilje, DESY, Hamburg; A. Neumann, BESSY GmbH, Berlin; C. Pagani, N. Panzeri, INFN/LASA, Segrate (MI)","Successful Qualification of the Coaxial Blade Tuner",818 820,
thp019,"P. Pierini, A. Bosotti, INFN/LASA, Segrate (MI); H.T. Edwards, M.H. Foley, E.R. Harms, Fermilab, Batavia; J. Iversen, DESY, Hamburg; D.V. Mitchell, Fermilab, Batavia; N. Panzeri, D. Sertore, INFN/LASA, Segrate (MI); W. Singer, E. Vogel, DESY, Hamburg","Third Harmonic Superconducting Cavity Prototypes for the XFEL",821 823,
thp021,"Y. Iwashita, Kyoto ICR, Uji, Kyoto; H. Hayano, K. Watanabe, KEK, Ibaraki","Development of Inspection Systems for Superconducting Cavities",824 826,
thp022,"M. Pasini, S. Calatroni, L.M.A. Ferreira, D. Ramos, T. Tardy, F. Thierry, T. Trilhe, CERN, Geneva","SC Nb Sputtered QWRs for the REX-ISOLDE Accelerator at CERN: Prototype Design and Manufacturing",827 829,
thp023,"G. Burt, Cockcroft Institute, Lancaster University, Lancaster; C. Adolphsen, SLAC, Menlo Park, California; P.K. Ambattu, Cockcroft Institute, Lancaster University, Lancaster; C.D. Beard, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; L. Bellantoni, Fermilab, Batavia; R.G. Carter, Cockcroft Institute, Lancaster University, Lancaster; B. Chase, M. Church, Fermilab, Batavia; A.C. Dexter, Cockcroft Institute, Lancaster University, Lancaster; D.M. Dykes, P. Goudket, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; R.M. Jones, UMAN, Manchester; A. Kalinin, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; T.N. Khabiboulline, Fermilab, Batavia; A. Latina, CERN, Geneva; Z. Li, SLAC, Menlo Park, California; L. Ma, P.A. McIntosh, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; D. Schulte, CERN, Geneva; A. Seryi, SLAC, Menlo Park, California; M.I. Tahir, Cockcroft Institute, Lancaster University, Lancaster; L. Xiao, SLAC, Menlo Park, California","Crab Cavities for Linear Colliders",830 832,
thp024,"P.K. Ambattu, G. Burt, R.G. Carter, A.C. Dexter, Cockcroft Institute, Lancaster University, Lancaster; R.M. Jones, UMAN, Manchester; P.A. McIntosh, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire","Initial Study on the Shape Optimisation of the CLIC Crab Cavity",833 835,
thp025,"M.P. Kelly, J.D. Fuerst, S.M. Gerbick, M. Kedzie, P.N. Ostroumov, K.W. Shepard, G.P. Zinkann, ANL, Argonne","Superconducting Quarter-Wave Resonators for the ATLAS Energy Upgrade",836 838,
thp026,"M.P. Kelly, S.M. Gerbick, ANL, Argonne; D.R. Olis, A.M. Rowe, Fermilab, Batavia","Surface Processing Facilities for Superconducting RF Cavities at ANL",839 841,
thp027,"M.H. Foley, T.T. Arkan, H. Carter, H.T. Edwards, Fermilab, Batavia; G. Galasso, University of Udine, Udine; J. Grimm, E.R. Harms, T.N. Khabiboulline, D.V. Mitchell, D.R. Olis, T.J. Peterson, P.A. Pfund, N. Solyak, D.J. Watkins, M. Wong, Fermilab, Batavia","Welding Helium Vessels to the 3.9 GHz Superconducting Third Harmonic Cavities",842 844,
thp028,"E.R. Harms, T.T. Arkan, V.T. Bocean, H. Carter, H.T. Edwards, M.H. Foley, T.N. Khabiboulline, M.W. McGee, D.V. Mitchell, D.R. Olis, A.M. Rowe, N. Solyak, Fermilab, Batavia","Status of 3.9 GHz Superconducting RF Cavity Technology at Fermilab",845 847,
thp029,"E.R. Harms, H.T. Edwards, A. Hocker, T.N. Khabiboulline, N. Solyak, Fermilab, Batavia","Performance of 3.9-GHZ Superconducting Cavities",848 850,
thp030,"G. Apollinari, Fermilab, Batavia; J.D. Fuerst, ANL, Argonne; I.G. Gonin, Fermilab, Batavia; M.P. Kelly, ANL, Argonne; T.N. Khabiboulline, G. Lanfranco, A. Mukherjee, J.P. Ozelis, L. Ristori, G.V. Romanov, D.A. Sergatskov, Fermilab, Batavia; K.W. Shepard, ANL, Argonne; R.L. Wagner, R.C. Webber, Fermilab, Batavia","High Gradient Test Results of 325 MHz Single Spoke Cavity at Fermilab",851 853,
thp033,"W. Hartung, J. Bierwagen, S. Bricker, C. Compton, J. DeLauter, NSCL, East Lansing, Michigan; A. Facco, INFN/LNL, Legnaro, Padova; P. Glennon, M. Hodek, M.J. Johnson, F. Marti, P.S. Miller, D. Norton, J. Popielarski, L. Popielarski, D. Sanderson, J. Wlodarczak, R.C. York, NSCL, East Lansing, Michigan; E.N. Zaplatin, FZJ, Jülich","Superconducting Quarter-Wave Resonator Cavity and Cryomodule Development for a Heavy Ion Re-accelerator",854 856,
thp034,"S.A. Belomestnykh, Z.A. Conway, J. Dobbins, R.P.K. Kaplan, M. Liepe, P. Quigley, J.J. Reilly, J.P. Sikora, C.R. Strohman, V. Veshcherevich, CLASSE, Ithaca, New York","CW RF Systems of the Cornell ERL Injector",857 859,
thp035,"S.A. Belomestnykh, V.D. Shemelin, CLASSE, Ithaca, New York","Multipactor in Minimum Electric Field Regions of Transmission Lines and Superconducting RF Cavities",860 862,
thp036,"Z.A. Conway, D.L. Hartill, CLASSE, Ithaca, New York; H. Padamsee, Cornell University, Ithaca, New York; E.N. Smith, CLASSE, Ithaca, New York","Oscillating Superleak Transducers for Quench Detection in Superconducting ILC Cavities Cooled with He-II",863 865,
thp037,"F.L. Krawczyk, LANL, Los Alamos, New Mexico; S.J. Cooke, NRL, Washington, DC; D.C. Nguyen, LANL, Los Alamos, New Mexico; B. Rusnak, LLNL, Livermore, California; T.I. Smith, Stanford University, Stanford, Califormia; E.L. Wright, Beam-Wave Research, Inc., Union City","RF Design of a Spoke Resonator for High Power Free-Electron Lasers",866 866,
thp038,"Z. Li, C. Adolphsen, SLAC, Menlo Park, California","A New SRF Cavity Shape with Minimized Surface Electric and Magnetic Fields for the ILC",867 869,
thp039,"V. Akcelik, K. Ko, L. Lee, Z. Li, C.-K. Ng, L. Xiao, SLAC, Menlo Park, California","SRF Cavity Imperfection Studies Using Advanced Shape Uncertainty Quantification Tools",870 872,
thp040,"J.R. Delayen, H. Wang, JLAB, Newport News, Virginia","A New TEM-Type Deflecting and Crabbing RF Structure",873 875,
thp041,"J.R. Delayen, JLAB, Newport News, Virginia; S.U. De Silva, ODU, Norfolk, Virginia","Analysis of Electronic Damping of Microphonics in Superconducting Cavities",876 878,
thp042,"R.L. Geng, JLAB, Newport News, Virginia; M.S. Champion, Fermilab, Batavia; G. Ciovati, A.C. Crawford, JLAB, Newport News, Virginia; F. Furuta, K. Saito, KEK, Ibaraki; D.A. Sergatskov, Fermilab, Batavia","High-Gradient SRF R&D for ILC at Jefferson Lab",879 881,
thp043,"W. Singer, DESY, Hamburg; G. Ciovati, JLAB, Newport News, Virginia; I. Jelezov, DESY, Hamburg; P. Kneisel, JLAB, Newport News, Virginia; A. Matheisen, DESY, Hamburg; M. Morrone, JLAB, Newport News, Virginia; X. Singer, DESY, Hamburg","Preliminary Results from Multi-Cell Seamless Niobium Cavities Fabricated by Hydroforming",882 884,
thp044,"J.K. Sekutowicz, G. Ciovati, P. Kneisel, JLAB, Newport News, Virginia; L. Xiao, SLAC, Menlo Park, California","Coaxial Coupling Scheme for Fundamental and Higher Order Modes in Superconducting Cavities",885 887,
thp045,"J.L. Wilson, ORNL, Oak Ridge, Tennessee; A.E. Fathy, University of Tennessee, Knoxville, Tennessee; Y.W. Kang, ORNL, Oak Ridge, Tennessee","Twisted Structures and Their Application as Accelerating Structures",888 890,
thp046,"M. Di Giacomo, GANIL, Caen; A.C. Caruso, G. Gallo, INFN/LNS, Catania; A. Longhitano, ALTEK, San Gregorio (CATANIA); D. Rifuggiato, A. Spartà, E. Zappalà, INFN/LNS, Catania","Preliminary Design of the Slow Chopper for the SPIRAL 2 Project",891 893,
thp047,"J.F. Leyge, M. Di Giacomo, M. Michel, P. Toussaint, GANIL, Caen","Design of the MEBT Rebunchers for the SPIRAL2 Driver",894 896,
thp048,"M. Di Giacomo, B. Ducoudret, GANIL, Caen","RF Power Amplifiers for the SPIRAL2 Driver: Requirements and Status",897 899,
thp049,"M. Schuh, CERN, Geneva; K.-U. Kühnel, MPI-K, Heidelberg; M. Schuh, GSI, Darmstadt; C.P. Welsch, MPI-K, Heidelberg","Optimization of Spiral-Loaded Cavities Using the 3D Code OPERA/SOPRANO",900 902,
thp052,"H. Tomizawa, H. Dewa, H. Hanaki, A. Mizuno, T. Taniuchi, JASRI/SPring-8, Hyogo-ken","Development of a High-Pressure Chemical Etching Method as a Surface Treatment for High-Field Accelerating Structures Made of Copper",903 905,
thp053,"S. Matsumoto, M. Akemoto, S. Fukuda, T. Higo, N. Kudoh, H. Matsushita, H. Nakajima, T. Shidara, K. Yokoyama, M. Yoshida, KEK, Ibaraki","The Status of Nextef; The X-band Test Facility in KEK",906 908,
thp054,"S. Fukuda, M. Akemoto, H. Hayano, H. Honma, H. Katagiri, S. Kazakov, S. Matsumoto, T. Matsumoto, S. Michizono, H. Nakajima, K. Nakao, T. Shidara, T. Takenaka, Y. Yano, M. Yoshida, KEK, Ibaraki","Status of RF Sources in Super-Conducting RF Test Facility (STF) at KEK",909 911,
thp055,"K. Yokoyama, S. Fukuda, Y. Higashi, T. Higo, N. Kudoh, S. Matsumoto, Y. Watanabe, KEK, Ibaraki","Characteristics of Different Materials on High-Gradient Experiments",912 914,
thp056,"H. Ao, JAEA/LINAC, Ibaraki-ken; H. Asano, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; K. Hasegawa, K. Hirano, JAEA/LINAC, Ibaraki-ken; M. Ikegami, KEK, Ibaraki; T. Morishita, JAEA/LINAC, Ibaraki-ken; F. Naito, KEK, Ibaraki; V.V. Paramonov, RAS/INR, Moscow; A. Ueno, JAEA/LINAC, Ibaraki-ken; Y. Yamazaki, J-PARC, KEK & JAEA, Ibaraki-ken","Improvement in the ACS Cavity Design for the J-PARC Linac Energy Upgrade",915 917,
thp057,"G. Isoyama, S. Kashiwagi, R. Kato, M. Morio, S. Suemine, ISIR, Osaka","Development of RF Cavities for the SHB System of the L-band Electron Linac at Osaka University",918 920,
thp058,"S.V. Kutsaev, A. Anisimov, MEPhI, Moscow; M.A. Ferderer, A.A. Krasnov, ScanTech, Atlanta, Georgia; N.P. Sobenin, MEPhI, Moscow; A.A. Zavadtsev, ScanTech, Atlanta, Georgia","Accelerating Structure for C-Band Electron Linear Accelerator Optimization",921 923,
thp059,"V.V. Paramonov, RAS/INR, Moscow","The Cut Disk Structure Parameters for Medium Proton Energy Range",924 926,
thp060,"V.V. Paramonov, RAS/INR, Moscow; I.V. Bylinskii, TRIUMF, Vancouver; V.A. Moiseev, RAS/INR, Moscow","Room Temperature Accelerating Structure for Heavy Ion Linacs",927 929,
thp061,"S. Döbert, CERN, Geneva; C. Adolphsen, V.A. Dolgashev, SLAC, Menlo Park, California; S. Fukuda, KEK, Ibaraki; A. Grudiev, CERN, Geneva; Y. Higashi, T. Higo, KEK, Ibaraki; L. Laurent, J.R. Lewandowski, SLAC, Menlo Park, California; S. Matsumoto, KEK, Ibaraki; G. Riddone, M. Taborelli, CERN, Geneva; S.G. Tantawi, SLAC, Menlo Park, California; K. Ueno, KEK, Ibaraki; F. Wang, J.W. Wang, SLAC, Menlo Park, California; W. Wuensch, CERN, Geneva; K. Yokoyama, KEK, Ibaraki; R. Zennaro, CERN, Geneva","High Power Test of a Low Group Velocity X-Band Accelerator Structure for CLIC",930 932,
thp062,"A. Grudiev, W. Wuensch, CERN, Geneva","Design of an X-Band Accelerating Structure for the CLIC Main Linac",933 935,
thp063,"A. Grudiev, W. Wuensch, CERN, Geneva","A New Local Field Quantity Describing the High Gradient Limit of Accelerating Structures",936 938,
thp064,"M. Vretenar, P. Bourquin, R. De Morais Amaral, G. Favre, F. Gerigk, J.-M. Lacroix, T. Tardy, R. Wegner, CERN, Geneva","Development Status of the Pi-Mode Accelerating Structure (PIMS) for Linac4",939 941,
thp065,"D.C. Plostinar, STFC/RAL/ASTeC, Chilton, Didcot, Oxon; A.P. Letchford, STFC/RAL/ISIS, Chilton, Didcot, Oxon","Shunt Impedance Studies in the ISIS Linac",942 944,
thp066,"R. Sah, M. Alsharo'a, Muons, Inc, Batavia; M. BastaniNejad, Old Dominion University, Norfolk, Virginia; J.M. Byrd, LBNL, Berkeley, California; A.A. Elmustafa, Old Dominion University, Norfolk, Virginia; R.P. Johnson, Muons, Inc, Batavia; D. Li, LBNL, Berkeley, California; M.L. Neubauer, Muons, Inc, Batavia; D. Rose, C.H. Thoma, Voss Scientific, Albuquerque, New Mexico; G.M. Wang, ODU, Norfolk, Virginia; D.R. Welch, Voss Scientific, Albuquerque, New Mexico","Breakdown in Pressurized RF Cavities",945 947,
thp069,"Q. Zhao, V. Andreev, J. Brandon, G. Machicoane, F. Marti, J.C. Oliva, J. Ottarson, J.J. Vincent, NSCL, East Lansing, Michigan","Design and Test of the Triple-Harmonic Buncher for the NSCL Reaccelerator",948 950,
thp070,"S.S. Kurennoy, LANL, Los Alamos, New Mexico","Surface-Loss Power Calculations for the LANSCE DTL",951 953,
thp071,"S.S. Kurennoy, J.F. O'Hara, E.R. Olivas, L. Rybarcyk, LANL, Los Alamos, New Mexico","Efficient Low-Beta H-Mode Accelerating Structures with PMQ Focusing",954 956,
thp072,"F. Wang, C. Adolphsen, J.W. Wang, SLAC, Menlo Park, California","Performance of a 1.3 GHz Normal-Conducting 5-Cell Standing-Wave Cavity",957 959,
thp073,"C.D. Nantista, C. Adolphsen, F. Wang, SLAC, Menlo Park, California","Progress in L-Band Power Distribution System R&D at SLAC",960 962,
thp074,"C.D. Nantista, SLAC, Menlo Park, California","A New Accelerator Structure Concept: the Zipper Structure",963 965,
thp075,"J.W. Wang, S.G. Tantawi, SLAC, Menlo Park, California","X-Band Traveling Wave RF Deflector Structures",966 968,
