fr101,"K. Ko, A.E. Candel, SLAC, Menlo Park, California","Advances in Parallel Electromagnetic Codes for Accelerator Science and Development",1028 1032,
mop101,"D. Noll, L.P. Chau, M. Droba, O. Meusel, H. Podlech, U. Ratzinger, IAP, Frankfurt am Main","Rebuncher Cavities for the FRANZ Bunch Compressor",295 297,
mop102,"K. Schulte, M. Droba, O. Meusel, U. Ratzinger, IAP, Frankfurt am Main","Space Charge Lens for Focusing Heavy Ion Beams",298 300,
mop103,"J. Huopana, HIP, University of Helsinki; S. Atieh, G. Riddone, CERN, Geneva; K. Ãsterberg, Helsinki University, Department of Physics, University of Helsinki","Studies on High-precision Machining and Assembly of CLIC RF Structures",301 303,
mop104,"R.J. Nousiainen, K. Osterberg, HIP, University of Helsinki; G. Riddone, CERN, Geneva","Studies on the Thermo-mechanical Behavior of the CLIC Two-beam Module",304 306,
mop105,"S. Ushijima, H. Fujisawa, Y. Iwashita, Kyoto ICR, Uji, Kyoto; M. Masuzawa, T. Tauchi, KEK, Ibaraki; H. Tongu, Kyoto ICR, Uji, Kyoto","Preparation of Adjustable Permanent Magnet Quadrupole Lens for Beam Test at ATF2",307 309,
mop106,"Y. Iwashita, Kyoto ICR, Uji, Kyoto","Implementation of Multilayered Conductor Structures on RF Cavity Surfaces",310 312,
mop108,"S. Assadi, FRIB, East Lansing, Michigan; M. Doleans, NSCL, East Lansing, Michigan; W. Hartung, M.J. Johnson, T.L. Mann, FRIB, East Lansing, Michigan; F. Marti, NSCL, East Lansing, Michigan; E. Pozdeyev, E. Tanke, X. Wu, R.C. York, Q. Zhao, FRIB, East Lansing, Michigan","Planned Machine Protection System for the Facility for Rare Isotope Beams at Michigan State University",313 315,
mop109,"O. A. Konstantinova, Tomsk State University, Tomsk","Electromagnetic Torque from Linac Radiation*",316 318,
mop110,"M.E. Conde, ANL, Argonne; S.P. Antipov, Euclid TechLabs, LLC, Solon, Ohio; D.S. Doran, W. Gai, ANL, Argonne; C.-J. Jing, Euclid TechLabs, LLC, Solon, Ohio; R. Konecny, W. Liu, J.G. Power, Z.M. Yusof, ANL, Argonne","High Gradient Wakefield Acceleration ( GV/m) in Structures: Goals of the Upgraded Argonne Wakefield Accelerator Facility (AWA)",319 321,
mop111,"T. Sakai, M. Ikeda, S. Ohsawa, N. Sakabe, T. Sugimura, KEK, Ibaraki","High Brightness Electron Beam Focusing System for an X-ray Generator",322 324,
mop112,"F. Klarner, ELSA, Bonn; S. Aderhold, DESY, Hamburg; O. Boldt, W. Hillert, N. Hofmann, D. Krönung, ELSA, Bonn","Detailed Studies Regarding the New Injection System at the LINAC I at ELSA",325 327,
mop113,"T. Konomi, Sokendai, Ibaraki; F. Furuta, K. Saito, KEK, Ibaraki","Multipacting Simulation of the Demountable Damped Cavity",328 330,
mop114,"K. Saito, F. Furuta, KEK, Ibaraki; T. Konomi, Nagoya University, Nagoya","Confirmation of Leak Tightness of the Mo Sealing in Superfluid Helium",331 333,
mop115,"M. Yoshioka, KEK, Ibaraki","Investigating the ILC Single Tunnel Proposal in a Japanese Mountainous Site",334 336,
th101,"Z.A. Conway, CLASSE, Ithaca, New York","Raising the Bar on Superconducting Cavity Processing, and Performance",708 711,
th102,"J. Knobloch, HZB, Berlin","SRF and Cryomodule R+D for ERL's",712 716,
th103,"E. Jensen, CERN, Geneva","Development and Future Prospects of Rf Sources for Linac Applications",717 721,
th104,"G. Devanz, CEA, Gif-sur-Yvette","Power Coupler Developments for High Intensity Linacs",722 726,
th202,"V. Naik, DAE/VECC, Calcutta; F. Ames, R.A. Baartman, TRIUMF, Vancouver; A. Bandyopadhyay, DAE/VECC, Calcutta; C.D. Beard, TRIUMF, Vancouver; A. Chakrabarti, DAE/VECC, Calcutta; Y.-C. Chao, R.J. Dawson, TRIUMF, Vancouver; S. Dechoudhury, DAE/VECC, Calcutta; P. Kolb, S.R. Koscielniak, R.E. Laxdal, TRIUMF, Vancouver; D. Longuevergne, UBC & TRIUMF, Vancouver, British Columbia; M. Marchetto, L. Merminga, A.K. Mitra, TRIUMF, Vancouver; M. Mondal, DAE/VECC, Calcutta; T.C. Ries, I. Sekachev, V.A. Verzilov, F. Yan, TRIUMF, Vancouver","VECC/TRIUMF Injector for the e-Linac Project",727 729,
th203,"L.P. Chau, M. Droba, O. Meusel, D. Noll, U. Ratzinger, C. Wiesner, IAP, Frankfurt am Main","Bunch Compressor for Intense Proton Beams",730 734,
th301,"J.-P. Carneiro, Fermilab, Batavia; B. Mustapha, P.N. Ostroumov, ANL, Argonne","Beam Dynamics Studies for Multi-GeV Proton and H-minus Linacs",735 739,
th302,"N. Chauvin, O. Delferrière, R.D. Duperrier, R. Gobin, P.A.P. Nghiem, D. Uriot, CEA, Gif-sur-Yvette","Source and Injector Design for Intense Light Ion Beams Including Space Charge Neutralisation",740 744,
th303,"L. Groening, W.A. Barth, W.B. Bayer, G. Clemente, L.A. Dahl, P. Forck, P. Gerhard, I. Hofmann, GSI, Darmstadt; D. Jeon, ORNL, Oak Ridge, Tennessee; M. Kaiser, M.T. Maier, S. Mickat, T. Milosic, GSI, Darmstadt; D. Uriot, CEA, Gif-sur-Yvette; H. Vormann, S.G. Yaramyshev, GSI, Darmstadt","Experimental Observation of Space Charge Driven Resonances in a Linac",745 749,
th304,"S. Nath, LANL, Los Alamos, New Mexico","Linear Induction Accelerators at the Los Alamos National Laboratory DARHT Facility",750 754,
thp001,"V.E. Scarpine, S. Chaurize, B.M. Hanna, S. Hays, J. Steimel, R.C. Webber, M. Wendt, D. Wildman, D.H. Zhang, Fermilab, Batavia","FNAL HINS Beam Measurements and the Future of High Intensity Linac Instrumentation*",755 757,
thp003,"B. Mikulec, G. Bellodi, CERN, Geneva; M. Eshraqi, ESS, Lund; K. Hanke, T. Hermanns, CERN, Geneva","Diagnostic Lines for the 160 MeV H- Linac4 at CERN",758 760,
thp004,"F. Gerigk, S. Atieh, CERN, Geneva; R. Calaga, BNL, Upton, Long Island, New York; S. Calatroni, O. Capatina, E. Ciapala, M. Eshraqi, L.M.A. Ferreira, R. Garoby, M. Hernandez Flano, W. Höfle, E. Lebbos, A.M. Lombardi, E. Montesinos, Th. Otto, V. Parma, P.A. Posocco, T. Renaglia, M. Schuh, V. Vlachoudis, W. Weingarten, S. Weisz, CERN, Geneva","Layout and Machine Optimisation for the SPL at CERN",761 763,
thp005,"G. Bellodi, M. Eshraqi, M.G. Garcia Tudela, L.M. Hein, J.-B. Lallement, A.M. Lombardi, P.A. Posocco, E. Sargsyan, CERN, Geneva; J. Stovall, TechSource, Santa Fe, New Mexico","Beam Dynamics Optimisation of Linac4 Structures for Increased Operational Flexibility",764 766,
thp006,"F. Roncarolo, E. Bravin, CERN, Geneva; B. Cheymol, Université Blaise Pascal, Clermont-Ferrand; U. Raich, CERN, Geneva","Accuracy Determination of the CERN LINAC4 Emittance Measurements at the Test Bench for 3 and 12 MeV",767 769,
thp007,"F. Roncarolo, G. Bellodi, E. Bravin, CERN, Geneva; B. Cheymol, Université Blaise Pascal, Clermont-Ferrand; B. Dehning, M. Duraffourg, G.J. Focker, D. Gerard, E.B. Holzer, LF. Lenardon, U. Raich, L. Søby, M. Sordet, J. Tan, G. Tranquille, VC. Vuitton, C. Zamantzas, CERN, Geneva","Overview of the CERN LINAC4 Beam Instrumentation",770 772,
thp008,"T.N. Khabiboulline, S. Barbanotti, I.G. Gonin, N. Solyak, I. Terechkine, V.P. Yakovlev, Fermilab, Batavia","Cw RF System of the Project-x Accelerator Front End",773 775,
thp009,"F. Marhauser, J. Henry, H. Wang, JLAB, Newport News, Virginia","Critical Dipole Modes in JLAB Upgrade Cavities",776 778,
thp010,"C.E. Reece, H. Tian, JLAB, Newport News, Virginia","Exploiting New Electrochemical Understanding of Niobium Electropolishing for Improved Performance of SRF Cavities for CEBAF",779 781,
thp011,"P. Zhang, UMAN, Manchester; N. Baboi, DESY, Hamburg; T. Flisgen, H.-W. Glock, Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock; R.M. Jones, UMAN, Manchester; B. Lorbeer, DESY, Hamburg; I.R.R. Shinton, UMAN, Manchester; P. Zhang, DESY, Hamburg; U. van Rienen, Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock","First Beam Spectra of sc Third Harmonic Cavity at FLASH",782 784,
thp012,"R.M. Jones, UMAN, Manchester; N. Baboi, DESY, Hamburg; T. Flisgen, H.-W. Glock, Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock; I.R.R. Shinton, P. Zhang, UMAN, Manchester; U. van Rienen, Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock","Higher Order Modes in Third Harmonic Cavities at FLASH",785 787,
thp013,"A. Brinkmann, M. Lengkeit, W. Singer, X. Singer, DESY, Hamburg","Testing of Niobium Material for the European XFEL Pre-series Production",788 790,
thp014,"F. Schlander, S. Aderhold, E. Elsen, D. Reschke, DESY, Hamburg","Progress on Diagnostic Tools for Superconducting High-Gradient Cavities",791 793,
thp015,"J. Iversen, R. Bandelmann, G. Kreps, W.-D. Möller, D. Proch, J.K. Sekutowicz, W. Singer, DESY, Hamburg","A Review of the 1.3GHz Superconducting 9-Cell Cavity Fabrication for DESY",794 796,
thp017,"J. Norem, ANL, Argonne; N. Becker, IIT, Chicago, Illinois; G. Ciovati, JLAB, Newport News, Virginia; A.V. Gurevich, NHMFL, Tallahassee, Florida; M. Kharitonov, J. Klug, M.J. Pellin, Th. Proslier, ANL, Argonne; J. Zasadzinski, IIT, Chicago, Illinois","Developing RF Structures Using Atomic Layer Deposition",797 799,
thp018,"Y. Yamamoto, H. Hayano, E. Kako, S. Noguchi, M. Satoh, T. Shishido, K. Umemori, K. Watanabe, KEK, Ibaraki","Recent Results of 1.3 GHz 9-cell Superconducting Cavities in KEK-STF",800 802,
thp021,"K.L.F. Bane, C. Adolphsen, C.D. Nantista, SLAC, Menlo Park, California","Higher Order Mode Heating Analysis for the ILC Superconducting Linacs*",803 805,
thp022,"Y. Ma, CIAE, Beijing; A. Facco, F. Scarpa, INFN/LNL, Legnaro (PD)","Design Optimisation of the EURISOL Driver Low-beta Cavities",806 808,
thp023,"F.B. Bouly, J.-L. Biarrotte, IPN, Orsay; A. Bosotti, INFN/LASA, Segrate (MI); S. Bousson, C. Commeaux, C. Joly, J. Lesrel, IPN, Orsay; P.M. Michelato, R. Paparella, P. Pierini, D. Sertore, INFN/LASA, Segrate (MI)","Developments and Test of a 700 MHz Prototypical Cryomodule for the MYRRHA ADS Proton Linear Accelerator",809 811,
thp024,"S.U. De Silva, J.R. Delayen, ODU, Norfolk, Virginia","Design Sensitivities of the Superconducting Parallel-Bar Cavity",812 814,
thp026,"C.M. Ginsburg, M.S. Champion, Fermilab, Batavia; M.P. Kelly, ANL, Argonne; J.P. Ozelis, A.M. Rowe, Fermilab, Batavia","Superconducting RF Cavity Production Processing and Testing at Fermilab",815 817,
thp029,"E.R. Harms, J. Branlard, G.I. Cancelo, K. Carlson, B. Chase, E. Cullerton, A. Hocker, P.W. Joireman, T. Kubicki, J.R. Leibfritz, A. Martinez, M.W. McGee, Y.M. Pischalnikov, J. Reid, W. Schappert, K.R. Treptow, V. Tupikov, P. Varghese, T.J. Zmuda, Fermilab, Batavia","Operating Experience with CC2 at Fermilab's SRF Beam Test Facility",818 820,
thp031,"R.C. Webber, T.N. Khabiboulline, R.L. Madrak, T.H. Nicol, L. Ristori, W.M. Soyars, R.L. Wagner, Fermilab, Batavia","First High Gradient Test Results of a Dressed 325 MHz Superconducting Single Spoke Resonator at Fermilab",821 823,
thp032,"S. Calatroni, CERN, Geneva; R. De Waele, KHLim, Diepenbeek; L.M.A. Ferreira, M. Leitao Macatrao, A. S. Skala, M. Sosin, Y.L. Withofs, CERN, Geneva","Status of the EP Simulations and Facilities for the SPL",824 826,
thp033,"S. Calatroni, P. Costa Pinto, A. D'Elia, L.M.A. Ferreira, G. Lanza, CERN, Geneva; R.E. Laxdal, TRIUMF, Vancouver; M. Pasini, M. Scheubel, M. Therasse, CERN, Geneva; V. Zvyagintsev, TRIUMF, Vancouver","Superconducting Sputtered Nb/Cu QWR for the HIE-ISOLDE Project at CERN",827 829,
thp034,"N.R.A. Valles, M. Liepe, CLASSE, Ithaca, New York","Baseline Cavity Design for Cornell's Energy Recovery Linac",830 832,
thp035,"H.S. Kim, Y.-S. Cho, H.-J. Kwon, KAERI, Daejon","Prototyping Activities of Low-beta SRF Cavity for the PEFP Proton Linac Extension",833 835,
thp036,"H. Tongu, Kyoto ICR, Uji, Kyoto; H. Hayano, KEK, Ibaraki; M. Ichikawa, Y. Iwashita, Kyoto ICR, Uji, Kyoto; K. Watanabe, Y. Yamamoto, KEK, Ibaraki","Updates on Sc Cavity Inspection",836 838,
thp037,"S. Verdú-Andrés, U. Amaldi, R. Bonomi, A. Degiovanni, M. Garlasché, TERA, Novara; A. Garonna, EPFL, Lausanne; C. Mellace, P. Pearce, A.D.A.M. S.A., Geneva; S. Verdú-Andrés, IFIC, Valencia; R. Wegner, CERN, Geneva","High-Gradient Test of a 3 GHz Single-Cell Cavity",839 841,
thp038,"P.M. McIntyre, N. Pogue, Texas A&M University, College Station, Texas; C.E. Reece, JLAB, Newport News, Virginia","Ultimate-Gradient Srf Test Cavity and Low Loss Tangent Measurements in Ultra Pure Sapphire",842 844,
thp039,"W. Hartung, S. Bricker, C. Compton, K. Elliott, NSCL, East Lansing, Michigan; A. Facco, INFN/LNL, Legnaro (PD); M. Hodek, J.P. Holzbauer, M.J. Johnson, O.K. Kester, F. Marti, S.J. Miller, D. Norton, J. Popielarski, L. Popielarski, J. Wlodarczak, R.C. York, NSCL, East Lansing, Michigan; E.N. Zaplatin, FZJ, JÃ¼lich","Superconducting Coaxial Resonator Development for Ion Linacs at Michigan State University",845 847,
thp040,"C. Compton, J. Bierwagen, S. Bricker, J. DeLauter, K. Elliott, W. Hartung, M. Hodek, J.P. Holzbauer, M.J. Johnson, O.K. Kester, F. Marti, D. R. Miller, S.J. Miller, D. Norton, J. Popielarski, L. Popielarski, N. Verhanovitz, K. Witgen, J. Wlodarczak, R.C. York, NSCL, East Lansing, Michigan","Superconducting Resonator and Cryomodule Production for Ion Linacs at Michigan State University",848 850,
thp041,"T. Tajima, LANL, Los Alamos, New Mexico; W.A. Clemens, JLAB, Newport News, Virginia; W.B. Haynes, F.L. Krawczyk, LANL, Los Alamos, New Mexico; K. Macha, JLAB, Newport News, Virginia; M.A. Madrid, LANL, Los Alamos, New Mexico; R. Manus, R.A. Rimmer, JLAB, Newport News, Virginia; R.J. Roybal, E.I. Simakov, LANL, Los Alamos, New Mexico; L. Turlington, JLAB, Newport News, Virginia","An Update on the Study of High-Gradient Elliptical SRF Cavities at 805 MHz for Proton and Other Applications",851 853,
thp042,"T. Tajima, L. Civale, T. Doi, LANL, Los Alamos, New Mexico; V.A. Dolgashev, SLAC, Menlo Park, California; G.V. Eremeev, LANL, Los Alamos, New Mexico; J. Guo, SLAC, Menlo Park, California; N.F. Haberkorn, M. Hawley, LANL, Los Alamos, New Mexico; D.W. Martin, SLAC, Menlo Park, California; A. Matsumoto, LANL, Los Alamos, New Mexico; B. Moeckly, STI, Santa Barbara, California; R.K. Schulze, LANL, Los Alamos, New Mexico; S.G. Tantawi, C. Yoneda, SLAC, Menlo Park, California; A.T. Zocco, LANL, Los Alamos, New Mexico","Studies on Superconducting Thin Films for SRF Applications*",854 856,
thp043,"R.E. Laxdal, C.D. Beard, A. Grassellino, P. Kolb, S.R. Koscielniak, TRIUMF, Vancouver; D. Longuevergne, UBC & TRIUMF, Vancouver, British Columbia; R.S. Orr, W. Trischuk, University of Toronto, Toronto, Ontario; V. Zvyagintsev, TRIUMF, Vancouver","1.3GHz Cavity Development at TRIUMF",857 859,
thp044,"D. Longuevergne, UBC & TRIUMF, Vancouver, British Columbia; C.D. Beard, A. Grassellino, P. Kolb, R.E. Laxdal, V. Zvyagintsev, TRIUMF, Vancouver","RF Cavity Performance in the ISAC-II Superconducting Heavy Ion Linac",860 862,
thp046,"J. Li, IHEP Beijing, Beijing; Z.C. Mu, Institute of High Energy Physics, CAS, Bejing; J.M. Qiao, X.A. Xu, Y. Yao, Z.H. Zhang, W. Zhou, IHEP Beijing, Beijing","CSNS Linac RF System Design and R&D Progress",863 865,
thp051,"M. Stirbet, JLAB, Newport News, Virginia","Retrospective on Fundamental Power Couplers for the Spallation Neutron Source at Oak Ridge",866 868,
thp052,"O. Brunner, E. Ciapala, J.N. Schwerg, CERN, Geneva","RF Power Generation in LINAC4",869 871,
thp053,"A.K. Mitra, S. Calic, S.R. Koscielniak, R.E. Laxdal, TRIUMF, Vancouver","High Power RF for TRIUMF Injector Cryomodule and Elinac",872 874,
thp054,"A. Arnold, FZD, Dresden","A Diplexer to Operate Two Cavity Eigenmodes in Parallel",875 877,
thp055,"G. Burt, P.K. Ambattu, Cockcroft Institute, Lancaster University, Lancaster; R. Calaga, BNL, Upton, Long Island, New York; A.C. Dexter, Cockcroft Institute, Lancaster University, Lancaster; E. Montesinos, CERN, Geneva","Multipactor Simulations of the SPL Power Coupler",878 880,
thp056,"A.R. Cours, G. Trento, ANL, Argonne","Development of a 300-Kv Solid State Modulator for an Argonne XFELO Injector*",881 883,
thp057,"M.P. Kelly, S.M. Gerbick, M. Kedzie, P.N. Ostroumov, S.I. Sharamentov, ANL, Argonne","A New Fast Tuning System for ATLAS Intensity Upgrade Cryomodule",884 886,
thp058,"M. Kawamura, KEK, Ibaraki; E. Chishiro, JAEA, Ibaraki-ken; Y. Fukui, KEK, Ibaraki; K. Hasegawa, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; F. Naito, KEK, Ibaraki; S. Shinozaki, JAEA/J-PARC, Tokai-mura; H. Suzuki, M. Yamazaki, JAEA, Ibaraki-ken","Power Supply System for Klystron in J-PARC Linac",887 889,
thp060,"M. Yoshida, S. Fukuda, Y. Higashi, T. Higo, KEK, Ibaraki; S. Kazakov, Fermilab, Batavia; N.K. Kudo, S. Matsumoto, H. Matsushita, KEK, Ibaraki","X-band Pulse Compression System using One Channel Circular Polarized Traveling Wave Delay Line",890 892,
thp061,"H. Leich, DESY Zeuthen, Zeuthen; S. Choroba, H.-J. Eckoldt, DESY, Hamburg; U. Gensch, DESY Zeuthen, Zeuthen; T. Grevsmühl, DESY, Hamburg; M. Grimberg, L. Jachmann, W. Köhler, M. Penno, R.W. Wenndorff, DESY Zeuthen, Zeuthen","Towards a Modulator for the XFEL RF Stations: Test Results of the Prototype from Thomson Multimedia",893 895,
thp062,"T. Grevsmühl, S. Choroba, F. Eints, T. Frölich, V.V. Katalev, K. Machau, P. Morozov, R. Wagner, V. Zhemanov, DESY, Hamburg","Upgrade of the 1.3GHz RF System at FLASH",896 898,
thp064,"M.A. Kemp, A.L. Benwell, C. Burkhart, R.S. Larsen, D.J. MacNair, M.N. Nguyen, J.J. Olsen, SLAC, Menlo Park, California","Design of the Second-Generation ILC Marx Modulator",899 901,
thp065,"M. Popovic, Fermilab, Batavia; A. Dudas, R.P. Johnson, Muons, Inc, Batavia; A. Moretti, Fermilab, Batavia; M.L. Neubauer, R. Sah, Muons, Inc, Batavia","Magnetrons as SRF Sources",902 904,
thp068,"O. Heid, T.J.S. Hughes, Siemens AG, Healthcare Technology and Concepts, Erlangen","Compact Solid State Direct Drive RF Linac Experimental Program",905 907,
thp069,"R.C. McCrady, LANL, Los Alamos, New Mexico","Stripping of H-minus Beams by Residual Gas in the Linac at the Los Alamos Neutron Science Center",908 910,
thp070,"Y. Kondo, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; M. Ikegami, F. Naito, KEK, Ibaraki; J. Qiang, LBNL, Berkeley, California","Simulation Study of the RF Chopper",911 913,
thp071,"C. Wiesner, L.P. Chau, H. Dinter, M. Droba, N.S. Joshi, O. Meusel, I. Müller, U. Ratzinger, IAP, Frankfurt am Main","ExB Chopper System for High Intensity Proton Beams",914 916,
thp075,"T. Suwada, M. Satoh, KEK, Ibaraki","Laser-Beam Propagation Characteristics in New Laser-Based Alignment System at the KEKB Injector Linac",917 919,
thp076,"M. Satoh, T. Suwada, KEK, Ibaraki","Design of Collimated Laser Beam Optics for the KEKB Injector Linac Alignment System",920 922,
thp077,"J.M. Maus, R.A. Jameson, A. Schempp, IAP, Frankfurt am Main","Development of PteqHI",923 925,
thp078,"Y.K. Batygin, LANL, Los Alamos, New Mexico","Analytical Analysis of Particle-core Dynamics",926 928,
thp080,"V.A. Lebedev, Fermilab, Batavia; A.V. Aleksandrov, ORNL, Oak Ridge, Tennessee; J.-F. Ostiguy, Fermilab, Batavia; A.P. Shishlo, ORNL, Oak Ridge, Tennessee; N. Solyak, Fermilab, Batavia","Intrabeam Stripping in H- Linacs",929 931,
thp081,"M. Panniello, Naples University Federico II and INFN, Napoli; M.R. Masullo, INFN-Napoli, Napoli; V.G. Vaccaro, Naples University Federico II and INFN, Napoli","The Stretched Wire Method: A Comparative Analysis Performed by Means of the Mode Matching Technique",932 934,
thp082,"M. Comunian, E. Fagotti, F. Grespan, A. Palmieri, A. Pisent, C. Roncolato, INFN/LNL, Legnaro (PD)","Beam Dynamics Simulations and Measurements for the PIAVE-ALPI Linac",935 937,
thp084,"S. Franke, W. Ackermann, TEMF, TU Darmstadt, Darmstadt; P.A. Görgen, C. Klose, M. Platz, TU Darmstadt, Darmstadt; T. Weiland, TEMF, TU Darmstadt, Darmstadt","Further Development of the V-Code for Recirculating Linear Accelerator Simulations",938 940,
thp086,"Y.-J. Chen, D.T. Blackfield, G.J. Caporaso, S.A. Hawkins, S.D. Nelson, B. R. Poole, LLNL, Livermore, California","Beam Transport in a Proton Dielectric Wall Accelerator*",941 943,
thp087,"M. Borland, X.W. Dong, ANL, Argonne","Simulation of Cathode Back-bombardment in a 100 MHz Thermionic RF Gun",944 946,
thp088,"G.H. Wei, KEK/JAEA, Ibaraki-Ken; M. Ikegami, KEK, Ibaraki","Simulation Study of Debuncher System for J-PARC Linac Energy Upgrade",947 949,
thp089,"M.A. Fraser, UMAN, Manchester; M.A. Fraser, CERN, Geneva; R.M. Jones, UMAN, Manchester; M. Pasini, D. Voulot, CERN, Geneva","Beam Dynamics Studies of the REX-ISOLDE Linac in Preparation for its Role as Injector for the HIE-ISOLDE SC Linac at CERN",950 952,
thp090,"T. Roggen, H. De Gersem, J.P. Locquet, B. Masschaele, KU Leuven, Kortrijk; M. Zhukova, Tomsk Polytechnic University, Nuclear Physics Institute, Tomsk","Modeling A Table Top Storage Ring For A Compact Light Source Using Electromagnetic Field Simulation Tools",953 955,
thp091,"D. Berkovits, B. Bazak, G. Feinberg, I. Mardor, J. Rodnizki, A. Shor, Y. Yanay, Soreq NRC, Yavne","Simulations of Ion Beam Loss in RF Linacs with Emphasis on Tails of Particle Distributions",956 958,
thp092,"Z. Li, L. Ge, SLAC, Menlo Park, California; W. Hartung, J.P. Holzbauer, NSCL, East Lansing, Michigan; K. Ko, SLAC, Menlo Park, California; J. Popielarski, NSCL, East Lansing, Michigan","Multipacting Simulation and Analysis for the FRIB Superconducting Resonators Using Track3P",959 961,
thp096,"A.S. Johnson, H.T. Edwards, E.R. Harms, A.H. Lumpkin, Fermilab, Batavia; P. Piot, Northern Illinois University, DeKalb, Illinois; J. Ruan, J.K. Santucci, Y.-E. Sun, R. Thurman-Keup, Fermilab, Batavia","Investigation of the Effects of Charge Scaling on Emittance Exchange at the Fermilab A0 Photoinjector",962 964,
thp097,"N. Sugimoto, G. Isoyama, ISIR, Osaka; S. Kashiwagi, Tohoku University, Research Center for Electron Photon Science, Sendai; R. Kato, S. Suemine, A. Tokuchi, ISIR, Osaka","Development of a Thermionic Electron Gun of the L-band Linac for FEL Operation",965 967,
thp101,"K. Kan, T. Kondoh, T. Kozawa, K. Norizawa, A. Ogata, J. Yang, Y. Yoshida, ISIR, Osaka","Femtosecond Electron Bunch Generation using Photocathode RF Gun",968 970,
thp102,"J. Yang, K. Kan, T. Kondoh, N. Naruse, Y. Nurooka, K. Tanimura, ISIR, Osaka; J. Urakawa, KEK, Ibaraki; Y. Yoshida, ISIR, Osaka","Photocathode Femtosecond Electron Linac and Its Applications",971 973,
thp104,"J.H. Han, D. Brice, M.P. Cox, H.C. Huang, S.A. Pande, Diamond, Oxfordshire","S-Band Photocathode Gun with a 1 kHz Repetition Rate",974 976,
thp105,"J.H. Han, Diamond, Oxfordshire","Design of a 1 kHz Repetition Rate S-Band Photoinjector",977 979,
thp106,"J.H. Han, Diamond, Oxfordshire","Design of a 10 fs Electron Beam with a Photocathode RF Gun and an RF Buncher",980 982,
thp107,"N. Sereno, M. Borland, K.C. Harkay, Y.L. Li, R.R. Lindberg, S.J. Pasky, ANL, Argonne","Experimental Investigation of Pulsed Laser Heating of Thermionic Cathodes of RF Guns",983 985,
thp108,"M. Borland, B. Brajuskovic, R.R. Lindberg, N. Sereno, ANL, Argonne","Pulsed Laser Heating of Thermionic Cathodes in RF Guns",986 988,
thp109,"X.W. Dong, M. Borland, G. Decker, K.-J. Kim, J.G. Power, N. Sereno, ANL, Argonne","Potential for an Ultra-low Emittance Thermionic Triode Gun",989 991,
thp110,"A. Deshpande, Sokendai, Ibaraki; S. Araki, M.K. Fukuda, KEK, Ibaraki; K. Sakaue, RISE, Tokyo; N. Terunuma, J. Urakawa, KEK, Ibaraki; M. Washio, RISE, Tokyo","Generation of Long Bunch Train using RF Gun",992 994,
thp111,"N. Nishimori, JAEA, Ibaraki-ken; R. Hajima, JAEA/ERL, Ibaraki; Y. Honda, KEK, Ibaraki; H. Iijima, M. Kuriki, HU/AdSM, Higashi-Hiroshima; M. Kuwahara, Nagoya University, Nagoya; T. Miyajima, KEK, Ibaraki; T. Muto, Tohoku University, School of Scinece, Sendai; R. Nagai, JAEA/ERL, Ibaraki; T. Nakanishi, S. Okumi, Nagoya University, Nagoya; M. Yamamoto, KEK, Ibaraki","Development of a 500-kV Photo-Cathode DC Gun for ERL Light Sources",995 997,
thp112,"A. Neumann, W. Anders, M. Dirsat, A. Frahm, A. Jankowiak, T. Kamps, HZB, Berlin; P. Kneisel, JLAB, Newport News, Virginia; J. Knobloch, O. Kugeler, HZB, Berlin; R. Nietubyc, The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock; T. Quast, HZB, Berlin; T. Rao, BNL, Upton, Long Island, New York; J. Rudolph, M. Schenk, M. Schuster, HZB, Berlin; J.K. Sekutowicz, DESY, Hamburg; J. Smedley, BNL, Upton, Long Island, New York; I. Will, MBI, Berlin","CW Superconducting RF Photoinjector Development for Energy Recovery Linacs",998 1000,
thp113,"Z. Feng, X. Guan, TUB, Beijing; Z.W. Liu, IMP, Lanzhou; J. Wei, H.Y. Zhang, TUB, Beijing; H.W. Zhao, IMP, Lanzhou","Design of the 2.45 GHz ECR Proton Source and LEBT in CPHS (Compact Pulsed Hadron Source)",1001 1003,
thp114,"K.F. Johnson, E. Chacon-Golcher, E.G. Geros, R. Keller, G. Rouleau, L. Rybarcyk, J. Stelzer, LANL, Los Alamos, New Mexico; O.A. Tarvainen, JYFL, Jyvaskyla","H- Ion Source Development for High Performance",1004 1006,
thp115,"H.F. Ouyang, Y.L. Chi, IHEP Beijing, Beijing; D.C. Faircloth, STFC/RAL, Chilton, Didcot, Oxon; W. He, T. Huang, G. Li, Y.M. Liu, Y.H. Lu, X.B. Wu, T.G. Xu, H.S. Zhang, J. S. Zhang, F.X. Zhao, IHEP Beijing, Beijing","The Development of the H- Ion Source Test Stand for CSNS",1007 1009,
