FRX01A,"D.M. Lewis","Accelerators in Industry",
MOY04A,"J.M. Lefebvre","Higher Brilliance at the ESRF",
MOY05A,"F. Bieniosek, M. Church, G. Jackson, S. O'Day, R. Pasquinelli","Antiproton P roduction and Cooling at the Tevatron",
MOZ01A,"K. Kawachi, K. Morita, H. Tujii","Therapy at HIMAC",
NOSHO,N/A,N/A,
THO01A,"C. Bovet, M. Hildreth, M. Lamont, H. Schmickler, J. Wenninger","Luminosity Optimization using Beam-beam Deflections at LEP",
THO02A,"L. Picardi, C. Ronsivalle, A. Vignati","Measurement of Cavities of the Side Coupled Drift Tube Linac SCDTL",
THO03A,"T.G. Lee, R.D. Ruth, S.G. Tantawi, A.E. Vlieks, M. Zolotorev","RF Pulse Compression Via TE01 Optically Controlled Multi-Megawatt Microwave Switch",
THO04A,"V. Benda, A. Bezaguet, J. Casas-Cubillos, S. Claudet, W. Erdt, P. Lebrun, G. Riddone, V. Sergo, L. Serio, L. Tavian, B. Vullierme, U. Wagner, R. van Weelderen","Conceptual Design of the Cryogenic System for the Large Hadron Collider LHC",
THO05A,"B. Hippert, N. Marquardt","The DELTA Vacuum System",
THO06A,"P. Collier, G. Roy","Injection and Acceleration with Physics Optics in LEP",
THO07A,"H. Ait Abderrahim, P. Cohilis, Y. Jongen, G. Lannoye, L. Van Den Durpel, P. d'Hondt","Recent Advances in the Design of a Cyclotron-Driven, Intense, Subcritical Neutron Source",
THO08A,"S. Besancon, N. Fietier, A. Giusto, P. Mandrillon, S. Michel, C. Rubbia","Important Design Issues of a High Efficiency Cyclotron Complex to Drive the Energy Amplifier",
THP001G,"M.J. de Loos, S.B. van der Geer","General Particle Tracer: A New 3D Code for Accelerator and Beamline Design",
THP001L,"J.A. Carwardine, S.V. Milton","Power Supply Ramp Control in the APS Booster Synchrotron",
THP002G,"Z. Guo, Q. Han, X. Luo, S. Wang","The Lattice Design of a Proposed Beijing Therapy Proton Synchrotron",
THP002L,"J.D. Gilpatrick, S. Khan, D. Kraemer","Layout and Time-Domain Simulation of a Local Beam Position Feedback System for BESSY-II",
THP003G,"E.L. Saldin, E.A. Schneidmiller, Yu.N. Ulyanov, M.V. Yurkov","Conceptual Design of a Free Electron Laser System as a Laser Fusion Reactor Driver",
THP003L,"J.M. Brennan, E. Onillon","The New BNL AGS Phase, Radial and Synchronization Loops",
THP004L,"J. Alessi, E. Beebe, A. Hershcovitch, A. Kponou, K. Prelec","Progress in the BNL Program for a RHIC EBIS",
THP005L,"A. Sessler, J. Wei","Sensitivity Studies of Cristalline Beams",
THP006G,"F. Dell, M. Harrison, S. Peggs, M. Syphers, S. Tepikian","Lattice Optimization for a Really Large Hadron Collider, RLHC",
THP006L,"A.V. Aleksandrov, M.S. Avilov, G. Ciullo, N.S. Dikansky, V. Guidi, G. Lamanna, P. Lenisa, P.V. Logatchev, A.V. Novokhatski, B.A. Skarbo, L. Tecchio, B. Yang","The Production of Short Intensive Bunches from GaAs Photocathode",
THP007L,"A.A. Kulakov, P.V. Martyshkin","VEPP-5 Positron Source Simulations",
THP008G,"A. Grudiev, S. Krueger, S. Luetgert, D.G. Myakishev, V.P. Yakovlev","Numerical Simulation of a Gridded Inductive Output Amplifier",
THP008L,"A.V. Aleksandrov, M.S. Avilov, N.S. Dikansky, P.V. Logatchev, L.A. Mironenko, A.V. Novokhatski, Yu.I. Semenov, S.V. Shiyankov, L. Tecchio","A Prototype of RF Photogun with GaAs Photocathode for Injector of VEPP-5",
THP009L,"A.A. Kulakov, P.V. Martyshkin","VEPP-5 Positron Source Yield Semi-analytical Estimations",
THP010G,"M.M. Karliner, N.V. Mityanina, D.G. Myakishev, V.P. Yakovlev","Calculation of Transverse Resistive Impedance for Vacuum Chambers with Arbitrary Cross Sections",
THP010L,"M. Delaunay, O. Delferriere, A. Farchi, A. France, R. Gobin, P.A. Leroy","High Current Proton and Deuteron ECR Source Developments at CEA",
THP011L,"M. Bernard, J.C. Bourdon, J. Fusellier, T. Garvey, M. Jablonka, J.M. Joly, Y. Lussignol, M. Omeich, J. Rodier, N. Solyak","First Tests of the 250 keV Electron Source and Beamline for the TESLA Test Facility Injector",
THP012L,"P. Michelato, C. Pagani, F. Sabary, D. Sertore, S. Valeri, A. di Bona","Formation of the Cs2Te Photocathode: Auger and Photoemission Spectroscopy Study",
THP013L,"R. Bossart, M. Dehler","Design of a RF Gun for Heavy Beam Loading",
THP014G,"Ph. Anthouard, J. Bardy, C. Bonnafond, Ph. Delsart, A. Devin, Ph. Eyharts, P. Eyl, D. Guilhem, J. Launspach, E. Merle, J.C. Picon, A. Roques, M. Thevenot, D. Villate, J. de Mascureau","High Current and High Energy AIRIX Induction Accelerator Development",
THP014L,"S. Jacobsen, G. Molinari, H. Mulder","A Feedback System to Control the Flux during Ultra Slow Extraction at LEAR",
THP015G,"G. Krafft, L. Merminga","Energy Spread from RF Amplitude and Phase Errors",
THP016G,"C. Couillaud, G. Haouat, S. Striby","Soft X-ray Production by Means of an Electron Beam",
THP016L,"J. Arje, T. Chiba, A. Goto, M. Hemmi, N. Inabe, T. Kageyama, O. Kamigaito, M. Kase, Y. Miyazawa, T. Nakagawa, Y. Yano","Development of RIKEN 18 GHz ECRIS",
THP017G,"G.L. Arduini, R. Bailey, T. Bohl, H. Burkhardt, R. Cappi, C. Carter, K. Cornelis, M. Dach, A. Faugier, G. Ferioli, H. Jakob, M. Jonker, D. Manglunki, G. Martini, M. Martini, J.P. Riunaud, C. Scheidenberger, B. Vandorpe, L. Vos, M. Zanolli, G. de Rijk","Lead Ion Beam Emittance and Transmission Studies in the PS-SPS Complex at CERN",
THP017L,"T. Katayama, K. Ohtomo, Y.N. Rao","Electron Cooling at ACR",
THP018G,"P. Baudrenghien, P. Collier","Double Batch Injection into LEP",
THP018L,"V. Golubev, S. Nikiforov, M. Svinin, G. Voronin","High Intensity Heavy Ion Injector T-5010",
THP019G,"P. Collier, B. Goddard, M. Lamont","Operation of LEP with Bunch Trains",
THP019L,"J.B. Fitzgerald, B.G. Martlew, C. Morrell, S.L. Smith","The Daresbury Global Horizontal Servo Feedback System: Status and Outlook",
THP020G,"P. Collier, K. Cornelis, A. Hofmann, S. Myers, H. Schmickler","Synchro-Betatron Resonances in LEP",
THP020L,"J.B. Fitzgerald, G. Mrotzek","Performance and Progress of the Daresbury Photon Beam Tungsten Vane Monitor System",
THP021G,"X. Altuna, G.L. Arduini, C. Arimatea, R. Bailey, R. Blanchard, T. Bohl, E. Brouzet, H. Burkhardt, P. Collier, K. Cornelis, A. Faugier, F. Ferioli, A. Hilaire, M. Jonker, M. Lamont, T. Linnecar, C. Niquille, L. Normann, G. Roy, J. Wenninger, G. de Rijk","The SPS as Lead-Ion Accelerator",
THP021L,"J.B. Fitzgerald, B.G. Martlew, P.D. Quinn","Operational Performance of the Local Vertical Servo System on the Daresbury SRS",
THP022G,"G. Brun, B. Dehning, A. Drees, P. Galbraith, M. Geitz, K. Henrichsen, M. Koratzinos, M. Placidi, P. Puzo","A Newly Observed Effect Affects the LEP Beam Energy",
THP022L,"D. Heins, J. Klute, R.D. Kohaupt, K.H. Matthiesen, S. Paetzold, J. Ruemmler","The Transverse Damping System with DSP PLL Tune Measurement for HERA p",
THP023G,"W. Herr, J. Miles","Optimizing the LHC Interaction Region to Obtain the Highest Possible Luminosity",
THP023L,"J. Ruemmler","New Transverse Feedback Kicker System in the Positron Intensity Accumulator PIA Ring",
THP024L,"I. Altmann, A. Gamp, K. Rehlich, T. Schilcher, S.N. Simrock","Operational Experience with the RF Control for the TESLA Test Facility",
THP025G,"A. Ijspeert, M. Karppinen, S. Russenschuck","Automated Design of a Correction Dipole Magnet for LHC",
THP025L,"T. Schilcher, S.N. Simrock","Transient Beam Loading Based Calibration of the Vector-Sum for the TESLA Test Facility",
THP026L,"K. Rehlich, T. Schilcher, S.N. Simrock","Operational Aspects of the RF Control System for the TESLA Test Facility",
THP027G,"A. Blondel, M. Boege, P. Castro, B. Dehning, A. Drees, M. Geitz, M. Lamont, M. Placidi, P. Puzo, J. Wenninger, J. Yamartino","Measurements of Collision Offsets and Difference in Vertical Dispersion at the LEP Interaction Points",
THP027L,"P. Berkvens, F. Bidault","The ESRF Beamline Personnel Safety System",
THP028G,"N. Mokhov, J. Strait","Optimization of the LHC Interaction Region with Respect to Beam-induced Energy Deposition",
THP028L,"P. Berkvens, P. Colomp, P. Mackrill, J.P. Magnien, F. Nolte, D. Salieti","Radiation Safety Around the ESRF Beamlines",
THP029G,"A.H. Ball, H. Burkhardt, G. von Holtey","Particle Background at LEP with Head-On Colliding Bunch Trains",
THP029L,"E. Plouviez, F. Uberto","A Fast Local Feedback System to Correct the Beam Position Deviation in the ESRF Storage Ring",
THP030G,"B. Autin, E. Wildner","Application of Symbolic Techniques to Structural Beam Optics",
THP030L,"U. Blell","A Feedback System to Improve the Spill Structure of a Synchrotron",
THP031G,"A. Wagner, B. Zotter","A 3-Dimensional Simulation of Collective Effects in Particle Accelerators",
THP031L,"K. Blasche, W. Bourgeois, N.S. Dikansky, B. Franzke, L. Groening, V.I. Kudelainen, V.V. Parkhomchuk, A.I. Sharapa, A.V. Shemyakin, B.M. Smirnov, M. Steck","Fast Beam Accumulation by Electron Cooling in the Heavy Ion Synchrotron SIS",
THP032G,"A. Mikhailichenko, D. Rubin","Concentric Ring Colliding Beam Machine with Dual Aperture Quadrupoles",
THP032L,"I.G. Brown, H. Emig, C. Muehle, E.M. Oks, P. Spaedtke","Development of a Vacuum Arc Metal Ion Source for Heavy Ion Accelerators",
THP033G,"A. Bortniansky, J. Dobrovodsky, V. Golubev, M. Klopenkov, P. Kovac, M. Pavlovets, M. Pavlovic, K. Vitazek","Analytical Complexes for Ion Beam Analysis and Modification of Materials in St. Petersburg and Bratislava",
THP033L,"R. Boni, A. Gallo, F. Marcellini","Experimental Tests of the DAFNE RF Feedback System",
THP034L,"R. Boni, A. Drago, A. Gallo, A. Ghigo, F. Marcellini, M. Migliorati, M. Serio, M. Zobov","Kickers and Power Amplifiers for the DAFNE Bunch-by-Bunch Longitudinal Feedback System",
THP035G,"V.I. Petrov","Modeling Codes for RFQ Design",
THP035L,"M. Cavenago, T. Kulevoy, V. Stolbunov, A. Vassiliev","Installation and Operation of an ECR Ion Source and its Platform in Legnaro",
THP036G,"D. Baranov, A. Belov, V. Kashikhin, V. Kukhtin, E. Lamzin, Yu. Severgin, N. Shatil, S. Sytchevsky, V. Vasiliev","An Efficient Algorithm of the Reconstruction of Spatial Field with the Use of the Data Determinated at the Region Boundary",
THP036L,"M. Cavenago, A. Vassiliev","Operation of a Small Pulsed Mevva in ECR Ion Source Environment",
THP037G,"E.N. Viewga","Space-Charge Ion Optics for Multi-Beamlets",
THP037L,"M. Cavenago, M.F. Moisio","Development of High Temperature Induction Ovens for ECR Ion Sources in Legnaro",
THP038G,"K. Balewski, H. Ehrlichmann, J. Kouptsidis, K. Wittenburg","Influence of Various Integrated Ion Getter Pumps on Electron Lifetime",
THP038L,"L. Tecchio, et al.","CRYSTAL: A Storage Ring for Crystalline Ion Beams",
THP039G,"D.P. Barber, M. Boege, R. Brinkmann, E. Gianfelice, T. Limberg, N. Meyners, P. Schueler, M. Spengos","Application of a Beam Based Alignment Technique for Optimizing the Electron Spin Polarization at HERA",
THP039L,"S.N. Atutov, R. Calabrese, V. Guidi, P. Lenisa, E. Mariotti, L. Moi, S. Petruio","Generation of a Frequency Comb for White-light Laser Cooling of Ions in a Storage Ring",
THP040G,"D.P. Barber, K. Heinemann, G.H. Hoffstaetter, M. Vogt","The Phase Space Dependent Spin Polarization Direction in the HERA Proton Ring at High Energy",
THP041G,"D.R.C. Kelly","The Effect of Beam Excitation on the HERA Electron-Beam Lifetime Disruption",
THP041L,"L.V. Kravchuk, A.I. Kvasha","The Fast RF Power Turn-on in the MMF Linac Cavities",
THP042G,"H. Brueck, B. Holzer, C. Luettge, B. Pawlowski","Correction of the Influence of Persistent Currents in the HERA Proton Ring",
THP043G,"N. Meyners","HERA Polarimeter Operation in 1995",
THP043L,"I. Reyzl","Simulation of Feedback for Orbit Correction",
THP044G,"K. Balewski, R. Brinkmann, B. Parker","Improved Proton Injection into HERA via PETRA Optics Trickery: Are the Prospects Real or Imaginary",
THP044L,"M. Hosina, K. Noda, T. Tanabe, T. Yosiyuki","Liquid-Helium Free Superconducting Electron Cooler at the Storage Ring TARN II",
THP045G,"W. Bartel, R. Brinkmann, R. Kose, B. Parker, D. Pitzl, U. Schneekloth, F. Willeke","On Increasing the HERA Collider e-p Interaction Region Luminosity",
THP045L,"H. Avramopoulos, M. Ciarrocca, C.N. Papanicolas","A Compact GHz Laser for a Polarized Electron Injector",
THP046G,"R. Kose, B. Parker, M. Schmitz, F. Willeke","Bringing Beauty to HERA; On Acelerator Modifications for the HERA-B Experiment at DESY",
THP046L,"C.E. Chen, R.L. Geng, J.H. Song, L.F. Wang, J.X. Yu, B.C. Zhang, K. Zhao","A Hybrid Laser-driven E-beam Injector using Photo-cathode Electron Gun and Superconducting Cavity",
THP047L,"C.E. Chen, J.X. Fang, J.F. Guo, D.S. Li, W.G. Li, Y.R. Lu, X.T. Ren, Z.Y. Wang, J.X. Yu","Experimental Studies on the Acceleration of Positive & Negative Ions with a Heavy Ion ISR RFQ",
THP048G,"J.I.M. Botman, A.T.A.M. Derksen, H. Fiedler, H.L. Hagedoorn, C.J. Timmermans, Y.J.E. Wintraecken","An Irradiation Production Unit for Polymer Research",
THP048L,"A.A. Drozdovsky","Induced Radioactivity Decrease Method in High Intensity Linacs",
THP049G,"G. Orlandi, L. Picardi, C. Ronsivalle, A. Vignati","The TOP-ISS Linear Accelerator: A High Frequency Proton Linac for Therapy",
THP050L,"S. Kondrashev, B. Sharkov","Matching of the Intensive Laser Ion Source to the RFQ Accelerators",
THP051G,"D. Bogert, W. Foster, W. Fowler, S. Holmes, G. Jackson, P. Martin, T. Pawlak","The Status of the Fermilab Main Injector Project",
THP051L,"A. Artiomov, A. Sidorin","Light Radiation at the Exit of RFQ and RF-field Control",
THP052G,"H. Eickhoff, B. Franczak, U. Krause, C. Riedel, R. Steiner","Accelerator Aspects of the Cancer Therapy Project at the GSI Darmstadt",
THP052L,"A.A. Astapov, V.P. Bamblevski, L.N. Zaitsev","Induced Radioactivity of the Septum Magnet of the Beam Slow Extraction at the Nuclotron",
THP053G,"P. Forck, P. Heeg, A. Peters, P. Strehl","A Scintillator Based Halo-Detector for Beam Position Monitoring",
THP053L,"J. Bosser, Y. Korotaev, R. Ley, R. Maccaferri, I. Meshkov, G. Molinari, V. Polyakov, A. Smirnov, E. Syresin, G. Tranquille, F. Varenne","The Experimental Study of the Neutralised Electron Beams for Electron Cooling",
THP054G,"B. Franczak","Data Generation for SIS and Beam Lines for the GSI Therapy Project",
THP054L,"E. Reichert, et al.","Operational Experience with the MAMI-Source of Polarized Electrons",
THP055L,"H.G. Andresen, K. Aulenbacher, J. Bermuth, P. Drescher, H. Euteneuer, H. Fischer, P. Hartmann, J. Hoffmann, K.H. Kaiser, S. Koebis, H.J. Kreidel, S. Pluetzer, E. Reichert, M. Schemies, K.H. Steffens, M. Steigerwald, H. Trautner, D. v. Harrach","Picosecond Polarized Electron Bunches from GaAsP Photocathode",
THP056G,"W. Busse, O. Engels, H. Homeyer, F. Marhauser, B. Martin, W. Pelzer, A. Schempp","Changing VICKSI into ISL: A VE-RFQ as Injector for the Cyclotron",
THP056L,"E. Kikutani, S. Kurokawa, M. Tobiyama","Development of a High-Speed Digital Signal-Process Board for the KEKB Bunch Feedback Systems",
THP057G,"M.Yu. Gorin","BEAMDYN - A Program for Calculation of Particles Dynamics in the Strong-focusing IHEP Accelerator",
THP057L,"E. Kikutani, S. Kurokawa, Y. Minagawa, M. Tobiyama","A Systematic Study of a Transverse Feedback System with a Two-Tap FIR Filter",
THP058G,"Yu. Fedotov","UNK Status",
THP058L,"K. Akai, E. Ezura, S. Yoshimoto","Experiment of RF Feedback using an Improved Parallel Comb-Filter",
THP059G,"A.A. Glazkov, A.D. Koliaskin, A.G. Ponomarenko, L.M. Sevryukova, A.A. Vasilliev, O.A. Voinalovich, I.A. Zvonarev","Superconducting Vertical Accelerator for Applied Purposes ",
THP060G,"M. Castellano, L. Catani, G. Cavallari, M. Ferrario, M. Minestrini, P. Patteri, S. Tazzari, F. Tazzioli","LISA Injector Optimization by Stripline Signal Spectral Analysis",
THP061G,"A. Pisent, et al.","Status of the Superconducting RFQ Project for the Legnaro New Positive Ion Injector",
THP061L,"M.I. Ayzatsky, E.Z. Biller, A.N. Dovbnya, V.A. Kushnir, V.V. Mitrochenko","Two-cell RF Gun for a High Brightness Linac",
THP062G,"D.V. Gorelov, P.N. Ostroumov","Application of LANA Code for Design of Ion Linac",
THP063G,"O. Engels, H. Homeyer, W. Pelzer, A. Schempp","RF Properties of the VE-RFQ Injector for the ISL Cyclotron",
THP064G,"U. Beisel, O. Engels, A. Schempp, T. Sieber, H. Vormann","The Design of RFQ Accelerators with High Duty Factors",
THP064L,"A.N. Dovbnya, N.G. Reshetn'yak, V.P. Romas'ko, V.V. Zakutin, V.F. Zhiglo","Experimental Investigation of a Cold-Cathode Magnetron Gun",
THP065G,"A. Bechtold, P. Beller, U. Bessler, K. Bethge, O. Engels, J. Madlung, A. Schempp, L. Schmidt, H. Schmidt-Boecking, A. Schremmer, K. Stiebing, H. Streitz, H. Vormann","Beam Measurements at the ECR-RFQ System for Materials Research with Highly Charged Ions",
THP066G,"U. Becker, M. Dohlus, K. Ko, B. Krietenstein, T. Weiland","Simulation of Oscillations in High Power Kystrons",
THP066L,"J.D. Gilpatrick, S. Khan, D. Kraemer","A State Variable Approach to the BESSY-II Local Beam-Position-Feedback System",
THP067G,"M. Filtz","Analytical Calculation of Radiation in a Side Coupled mm-Wave Accelerating Structure ",
THP068G,"T. Scholz","Impedance of Rectangular Slots in a Round Coaxial Tube",
THP068L,"G. Ferrini, P. Michelato, C. Pagani, F. Parmigiani, D. Sertore, S. Valeri, A. di Bona","Cs2Te Photocathode for the TTF Injector II",
THP069G,"S. Arai, Y. Arakaki, T. Hattori, A. Imanishi, T. Katayama, K. Niki, M. Okada, Y. Takeda, E. Tojyo, M. Tomizawa, C. Velissaris, M. Yoshizawa","Progress Report of the Interdigital-H Linac For Radioactive Nuclei at INS",
THP070L,"G.J. DeVries, W.B. Kunkel, K.N. Leung, L.T. Perkins, D.S. Pickard, K. Saadatmand, A.B. Wengrow, M.D. Williams","Recent Development of RF-driven Multicusp H- Ion Sources",
THP071L,"E.G. Bessonov, A. Mikhailichenko","A Method of the Polarized Positron Beam Production",
THP072G,"O.I. Drivotin, Yu.N. Gavrish, A.E. Loukianova, D.A. Ovsyannikov, Yu.A. Svistunov, M.F. Vorogushin","The Choice of Acceleration Structure for PET-System",
THP072L,"E.G. Bessonov, K.J. Kim","Radiative Ion Cooling",
THP073G,"Y. Batygin, T. Chiba, A. Goto, M. Hemmi, O. Kamigaito, M. Kase, S. Kohara, Y. Miyazawa, Y. Yano","Development of a Variable Frequency RFQ Linac for the RILAC",
THP073L,"A.R.D. Rodrigues, C. Scorzato","LNLS Interlock System",
THP074G,"W. Beeckman, Y. Jongen, D. Vandeplassche, S. Zaremba","235 MeV Cyclotron for MGH's Northeast Proton Therapy Centre NPTC: Present Status",
THP075G,"P. Cohilis, Y. Jongen","High Beam Intensities for Cyclotron-Based Radioisotope Production",
THP076G,"M. Abs, J.M. Capdevila, T. Delvigne, F. Genin, Y. Jongen, A. Nguyen","RHODOTRON Accelerators for Industrial Electron-Beam Processing: A Progress Report",
THP076L,"H. Shimano, H. Tanaka","Automatic Closed Orbit Error Correction System of a Compact Storage Ring for SR Lithography",
THP077G,"V.A. Andreev, G. Parisi","A 90 degree -apart-stem Low Frequency RFQ",
THP077L,"A. Alimov, O. Chubarov, D. Ermakov, B. Ishkhanov, V.I. Shvedunov, V. Yailiyan","Two Methods of Phasing the Accelerator RF Systems with Self-Excitation",
THP078G,"I.V. Chuvilo, M.M. Katz, A. Kolomiets, A.M. Kozodaev, N.V. Lazarev, V.K. Plotnikov, G.G. Shimchuk, O.V. Shvedov, V.V. Vassiliev","Proton 36 MeV, 0.5 mA Linac ISTRA-36 as a Driver Multipurpose Irradiation Test Facility",
THP078L,"H. Euteneuer, M.O. Ihm, K.H. Kaiser, V.I. Shvedunov, Th. Weis","Design of a Prebuncher for Increased Longitudinal Capture Efficiency of MAMI",
THP079L,"E. Bozoki, A. Friedman, S. Rammamorthy, O. Singh, Y. Tang","Operations with the Digital Orbit Feedback System in the NSLS X-ray Ring",
THP080L,"S.S. Chang, J.Y. Huang, M. Kwon, M.K. Park, M. Yoon","Tune Measurement and Beam Damping System for PLS",
THP082L,"C.P. Bailey","Redesign of the 90 degree Analysing Magnet of the ISIS H- Ion Source using Finite Element Modelling",
THP083G,"N. Agapov, A. Baldin, H. Khodzhibagiyan, A. Kovalenko, E. Matyushevsky, I. Shelaev, A. Smirnov","How a 100 TeV Synchrotron/Collider Based on the Nuclotron-type Cryomagnetic System Would Look ",
THP083L,"T.W. Aitken, J.R.J. Bennett, T.A. Broome, R.A. Burridge, C.J. Densham, P. Drumm, W.R. Evans, I.S.K. Gardner, M. Holding, J. Kay, G.M. McPherson, S. Metcalf, G.T. Murdoch, V. Pantaleev, H. Price, H. Ravn, T.G. Walker, D.D. Warner","Progress of the RIST Project",
THP084L,"P.J.S. Barratt, A.P. Letchford, M. Perkins, C.W. Planner, R. Sidlow","Operational Experience of Penning H- Ion Sources at ISIS",
THP085L,"M. Bocciai, A. Fabris, C. Pasotti, M. Rinaldi, M. Svandrlik","Characterisation of the Low Level System of the ELETTRA RF Plants",
THP086G,"S. Kurokawa","The Present Status of the KEKB Project",
THP086L,"J. Lorkiewicz","A Miniature H- Ion Source for the C-30 Compact Cyclotron at Swierk",
THP087G,"N. Akasaka, H. Baba, M.H. Cho, K. Kubo, H.S. Lee, H. Matsumoto, S. Matsumoto, K. Oide, P. Pearce, T. Shintake, O. Takeda, S. Takeda, K. Watanabe, K. Yokoya","C-band RF Main Linac System for eE- Linear Collider at 500 GeV to 1 TeV C.M. Energy",
THP088G,"M.I. Ayzatsky, E.Z. Biller, A.N. Dovbnya, V.A. Kushnir, V.V. Mitrochenko, L.V. Reprintzev, D.L. Stepin","High Brightness Electron Linac with RF Gun and Accelerating Structure on Backward Wave",
THP088L,"F.V. Hartemann, C.H. Ho, S.Y. Hsu, J.Y. Hwang, W.K. Lau, G.P. Le Sage, Y.C. Liu, N.C. Luhmann, T.T. Yang","The Fabrication and Cold Test of a High Brightness X-Band RF Gun",
THP089L,"K.T. Hsu, C.C. Kuo, C.H. Kuo, K.K. Lin, T.S. Useng, W.T. Weng","Performance of the Transverse Coupled-Bunch Feedback System in the SRRC",
THP090G,"V.I. Beloglasov, G.L. Fursov, G.D. Kramskoj, E.S. Zlunitsyn, A.I. Zykov","An Electron Linac producing Beam Power up to 15 kW",
THP090L,"C.S. Chen, J.S. Chen, Jenny Chen, K.T. Hsu, K.H. Hu, C.H. Kuo, K.K. Lin, J.C. Liu, K.T. Pan, T.S. Ueng, C.J. Wang","First Experiments of the Digital Global Feedback in SRRC",
THP092L,"L.H. Chang, K.T. Hsu, C.C. Kuo, W.K. Lau, S.J. Lin, M.H. Wang, T.T. Yang","Longitudinal Damper for the SRRC/TLS Storage Ring",
THP093G,"H. Dewa, H. Fujita, M. Ikegami, M. Inoue, Y. Iwasha, S. Kakigi, M. Kando, K. Mashiko, A. Noda, H. Okamoto, T. Shirai, T. Sugimura, H. Tonguu","Electron Storage and Stretcher Ring, KSR",
THP093L,"K.T. Hsu, G.J. Jan, C.H. Kwo, K.T. Pan, T.S. Ueng, C.J. Wang","Fundamental Architectures of the Digital Global Orbit Feedback System for SRRC Storage Ring",
THP094L,"W. Corbett, R. Hettel, D. Keeley, I. Linscott, D. Mostowfi, J. Sebek, C. Wermelskirchen","Status of Digital Orbit Feedback for SPEAR",
THP095G,"J.L. Coacolo, B. Mouton, L. Serafini","Code Comparison in RF-GUN Simulations",
THP095L,"A. Endo, T. Hori, K. Kobayashi, T. Kozawa, K. Nakajima, A. Ogata, F. Sakai, T. Ueda, M. Uesaka, M. Washio","Photoelectron Generation by Femtosecond UV Laser",
THP096G,"F. Calvino, C. Martinez","Educational Software. Simulation of Charged Particle Trajectories in Presence of Magnetic Fields",
THP096L,"T. Bergmark, K. Hedblom, L. Hermansson, A. Johansson, D. Reistad","Transverse Cooling Times and Cooled Beam Profiles at CELSIUS",
THP097L,"G. Dutto, C.D.P. Levy, P.W. Schmor, G.W. Wight, A.N. Zelenski, W.T.H. van Oers","High Current, Optically-Pumped, Polarized H- Ion Source Development for High Energy Accelerators",
THP098G,"J.L. Coacolo, C. Pagani, L. Serafini","TESLA Photo-Injector Simulation Giving High Quality Beams",
THP098L,"N. Nedeljkovic, R. Pavlovic, S. Pavlovic","Shielding Design on the "TESLA" Accelerator Installation in the Institute of Nuclear Sciences "VINCA"",
THP099G,"H. Hsieh, R. Yourd, M. Zisman","Design and Construction of the PEP-II Low-Energy Ring",
THP100G,"J. Chaput, M.A. Tordeux","Linac Injector for SOLEIL",
THP101G,"A.N. Didenko, A.A. Glazkov, G.L. Horasanov, V.E. Kalantarov, A.D. Koliaskin","Conception of Secure Atomic Energy Plant with Subcritical Reactor and 100 MeV Proton Accelerator",
THP108G,"S. Auch, R. Cee, M. Grieser, D. Habs, C.M. Kleffner, M. Madert, S. Papureanu, R. Repnow, A. Schempp, D. Schwalm, R. von Hahn","New Developments for the RFQ-Accelerator of the Heidelberg High Current Injector",
THP109G,"G. Luijckx, R. Maas","Reduced Emittance for AmPS",
THP110G,"N. Araki, A. Itano, M. Kanazawa, M. Kumada, K. Maeda, S. Minohara, K. Noda, S. Sato, E. Takada, M. Torikoshi, N. Tsuzuki, S. Yamada","Beam Deceleration in the Operation of the Beam Extraction with a Patient Respiration",
THP111G,"N. Araki, T. Kanai, M. Kanazawa, M. Kumada, S. Minohara, K. Noda, H. Ogawa, S. Sato, E. Takada, H. Tomura, M. Torikoshi, S. Yamada","Performance of a Respiration-Gated Beam Control System for Patient Treatment",
THP112G,"N. Araki, A. Itano, M. Kanazawa, K. Kawachi, M. Kumada, T. Murakami, K. Noda, H. Ogawa, Y. Sato, E. Takada, M. Torikoshi, K. Ueda, S. Yamada, J. Yoshizawa","Status Report of the HIMAC Accelerator Facility",
THP113G,"H. Kobayashi, Y. Miyahara, S. Sasaki, T. Shimada, M. Takao, A. Yokoya","Design of Variable Polarizing Undulator APPLE-type for SX Beamline in the SPring-8",
THP114G,"J.S. Bak, M.H. Cho, J.H. Choi, I.S. Ko, H.S. Lee, W. Namkung","Operational Status of PLS 2-GeV Linac",
THP115G,"D.J. Adams, I.S.K. Gardner, M.R. Harold, C.M. Warsop","The Use of ISIS as a Proton Therapy Facility",
THP118G,"H. Deruyter, R. Miller, A.V. Mishin, J. Potter, T. Roumbanis, R. Schonberg","Properties and Possible Applications of Multiple Beam Coupled Cavity Structure",
THP119G,"H. Deruyter, S. Farrell, R. Miller, A.V. Mishin, T. Roumbanis, R. Schonberg, R. Smith","High Power 2 MeV Linear Accelerator Design Characteristics",
THP120G,"A.V. Mishin","Multiple Beam Coupled Cavity Concept and Structure",
THP121G,"H. Deruyter, A.V. Mishin, T. Roumbanis, R. Schonberg, D. Skowbo","Latest Results on Portable X-Band Linac Development",
THP122G,"L. Barbina, D. Bulfone, A. Carniel, G. D'Auria, P. Delgiusto, M. Ferianis, F. Giacuzzo, M. Lonza, R. Marizza, P. Michelini, M. Milloch, A. Milocco, F. Pettarin, A. Pozzer, C. Rossi, A. Tomicich","The ELETTRA Injector Linac Upgrading Program",
