froaa2,"M. Blaskiewicz, V.H. Ranjbar [BNL, Upton, Long Island, New York, USA] ","Transverse Beam Transfer Functions via the Vlasov Equation",1427 1429,
mopma16,"S.S. Kurennoy, E.R. Olivas, L. Rybarcyk [LANL, Los Alamos, New Mexico, USA] ","Design Analysis of the New LANL 4-Rod RFQ",333 335,
mopma17,"L. Rybarcyk, Y.K. Batygin, I.N. Draganic (I. Draganić), C.M. Fortgang, R.W. Garnett, S.S. Kurennoy, R.C. McCrady, T.P. Wangler [LANL, Los Alamos, New Mexico, USA] J. Haeuser [Kress GmbH, Biebergemuend, Germany] A. Schempp [IAP, Frankfurt am Main, Germany] ","Design Requirements and Expected Performance of the New LANSCE H+ RFQ",336 338,
mopma18,"X. Pang, S.A. Baily, L. Rybarcyk [LANL, Los Alamos, New Mexico, USA] ","GPU Accelerated Online Multi-Particle Beam Dynamics Simulator for the LANSCE Linac",339 341,
mopma20,"Q. Zhao, J.F. Brandon [NSCL, East Lansing, Michigan, USA] D. Morris, Y. Yamazaki [FRIB, East Lansing, Michigan, USA] ","Phase Stability of the RF Reference Line for the FRIB Linac",342 344,
mopma21,"C.Y. Yoshikawa, C.M. Ankenbrandt [Muons, Inc, Illinois, USA] A.F. Leveling, N.V. Mokhov, J.P. Morgan, D.V. Neuffer, S.I. Striganov [Fermilab, Batavia, USA] ","An Optimization Study of the Target Subsystem for the New g-2 Experiment",345 347,
mopsm01,"Y. Luo, R.C. Pardo, G. Savard, S.I. Sharamentov, R.C. Vondrasek [ANL, Argonne, USA] ","High Voltage Stabilization System of CARIBU/ECR for ATLAS",348 350,
mopsm02,"B. Mustapha, M. Alcorta, B. Back, P.N. Ostroumov [ANL, Argonne, USA] ","Design and Simulation of the Argonne Inflight Radiactive Ion Separator",351 353,
mopsm05,"R.C. McCrady, Y.K. Batygin, I.N. Draganic (I. Draganić), C.M. Fortgang, R.W. Garnett, S.S. Kurennoy, J.F. O'Hara, E.R. Olivas, L. Rybarcyk [LANL, Los Alamos, New Mexico, USA] ","Diagnostics for the LANSCE RFQ Front-End Test Stand",354 356,
mopsm06,"J.X. Zhang, A.M. Cook, B.J. Munroe, M.A. Shapiro, R.J. Temkin [MIT/PSFC, Cambridge, Massachusetts, USA] ","Design and Cold Test of a 17 GHz Overmoded Hybrid PBG Accelerator Cavity",357 359,
mopsm07,"W. Wittmer, D.M. Alt, C. Benatti, S.W. Krause, A. Lapierre, D. Leitner, F. Montes, S. Nash, R. Rencsok, M.J. Syphers, X. Wu [NSCL, East Lansing, Michigan, USA] L.Y. Lin, J.A. Rodriguez, E. Tanke [FRIB, East Lansing, Michigan, USA] ","Results From the Linac Commissioning of the Rare Isotope Reaccelerator - ReA",360 362,
moyaa1,"G. Papotti [CERN, Geneva, Switzerland] ","LHC Operation at Higher Energy and Luminosity",99 98,
moyab1,"R.O. Hettel [SLAC, Menlo Park, California, USA] M. Borland [ANL, Argonne, USA] ","Perspectives and Challenges for Diffraction-Limited Storage Ring Light Sources",19 23,
moyba1,"E. Adli [University of Oslo, Oslo, Norway] E. Adli [CERN, Geneva, Switzerland] E. Adli [SLAC, Menlo Park, California, USA] ","The CLIC Project - Status and Prospects",6 10,
moybb1,"Y.H. Chin [KEK, Ibaraki, Japan] ","Analysis of Transverse Instabilities Observed at J-PARC MR and their Suppression using Feedback Systems",27 31,
moybb2,"A. Macridin [Fermilab, Batavia, USA] ","Transverse Impedance and Transverse Instabilities in the Fermilab Booster",32 35,
mozaa1,"L. Harwood [JLAB, Newport News, Virginia, USA] ","The JLAB 12 GeV Energy Upgrade of CEBAF",36 40,
mozaa2,"K. Mernick, M. Blaskiewicz, J.M. Brennan [BNL, Upton, Long Island, New York, USA] ","Full 3D Stochastic Cooling at RHIC",41 45,
mozab1,"P.M. McIntyre, S. Assadi, C. Collins, J. Comeaux, K.C. Damborsky, J.N. Kellams, F. Lu, T.L. Mann, K.E. Melconian, N. Pogue, A. Sattarov, E. Sooby, P.V. Tsvetkov [Texas Aamp;M University, College Station, Texas, USA] ","Accelerator-Driven Subcritical Fission To Destroy Transuranics and Close the Nuclear Fuel Cycle",62 66,
mozba1,"J.-B. Lallement, A. Akroh, G. Bellodi, J.F. Comblin, V.A. Dimov, E. Granemann Souza, J. Lettry, A.M. Lombardi, O. Midttun, E. Ovalle, U. Raich, F. Roncarolo, C. Rossi, J.L. Sanchez Alvarez, R. Scrivens, C.A. Valerio, M. Vretenar, M. Yarmohammadi Satri [CERN, Geneva, Switzerland] M. Yarmohammadi Satri [IPM, Tehran, Iran] ","First Commissioning Experience with the Linac4 3 MeV Front-End at CERN",52 56,
mozba2,"S. Fu [IHEP, Beijing, People's Republic of China] ","Proton Accelerator Development in China",57 61,
mozbb1,"P. Piot [Fermilab, Batavia, USA] P. Piot [Northern Illinois University, DeKalb, Illinois, USA] ","The Advanced Superconducting Test Accelerator (ASTA) at Fermilab",67 71,
thap1,"A. J. Dragt [UMD, College Park, Maryland, USA] ","An Overview of Lie Methods for Accelerator Physics",1134 1138,
thoab1,"M.P. Dehnel, T. Christensen, D.E. Potkins, T.M. Stewart [D-Pace, Nelson, British Columbia, Canada] S. Bucci, P. Creely, S. Domingo, G. James, H. Seki, S. Shibuya [AccSys, Pleasanton, California, USA] ","A Specialized High-Power (50 kW) Proton Beamline for BNCT",1116 1118,
thoab2,"D. Trbojevic, B. Parker [BNL, Upton, Long Island, New York, USA] M. Pullia [CNAO Foundation, Milan, Italy] ","Large Momentum Acceptance Superconducting NS-FFAG Gantry for Carbon Cancer Therapy",1119 1121,
thoba1,"B.J. Munroe, M.A. Shapiro, R.J. Temkin [MIT/PSFC, Cambridge, Massachusetts, USA] ","High-Gradient Metallic Photonic Band-Gap (PBG) Structure Breakdown Testing At 17 GHz",1088 1090,
thoba2,"S. Posen, M. Liepe [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","First Cavity Results from the Cornell SRF Group's Nb3Sn Program",1091 1093,
thoba4,"Y. Matsumura, K. Koyama [University of Tokyo, Tokyo, Japan] M. Uesaka [The University of Tokyo, Nuclear Professional School, Ibaraki-ken, Japan] M. Yoshida, X. Zhou [KEK, Ibaraki, Japan] ","Development of Yb Laser For High Power Ultra-Short Pulse",1094 1096,
thobb2,"N. Ratcliffe, R.J. Barlow, R. Cywinski [University of Huddersfield, Huddersfield, United Kingdom] P. Beasley [Siemens AG, Healthcare Technology and Concepts, Erlangen, Germany] ","Development of Low Energy Accelerator-Based Production of Medical Isotopes",1131 1133,
thoca1,"K.A. Marsh, W. An, C.E. Clayton, C. Joshi, W. Lu, W.B. Mori, N. Vafaei-Najafabadi [UCLA, Los Angeles, California, USA] E. Adli [University of Oslo, Oslo, Norway] E. Adli, C.I. Clarke, S. Corde, J.-P. Delahaye, R.J. England, A.S. Fisher, J.T. Frederico, S.J. Gessner, M.J. Hogan, S.Z. Li, M.D. Litos, D.R. Walz, Z. Wu [SLAC, Menlo Park, California, USA] W. Lu [TUB, Beijing, People's Republic of China] P. Muggli [MPI, Muenchen, Germany] ","X-ray Radiation and Electron Injection from Beam Envelope Oscillations in Plasma Wakefield Accelerator Experiments at FACET",1105 1107,
thoca2,"S. Shiraishi, C. Benedetti, E. Esarey, C.G.R. Geddes, A.J. Gonsalves, W. Leemans, N.H. Matlis, K. Nakamura, C.B. Schroeder, B. Shaw, T. Sokollik, S. Steinke, C. Toth (C. Tóth), J. van Tilborg [LBNL, Berkeley, California, USA] ","Experimental Progress on Staged Laser-plasma Acceleration",1108 1110,
thoda1,"S.C.P. Albright, R. Seviour [University of Huddersfield, Huddersfield, United Kingdom] R. Seviour [Lund University, Lund, Sweden] ","Low Energy Fusion for a Safe and Compact Neutron Source",1125 1127,
thoda2,"N. Pogue, S. Assadi, P.M. McIntyre, A. Sattarov, P.V. Tsvetkov [Texas Aamp;M University, College Station, Texas, USA] ","Accelerator-based Neutron Damage Facility Using LEDA",1128 1130,
thpac01,"A.R. Vrielink, Y.-C. Chao, C. Gong, R.E. Laxdal, V. Zvyagintsev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Longitudinal Emittance Measurement System for the ARIEL Electron Linac",1139 1141,
thpac03,"J.Y. Kim, J.-W. Kim, M. Kim [IBS, Daejeon, Republic of Korea] ","Beam Dump Design for the In-flight Fragment Separator using High-power Beam",1142 1144,
thpac04,"M. Cargnelutti, R. Hrovatin, G. Jug [I-Tech, Solkan, Slovenia] ","Beam Position Electronics Based on System on Chip Platform",1145 1147,
thpac06,"L.E. Boon [Purdue University, West Lafayette, Indiana, USA] L.E. Boon, R.J. Dejus, K.C. Harkay, M.S. Jaski [ANL, Argonne, USA] ","Comparison of Simulations and Analytical Theory of Radiation Heating on the Advanced Photon Source Superconducting Undulator",1148 1150,
thpac07,"Y. Shiroyanagi, C.L. Doose, J.D. Fuerst, K.C. Harkay, Q.B. Hasse, Y. Ivanyushenkov, M. Kasa [ANL, Argonne, USA] ","Thermal Modeling of the Prototype Superconducting Undulator (SCU0)",1151 1153,
thpac08,"X. Sun, H. Bui, G. Decker, R.T. Keane, R.M. Lill, B.X. Yang [ANL, Argonne, USA] ","Modernization of the Bergoz Multiplexed BPM System for the APS Upgrade",1154 1156,
thpac09,"H.C. Fernandes, P.L. Cappadoro, T.M. Corwin, D.A. Harder, P. He, C.A. Kitegi, W. Licciardi, M.M. Musardo, G. Rakowsky, J. Rank, C. Rhein, T. Tanabe [BNL, Upton, Long Island, New York, USA] ","Ultra-high Vacuum Seal for Long Chambers using Wire Seals",1157 1159,
thpac10,"H.C. Fernandes, B. Belkacem, W.X. Cheng, W. Guo, B.N. Kosciuk, J. Rank, S.K. Sharma, O. Singh, T. Tanabe, G.M. Wang [BNL, Upton, Long Island, New York, USA] ","Design and Testing of Faraday's Cup for NSLS-II Linac and Booster",1160 1162,
thpac12,"X. Liang, K. Attenkofer, T. Rao, S.G. Schubert, J. Smedley, E. Wang, Q. Wu [BNL, Upton, Long Island, New York, USA] I. Ben-Zvi, M. Ruiz-Oses (M. Ruiz-Osés) [Stony Brook University, Stony Brook, USA] J. Jordan-Sweet [IBM T. J. Watson Center, Yorktown Heights, New York, USA] H.A. Padmore, J.J. Wong [LBNL, Berkeley, California, USA] ","Preparation and Investigation of Antimony Thin Films for Multi-Alkali Photocathodes",1163 1165,
thpac13,"C. Liu, D.M. Gassner, D. Kayran, M.G. Minty, P. Thieberger [BNL, Upton, Long Island, New York, USA] ","Simulation and Optimization of Multi-Slit Based Emittance Measurement for BNL ERL",1166 1168,
thpac14,"M.M. Musardo, T.M. Corwin, D.A. Harder, P. He, C.A. Kitegi, W. Licciardi, G. Rakowsky, T. Tanabe [BNL, Upton, New York, USA] ","3D Hall Probe Calibration System at Insertion Device Magnetic Measurement Facility at BNL",1169 1171,
thpac15,"M.M. Musardo, T.M. Corwin, D.A. Harder, P. He, C.A. Kitegi, W. Licciardi, G. Rakowsky, J. Rank, C. Rhein, T. Tanabe [BNL, Upton, New York, USA] ","NSLS-II Magnetic Measurement System Facility",1172 1174,
thpac16,"S. Seletskiy, Y. Hidaka, B. Podobedov, X. Yang [BNL, Upton, Long Island, New York, USA] ","Upgrade of Beam Injection Diagnostics at BNL NSLS",1175 1177,
thpac17,"J. Smedley, K. Attenkofer, S.G. Schubert [BNL, Upton, Long Island, New York, USA] I. Ben-Zvi, X. Liang, E.M. Muller, M. Ruiz-Oses (M. Ruiz-Osés) [Stony Brook University, Stony Brook, USA] J. DeFazio [PHOTONIS USA PENNSYLVANIA, INC., Lancaster, USA] H.A. Padmore, J.J. Wong [LBNL, Berkeley, California, USA] J. Xie [ANL, Argonne, USA] ","Alkali Antimonide Photocathodes for Everyone",1178 1180,
thpac18,"E. Wang, S.A. Belomestnykh, I. Ben-Zvi, T. Rao, J. Smedley [BNL, Upton, Long Island, New York, USA] I. Ben-Zvi, M. Ruiz-Oses (M. Ruiz-Osés) [Stony Brook University, Stony Brook, USA] X. Liang [SBU, Stony Brook, New York, USA] ","Progress on Growth of a Multi-alkali Photocathode for ERL",1181 1183,
thpac19,"J.R. Harris [CSU, Fort Collins, Colorado, USA] C.W. Bennett, M.D. Galt, A.D. Holmes, A. Kara, R. Swent [NPS, Monterey, California, USA] J.W. Lewellen [LANL, Los Alamos, New Mexico, USA] J. Sears [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Temperature Dependence of Photoemission from Copper and Niobium",1184 1186,
thpac20,"J.L. Crisp, B. Durickovic, G. Kiupel, D. Leitner, J.A. Rodriguez, T. Russo, R.C. Webber, W. Wittmer [FRIB, East Lansing, USA] C.I. Briegel, N. Eddy, B.J. Fellenz, D. Slimmer [Fermilab, Batavia, USA] D. Constan-Wahl, S.W. Krause, S. Nash [NSCL, East Lansing, Michigan, USA] M. Wendt [CERN, Geneva, Switzerland] ","Beam Position and Phase Measurements of Microampere Beams at the Michigan State University ReA3 Facility",1187 1189,
thpac23,"I.N. Draganic (I. Draganić), J.F. O'Hara, L. Rybarcyk [LANL, Los Alamos, New Mexico, USA] ","Lifetime Study of Tungsten Filaments in an H- Surface Convertor Ion Source",1190 1192,
thpac24,"J.B. Johnson [LANL, Los Alamos, New Mexico, USA] ","PIN Diode Detectors at DARHT II",1193 1195,
thpac25,"J.D. Sedillo, J.D. Gilpatrick [LANL, Los Alamos, New Mexico, USA] ","LANSCE-RM Wire Scanners: SLIP-Encoded Serial Communication for Maintenance Display at the Instrument",1196 1198,
thpac26,"H.A. Watkins, J.D. Gilpatrick, R.C. McCrady [LANL, Los Alamos, New Mexico, USA] ","Analog Front End Design for High Speed Digitizing of Beam Position and Phase Measurements at LANSCE",1199 1201,
thpac29,"L. Faillace, R.B. Agustsson, J.J. Hartzell, A.Y. Murokh, S. Storms [RadiaBeam, Santa Monica, USA] ","Fabrication and Validation of a Normal Conducting Radio Frequency S-Band Deflecting Cavity for the Pohang Accelerator Laboratory (PAL)",1202 1204,
thpac32,"S. Wu, R.B. Agustsson, G. Andonian, T.J. Campese, A.Y. Murokh [RadiaBeam, Santa Monica, USA] M.G. Fedurin, K. Kusche, R. Malone, C. Swinson [BNL, Upton, Long Island, New York, USA] R.K. Li [UCLA, Los Angeles, California, USA] ","Transverse Beam Profile Diagnostic Using Fiber Optic Array",1205 1207,
thpac33,"N.M. Cook [Stony Brook University, Stony Brook, USA] R.S. Lefferts [SBUNSL, Stony Brook, New York, USA] O. Tresca [BNL, Upton, Long Island, New York, USA] V. Yakimenko [SLAC, Menlo Park, California, USA] ","Scintillator Diagnostics for the Detection of Laser Accelerated Ion Beams",1208 1210,
thpac34,"T. Xin, S.A. Belomestnykh, I. Ben-Zvi [Stony Brook University, Stony Brook, USA] S.A. Belomestnykh, I. Ben-Zvi, T. Rao, J. Skaritka, J. Smedley, E. Wang, Q. Wu [BNL, Upton, Long Island, New York, USA] M. Gaowei, E.M. Muller [SBU, Stony Brook, New York, USA] ","Diamond Amplifier Design and Preliminary Test Results",1211 1213,
thpac35,"T. Xin, S.A. Belomestnykh, I. Ben-Zvi [Stony Brook University, Stony Brook, USA] S.A. Belomestnykh, I. Ben-Zvi, X. Liang, T. Rao, J. Skaritka, E. Wang, Q. Wu [BNL, Upton, Long Island, New York, USA] C.H. Boulware, T.L. Grimm [Niowave, Inc., Lansing, Michigan, USA] X. Liang [SBU, Stony Brook, New York, USA] ","Multipacting Study of 112 MHz SRF Electron Gun",1214 1216,
thpac36,"F.H. O'Shea [UCLA, Los Angeles, California, USA] R.B. Agustsson, Y.C. Chen, T.J. Grandsaert, A.Y. Murokh, K.E. Woods [RadiaBeam, Santa Monica, USA] J. Park, R.L. Stillwell [NHMFL, Tallahassee, Florida, USA] ","Progress in the Development of Textured Dysprosium for Undulator Applications",1217 1219,
thpac37,"H.L. To, G. Andonian, R.K. Li, P. Musumeci [UCLA, Los Angeles, California, USA] G. Andonian [RadiaBeam, Marina del Rey, USA] ","Surface Plasmon Resonance Enhanced Multiphoton Emission from Metallic Cathode",1220 1222,
thpba01,"D.W. Storey [Victoria University, Victoria, B.C., Canada] Y.-C. Chao, L. Merminga [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Beam Dynamics Driven Requirements on the ARIEL e-linac SRF Separator Cavity",1223 1225,
thpba02,"D.W. Storey [Victoria University, Victoria, B.C., Canada] R.E. Laxdal, L. Merminga, V. Zvyagintsev [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Feasibility of an RF Dipole Cavity for the ARIEL e-linac SRF Separator",1226 1228,
thpba03,"W. Beeckman, S. Antoine, P. Bocher, F. Forest, P. Jehanno, P. Jivkov, M.J. Leray, S. Taillardat [Sigmaphi, Vannes, France] H. Hama, F. Hinode [Tohoku University, Research Center for Electron Photon Science, Sendai, Japan] L. Swinnen [Sigmaphi Japan, Tokyo, Japan] ","Design, Fabrication, Measurement, Installation and Alignment of 2 Types of Quadrupole-sextupole Combined Magnets for the Upgrade of the 1.2 GeV Booster Synchrotron at Tohoku University",1229 1231,
thpba04,"N. Ohuchi, Y. Arimoto, H. Koiso, A. Morita, Y. Ohnishi, K. Oide, H. Sugimoto, M. Tawada, K. Tsuchiya, H. Yamaoka, Z.G. Zong [KEK, Ibaraki, Japan] ","Design and Construction of the Proto-type Quadrupole Magnets for the SuperKEKB Interaction Region",1232 1234,
thpba05,"C.L. Doose, M. Kasa [ANL, Argonne, USA] ","Multipole Magnetic Measurements Using a Lock-in Amplifier Technique",1235 1237,
thpba06,"C.L. Doose, M. Kasa [ANL, Argonne, USA] ","Magnetic Measurements of the First Superconducting Undulator at the Advanced Photon Source",1238 1240,
thpba07,"B. Parker, M. Anerella, J. Escallier, A.K. Ghosh, H.M. Hocker, A.K. Jain, A. Marone, P. Wanderer [BNL, Upton, Long Island, New York, USA] Y. Arimoto, M. Iwasaki, N. Ohuchi, M. Tawada, K. Tsuchiya, H. Yamaoka, Z.G. Zong [KEK, Ibaraki, Japan] ","Superconducting Corrector IR Magnet Production for SuperKEKB",1241 1243,
thpba08,"H. Witte, S.R. Plate [BNL, Upton, Long Island, New York, USA] A.D. Bross [Fermilab, Batavia, USA] J.S. Tarrant [STFC/RAL, Chilton, Didcot, Oxon, United Kingdom] ","Partial Return Yoke for MICE - Engineering Design",1244 1246,
thpba09,"H. Witte, S.R. Plate [BNL, Upton, Long Island, New York, USA] A.D. Bross [Fermilab, Batavia, USA] J.S. Tarrant [STFC/RAL, Chilton, Didcot, Oxon, United Kingdom] ","Partial Return Yoke for MICE - General Concept and Performance",1247 1249,
thpba11,"N. Butler, M.P.J. Gaudreau, M.K. Kempkes, J. Kinross-Wright, F.M. Niell [Diversified Technologies, Inc., Bedford, Massachusetts, USA] ","A Stripline Kicker Driver for the Next Generation Light Source",1250 1252,
thpba12,"M.A. Green, G. Bollen, S. Chouhan, A. Zeller [FRIB, East Lansing, USA] J. DeKamp, D. Lawton, C. Magsig, D.J. Morrissey, J. Ottarson, S. Schwarz [NSCL, East Lansing, Michigan, USA] ","Progress on the MSU Superferric Cyclotron Gas Stopper Magnet Quench Protection and Cooling System",1253 1255,
thpba13,"M. Shuptar, F. Casagrande, A.D. Fox, M.J. Johnson, M. Leitner, S.J. Miller, T. Nellis, M.S. Patil, T. Xu, Y. Xu [FRIB, East Lansing, Michigan, USA] ","Mechanical Design of the Cryogenic Sub-Systems for ReA6 Quarter Wave Resonator Cryomodule",1256 1258,
thpba14,"V.V. Kashikhin, N. Dhanaraj, M.J. Lamm, N.V. Mokhov, V.S. Pronskikh [Fermilab, Batavia, USA] ","Impact of Radiation on the Mu2e Production Solenoid Performance",1259 1261,
thpba15,"J.M. Nogiec, R.H. Carcagno, S. Kotelnikov, A. Makulski, R. Nehring, D.F. Orris, W. Schappert [Fermilab, Batavia, USA] ","A Highly Configurable and Scriptable Software System for Fully Automated Tuning of Accelerator Cavities",1262 1264,
thpba16,"D.F. Orris, R.H. Carcagno, J.M. Nogiec, R. Rabehl, C. Sylvester, M.A. Tartaglia [Fermilab, Batavia, USA] ","A New Facility for Testing Superconducting Solenoid Magnets with Large Fringe Fields at Fermilab",1265 1267,
thpba17,"G.W. Saewert, M.H. Awida, B. Chase, H. Pfeffer, D. Wolff [Fermilab, Batavia, USA] D. Frolov [Kuban State University, Krasnodar, Russia] ","Status Of PXIE 200  MEBT Kicker Development",1268 1270,
thpba19,"A.V. Zlobin, Y.I. Alexahin, V.V. Kapin, V.V. Kashikhin, N.V. Mokhov, S.I. Striganov, I.S. Tropin [Fermilab, Batavia, USA] ","Storage Ring and Interaction Region Magnets for a +- Higgs Factory",1271 1273,
thpba22,"G. Flanagan, R.P. Johnson, S.A. Kahn, M.L. Neubauer [Muons, Inc, Illinois, USA] N. Andreev, R. Bossert, S. Krave, M.L. Lopes, J.C. Tompkins, K. Yonehara [Fermilab, Batavia, USA] F. Marhauser [MuPlus, Inc., Newport News, USA] ","Helical Muon Beam Cooling Channel Engineering Design",1274 1276,
thpba23,"R.P. Johnson, G. Flanagan, F. Marhauser [Muons, Inc, Illinois, USA] C. Bowman, R.B. Vogelaar [ADNA, Los Alamos, New Mexico, USA] ","Disposition of Weapons-Grade Plutonium with GEM*STAR",1277 1279,
thpba24,"S.A. Kahn, A. Dudas, G. Flanagan, J.H. Nipper [Muons, Inc, Illinois, USA] M. Anerella, R.C. Gupta, J. Schmalzle [BNL, Upton, Long Island, New York, USA] ","A Dipole Magnet for the FRIB High Radiation Environment Nuclear Fragment Separator",1280 1282,
thpba25,"S.A. Kahn [Muons, Inc, Illinois, USA] R.C. Gupta [BNL, Upton, Long Island, New York, USA] ","Radiation Tolerant Multipole Correction Coils for FRIB Quadrupoles",1283 1285,
thpba26,"S.A. Kahn, G. Flanagan [Muons, Inc, Illinois, USA] M.L. Lopes, K. Yonehara [Fermilab, Batavia, USA] ","Elliptical Muon Helical Cooling Channel Coils",1286 1288,
thpba27,"T.J. Roberts [Muons, Inc, Illinois, USA] ","Simulation Workstation",1289 1291,
thpba28,"M.P. Howell, A. Coleman, S.-H. Kim, W.H. Strong [ORNL, Oak Ridge, Tennessee, USA] B. DeGraff, T.S. Neustadt, J.A. Proulx, J. Saunders, D.M. Vandygriff [ORNL RAD, Oak Ridge, Tennessee, USA] T. Xu [FRIB, East Lansing, USA] ","Status of Spallation Neutron Source Cryogenic Test Facility (CTF)",1292 1294,
thpba29,"J.F. DeFord, B.L. Held, A.A. Nichols [STAAR/AWR Corporation, Mequon, USA] ","Recent Improvements in Particle Simulation Support in Analyst-MP",1295 1297,
thpho01,"Z.Q. He [TUB, Beijing, People's Republic of China] K. Jimbo [Kyoto University, Institute for Advanced Energy, Kyoto, Japan] M. Nakao, A. Noda [NIRS, Chiba-shi, Japan] H. Okamoto, K. Osaki [HU/AdSM, Higashi-Hiroshima, Japan] H. Souda [Gunma University, Heavy-Ion Medical Research Center, Maebashi-Gunma, Japan] J. Wei [FRIB, East Lansing, USA] Y. Yuri [JAEA/TARRI, Gunma-ken, Japan] ","Parameter Optimization for Multi-Dimensional Laser Cooling for an Ion Beam in the Storage Ring S-LSR",1298 1300,
thpho03,"R. Lipa, N.D. Arnold, H. Bui, G. Decker, T. Fors, R. Laird, F. Lenkszus, A.J. Scaminaci, N. Sereno, S.E. Shoaf [ANL, Argonne, USA] ","APS Fast Orbit Feedback System Upgrade",1301 1303,
thpho04,"J.S. Berg, R.B. Palmer, D. Stratakis [BNL, Upton, Long Island, New York, USA] ","Linear Analysis for Several 6-D Ionization Cooling Lattices",1304 1306,
thpho05,"R.B. Palmer, J.S. Berg, D. Stratakis [BNL, Upton, Long Island, New York, USA] ","A Planar Snake Muon Ionization Cooling Lattice",1307 1309,
thpho06,"S.A. Belomestnykh, I. Ben-Zvi, J.C. Brutus, D. Kayran, V. Litvinenko, P. Orfin, I. Pinayev, T. Rao, B. Sheehy, J. Skaritka, K.S. Smith, R. Than, J.E. Tuozzolo, E. Wang, Q. Wu, W. Xu, A. Zaltsman [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh, I. Ben-Zvi, V. Litvinenko, M. Ruiz-Oses (M. Ruiz-Osés), T. Xin [Stony Brook University, Stony Brook, USA] C.H. Boulware, T.L. Grimm [Niowave, Inc., Lansing, Michigan, USA] Y. Huang [Fermilab, Batavia, USA] X. Liang [SBU, Stony Brook, New York, USA] P.A. McIntosh, A.J. Moss, A.E. Wheelhouse [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] ","SRF and RF Systems for CeC PoP Experiment",1310 1312,
thpho07,"C.J. Liaw, S. Bellavia, J.M. Brennan, K. Mernick, M. Myers, J.E. Tuozzolo [BNL, Upton, Long Island, New York, USA] ","Novel Mechanical Design for RHIC Transverse Stochastic Cooling Kicker",1313 1315,
thpho08,"C.J. Liaw, J.M. Brennan, V. De Monte, K. Mernick, M. Myers, J.E. Tuozzolo [BNL, Upton, Long Island, New York, USA] ","Robust Mechanical Design for RHIC Transverse Stochastic Cooling Pickup",1316 1318,
thpho09,"P. Thieberger, J.A. D'Ambra, A.K. Ghosh, K. Hamdi, K. Mernick, T.A. Miller, M.G. Minty, C. Pai [BNL, Upton, Long Island, New York, USA] ","High Intensity RHIC Limitations Due to Signal Heating of the Cryogenic BPM Cables",1319 1321,
thpho10,"C. Montag, L. Ahrens, W. Fischer, H. Hahn, C.J. Liaw, J.-L. Mi, S.K. Nayak, T. Roser, P. Thieberger, J.E. Tuozzolo, K. Yip, W. Zhang [BNL, Upton, Long Island, New York, USA] ","Upgrading the RHIC Beam Dump for Higher Intensity",1322 1324,
thpho11,"H. K. Sayed, H.G. Kirk [BNL, Upton, Long Island, New York, USA] K.T. McDonald [PU, Princeton, New Jersey, USA] ","Optimization of the Capture Section of a Staged Neutrino Factory",1325 1327,
thpho12,"D. Stratakis, J.S. Berg, R.B. Palmer [BNL, Upton, Long Island, New York, USA] V. Balbekov [Fermilab, Batavia, USA] ","A High-Performance Rectilinear FOFO Channel for Muon Cooling",1328 1330,
thpho13,"D. Stratakis, J.S. Berg, R.B. Palmer [BNL, Upton, Long Island, New York, USA] D.P. Grote [LLNL, Livermore, California, USA] ","Space-Charge Limitations on the Final Stages of a Muon Collider Cooling Channel",1331 1333,
thpho14,"B. Durickovic, J.L. Crisp, G. Kiupel, D. Leitner, J.A. Rodriguez, R.C. Webber [FRIB, East Lansing, USA] D. Constan-Wahl, S.W. Krause, S. Nash, R. Rencsok, W. Wittmer [NSCL, East Lansing, Michigan, USA] ","RF Cavity Phase Calibration using Electromagnetic Pickups",1334 1336,
thpho15,"M.A. Leonova [Fermilab, Batavia, USA] ","MICE Spectrometer Solenoid Magnetic Field Measurements",1337 1339,
thpho18,"Y. Torun [IIT, Chicago, Illinois, USA] M.S. Zisman [LBNL, Berkeley, California, USA] ","Status of the Muon Ionization Cooling Experiment (MICE)",1340 1342,
thpho19,"C.Y. Yoshikawa, C.M. Ankenbrandt, R.P. Johnson [Muons, Inc, Illinois, USA] Y.S. Derbenev, V.S. Morozov [JLAB, Newport News, Virginia, USA] D.V. Neuffer, K. Yonehara [Fermilab, Batavia, USA] ","A Charge Separation Study to Enable the Design of a Complete Muon Cooling Channel",1343 1345,
thpho21,"T. Satogata [JLAB, Newport News, Virginia, USA] B.R.P. Gamage, T. Satogata [ODU, Norfolk, Virginia, USA] ","Magnetic Bunch Compression for a Compact Compton Source",1346 1348,
thpho23,"T.V. Zolkin [University of Chicago, Chicago, Illinois, USA] N. Eddy, V.A. Lebedev [Fermilab, Batavia, USA] ","Improvement of Digital Filter for the FNAL Booster Transverse Dampers",1349 1351,
