,
,"I.L. Morgan","Impact of Accelerators on Technology",36 40,
,"D. Thouroude","Space Charge Effects in the Vertical Plane During Injection in a Synchrocyclotron",880 882,
,"G. Besnier","Normal Oscillating Modes of a One-Dimensional Maxwellian Beam in the Linear Space Charge Approximation",882 885,
,"D.A. Edwards, L.C. Teng","Parametrization of Linear Coupled Motion in Periodic Systems",885 889,
,"S.C. Snowdon","Effect of Random Fluctuations on Synchrotron Phase Motion",889 892,
,"J.A. MacLachlan","Correcting Closed-Orbit Distortion in the NAL Main Ring",892 895,
,"J.J. Olcese, W.J. Gallagher","Prebunching with Space Charge",895 898,
,"A.S. King, M.J. Lee, P.L. Morton","Closed Orbit Correctiion in SPEAR",898 900,
,"R.H. Helm, M.J. Lee, P.L. Morton","Evaluation of Synchrotron Radiation Integrals",900 902,
,"A. Jain, A.S. Divatia","General Design Equations for Isochronous Cyclotrons",902 905,
,"D.C. Hagerman","Operating Results on the 800-MeV Proton Linac at the Los Alamos Scientific Laboratory",905 910,
,"W.B. Herrmannsfeldt","The SLAC Recirculating Linear Accelerator",910 914,
,"J. Haimson","Initial Operation of the MIT Electron Linear Accelerator",914 919,
,"G. Mavrogenes, G. Clifft, K. Johnson, W. Ramler, W. Wesolowski","Subnanosecond High-Intensity Beam Pulse",919 923,
,"D. Brodzik, H. Lancaster, K.H. Lou, R.M. Richter, J.W. Staples, J.T. Tanabe, F. Voelker, E. Zajec","The 50-MeV Bevatron Injection Linac",923 928,
,"J. L. Kirchgessner, M. Tigner","Operation of a High Gradient Recirculating RF Accelerating Cavity",928 932,
,"J.E.E. Baglin, A.J. Bureau, B.C. Cook, G.E. Holland, R.C. Morrison","100% Duty Factor Electron Linac",932 934,
,"R.E. Rand","A Multi-Orbit Recirculation System for a Superconducting Linear Accelerator-The Recyclotron",938 943,
,"W.E. Jule, R.L. Gluckstern","Equivalent Circuit for a Perturbed Multi-Cell Structure",943 949,
,"A. Moretti, J.W. Dawson, B. Musgrave, T.P. Wangler, H. Yuta","Operating Characteristics of Argonne's 50 mu s RF Particle Separator Beam",949 952,
,"W.J. Gallagher","Properties of Disc-Loaded Lines",952 957,
,"J.J. Olcese, W.J. Gallagher","Properties of Contoured Cavities",957 960,
,"W.J. Gallagher","Beam Loading of RF Cavities",960 963,
,"B. Bru, M. Weiss","Single and Double Drift Bunchers as Possible Injection Schemes for the CPS Linac",963 966,
,"H.H. Fleischmann","Use of Strong Relativistic Electron Rings for the Confinement of Thermonuclear Plasmas",966 970,
,"C. A. Tobias","Radiobiological Experiments with Heavy Ions at the Bevatron",970 973,
,"E.M. Rowe","Research Using Synchrotron Radiation",973 980,
,"J.M.J. Madey, W.M. Fairbank, H.A. Schwettman","A Free Electron Laser",980 984,
,"H. Winick","Synchrotron Radiation at the Cambridge Electron Accelerator",984 989,
,"A.E. Evans","The Expanding Role of the Small Van de Graaff in Nuclear Non-Destructive Analysis",989 994,
,"Z.G.T. Guiragossian, R. Gearhart, J.J. Murray, G. Rothbart, M.R. Yearian","Picosecond Time Measurements with a Linear Accelerator and RF Separator",994 997,
,"D. Berley, M. Blecher, L.N. Blumberg, D.C. Bonar, W.T. Chu, R. Fairchild, J.D. Fox, A.S. Kanofsky, W-C Lam, D.M. Lazarus, Y.Y. Lee, C.L. Wang","Production of Negative Pions of Medical Interest by High-Energy Protons",997 1002,
,"S.R. Bull, R.H. Hoft, N. Slaten","Small Accelerators for Studies in the Application of Neutrons in Bio-Medicine",1002 1007,
,"J.O. Archambeau, G.W. Bennett, G.S. Levine","Application of Proton Radiation Therapy",1007 1010,
,"R.T. Avery, D. Keefe, T.L. Brekke, I. Finnie","Shattering Rock with Intense Bursts of Energetic Electrons",1010 1015,
,"G. Reinhold, E. Freiberg, R. Gleyvod","60 kw Electron Accelerator for a Paint-Curing Facility",1015 1018,
,"P.B. Wilson, C.S. Nunan","The Racetrack Microtron as a Negative Pion Source for Radiotherapy",1018 1022,
,"J.T. Gunn, J.T. Lyman","A Versatile Patient Positioner for Radiation Therapy",1022 1025,
,"G. Sandberg","Electron Beam Flattening with an Annular Scattering Foil",1025 1027,
,"R.L. Fulton","Mechanical Design of the LAMPF Low Energy Pion Channel",1027 1029,
,"R.W. Harrison, D.E. Lobb","A Negative Pion Beam Transport Channel for Radiobiology and Radiation Therapy at TRIUMF",1029 1032,
,"B.J. Masters","Radiotracer Measurements of Sputtered Contamination Incurred During ION Implantation Processing",1032 1035,
,"A.C. Kolb","A Tribute to Lev Artsimovich",1035 1036,
,"F.E. Mills","ISABELLE Design Study",1036 1039,
," The LBL-SLAC Storage Ring Study Group, T. Elioff","Proton-Electron-Positron Design Study",1039 1045,
,"W.K.H. Panofsky","High Energy Physics Horizons",1045 1050,
