mooa01,"B.J. Holzer, CERN, Geneva","Instrumentation Requirements for Different Accelerator Types",99 98,
tupd31,"F. Müller, PSI, Villigen; T. Feurer, IAP Univ. Bern, Bern; S. Hunziker, PSI, Villigen; F. Müller, IAP Univ. Bern, Bern; V. Schlott, B. Steffen, D.M. Treyer, PSI, Villigen","Ytterbium Fiber Laser for Electro-Optical Pulse Length Measurements at the SwissFEL",366 368,
tupd32,"G. Rehm, Diamond, Oxfordshire; R. Bartolini, V. Karataev, JAI, Egham, Surrey; I.P.S. Martin, A.F.D. Morgan, Diamond, Oxfordshire","Ultra-Fast mm-Wave Detectors for Observation of Microbunching Instabilities in the Diamond Storage Ring",369 371,
tupd33,"A. Toyoda, A. Agari, E. Hirose, M. Ieiri, Y. Katoh, A. Kiyomichi, M. Minakawa, T.M. Mitsuhashi, R. Muto, M. Naruki, KEK, Tsukuba; H. Noumi, RCNP, Osaka; Y. Sato, S. Sawada, Y. Shirakabe, Y. Suzuki, H. Takahashi, M. Takasaki, K.H. Tanaka, H. Watanabe, Y. Yamanoi, KEK, Tsukuba","First Light for Optical Transition Radiation Monitor at the J-PARC",372 374,
tupd34,"J. Marroncle, P. Abbon, F. Jeanneau, J.-Ph. Mols, J. Pancin, CEA, Gif-sur-Yvette","Beam Transverse Profile Monitor based on Residual Gas Ionization for IFMIF-EVEDA Accelerator",375 377,
tupd36,"M.B. Ripert, A. Peters, HIT, Heidelberg","Target Materials for a Low Energy Pepper-Pot Emittance Device",378 380,
tupd37,"K.R. Ye, J. Chen, Y.B. Leng, SINAP, Shanghai; T.M. Mitsuhashi, KEK, Ibaraki; J. Yu, G.B. Zhao, W.M. Zhou, SINAP, Shanghai","Synchrotron Radiation Monitor and Mirror at SSRF",381 383,
tupd38,"H.W. Mostert, iThemba LABS, Somerset West; l. Boscagli, INFN/LNL, Legnaro, Padova; J.L. Conradie, M.A. Crombie, iThemba LABS, Somerset West; A. Dainese, INFN/LNL, Legnaro, Padova; J.G. De Villiers, iThemba LABS, Somerset West; M. Poggi, R. Ponchia, INFN/LNL, Legnaro, Padova; K. Springhorn, iThemba LABS, Somerset West","Two-Dimensional Ionization Beam Profile Measurement",384 386,
tupd39,"G. Kube, DESY, Hamburg; W. Lauth, IKP, Mainz","Investigation of the Light Yield of Luminescent Screens for High Energetic and High Brilliant Electron Beams",387 389,
tupd40,"M. Sapinski, B. Dehning, A. Guerrero, J. Koopman, E. Métral, CERN, Geneva","Carbon Fibre Damage in Accelerator Beam",390 392,
tupd41,"D.A. Lee, Imperial College of Science and Technology, Department of Physics, London; C. Gabor, STFC/RAL/ASTeC, Chilton, Didcot, Oxon; J.K. Pozimski, STFC/RAL, Chilton, Didcot, Oxon; P. Savage, Imperial College of Science and Technology, Department of Physics, London","Status of the Laser-Based Beam Profile Instrument for the RAL Front End Test Stand",393 395,
tupd42,"B. Cheymol, E. Bravin, C. Dutriat, T. Lefèvre, CERN, Geneva","Design of a New Emittance Meter for LINAC4",396 398,
tupd43,"A.B.J. Wilhelm, Uni HH, Hamburg; C. Gerth, DESY, Hamburg","Synchrotron Radiation Monitor for Bunch-Resolved Beam Energy Measurements at FLASH",399 401,
tupd44,"E. Chiadroni, D. Alesini, M. Bellaveglia, M. Castellano, INFN/LNF, Frascati (Roma); A. Cianchi, Università di Roma II Tor Vergata, Roma; L. Cultrera, G. Di Pirro, M. Ferrario, L. Ficcadenti, D. Filippetto, G. Gatti, INFN/LNF, Frascati (Roma); B. Marchetti, INFN-Roma II, Roma; A. Mostacci, Rome University La Sapienza, Roma; E. Pace, INFN/LNF, Frascati (Roma); C. Ronsivalle, ENEA C.R. Frascati, Frascati (Roma); C. Vaccarezza, C. Vicario, INFN/LNF, Frascati (Roma)","High Energy Emittance Measurement at SPARC",402 404,
tupd45,"R. Ischebeck, B. Beutner, V. Schlott, B. Steffen, PSI, Villigen","Screen Monitor Design for the SwissFEL",405 407,
tupd46,"A.S. Fisher, J.C. Frisch, R.H. Iverson, H. Loos, J.J. Welch, SLAC, Menlo Park, California","Undulator Radiation Measurements at LCLS using K-edge X-Ray Absorption Techniques",408 410,
weoa01,"F. Wulf, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Berlin; M. Körfer, DESY, Hamburg","Local Beam Loss and Beam Profile Monitoring with Optical Fibers",411 417,
weoa02,"T. Sieber, K. Blaum, M. Grieser, F. Laux, D. Orlov, A. Wolf, R. von Hahn, MPI-K, Heidelberg","Intensity and Profile Measurement for Low Intensity Ion Beams in an Electrostatic Cryogenic Storage Ring",418 420,
weoa03,"S. Jolly, Imperial College of Science and Technology, Department of Physics, London; D.C. Faircloth, STFC/RAL/ISIS, Chilton, Didcot, Oxon; C. Gabor, STFC/RAL/ASTeC, Chilton, Didcot, Oxon; O.K. Kester, NSCL, East Lansing, Michigan; S.R. Lawrie, A.P. Letchford, STFC/RAL/ISIS, Chilton, Didcot, Oxon; J. Pfister, IAP, Frankfurt am Main; J.K. Pozimski, STFC/RAL, Chilton, Didcot, Oxon","Data Acquisition and Error Analysis for Pepperpot Emittance Measurements",421 423,
weoa04,"M. Schwickert, P. Forck, T. Giacomini, P. Kowina, H. Reeg, A. Schlörit, GSI, Darmstadt","Beam Diagnostic Developments for FAIR",424 426,
weob01,"Y. Kim, B. Beutner, H.-H. Braun, A. Citterio, M. M. Dehler, A. Falone, R. Ganter, T. Garvey, S. Hunziker, R. Ischebeck, B. Keil, M. Pedrozzi, S. Reiche, T. Schilcher, V. Schlott, B. Steffen, PSI, Villigen","Beam Diagnostics and RF Systems Requirements for the SwissFEL Facility",427 429,
weob02,"V.G. Ziemann, G. Angelova Hamberg, Uppsala University, Uppsala; J. Bödewadt, Uni HH, Hamburg; S. Khan, DELTA, Dortmund; M. Larsson, FYSIKUM, AlbaNova, Stockholm University, Stockholm; F. Löhl, DESY, Hamburg; A. Meseck, Helmholtz-Zentrum Berlin für Materialien und Energie GmbH, Berlin; E. Saldin, DESY, Hamburg; P.M. Salén, FYSIKUM, AlbaNova, Stockholm University, Stockholm; H. Schlarb, E. Schneidmiller, A. Winter, M.V. Yurkov, DESY, Hamburg; P. van der Meulen, FYSIKUM, AlbaNova, Stockholm University, Stockholm","Recent Results from the Optical Replica Synthesizer Experiment in FLASH",430 432,
weob03,"J. Carwardine, ANL, Argonne, Illinois","Physics Requirements for Linac Stabilizations and Technical Solutions",433 437,
